"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/04/2020","17,500","17,500","17,500","17,500","0.50K","0.00%"
"03/03/2020","17,500","17,500","17,500","17,500","0.10K","-12.50%"
"28/02/2020","20,000","20,000","20,000","20,000","0.70K","-13.04%"
"21/01/2020","23,000","23,000","23,000","23,000","195.00K","0.00%"
"30/12/2019","23,000","23,000","23,000","23,000","435.00K","17.95%"
"18/10/2019","19,500","19,500","19,500","19,500","0.10K","-2.50%"
"28/08/2019","20,000","20,000","20,000","20,000","0.10K","0.00%"
"17/12/2018","20,000","20,000","20,000","20,000","-","0.00%"
"21/11/2018","20,000","20,000","20,000","20,000","11.80K","-20.00%"
"10/10/2018","25,000","25,000","25,000","25,000","0.40K","0.00%"
"08/08/2018","25,000","25,000","25,000","25,000","0.10K","11.61%"
"06/08/2018","22,400","22,400","22,400","22,400","0.10K","14.29%"
"03/08/2018","19,600","19,600","19,600","19,600","0.10K","13.95%"
"02/08/2018","17,200","17,200","17,200","17,200","0.10K","14.67%"
"31/07/2018","15,000","15,000","15,000","15,000","0.50K","-39.27%"
"04/05/2018","24,700","24,700","24,700","24,700","0.10K","4.17%"
"26/04/2018","23,712","23,712","23,712","23,712","0.10K","9.09%"
"24/04/2018","21,736","21,736","21,736","21,736","0.10K","10.00%"
"23/04/2018","19,760","19,760","19,760","19,760","0.10K","12.36%"
"20/04/2018","17,586","17,586","17,586","17,586","0.10K","14.84%"
"19/04/2018","15,314","15,314","15,314","15,314","1.70K","-14.84%"
"11/04/2018","17,982","17,982","17,982","17,982","0.20K","-14.55%"
"10/04/2018","21,044","21,044","21,044","21,044","0.20K","-14.80%"
"06/04/2018","24,700","24,700","24,700","24,700","0.20K","0.00%"
"20/03/2018","24,700","24,700","24,700","24,700","2.90K","11.11%"
"16/03/2018","22,230","22,230","22,230","22,230","0.60K","-14.77%"
"15/03/2018","26,083","26,083","26,083","26,083","-","0.00%"
"14/03/2018","26,083","26,083","26,083","26,083","0.10K","14.78%"
"07/03/2018","22,724","22,724","22,724","22,724","0.80K","9.52%"
"28/02/2018","20,748","20,748","20,748","20,748","1.00K","5.00%"
"09/01/2018","19,760","19,760","19,760","19,760","0.80K","-4.76%"
"29/12/2017","20,748","20,748","20,748","20,748","14.00K","-16.00%"
"03/10/2017","24,700","24,700","24,700","24,700","0.55K","0.00%"
"06/09/2017","24,700","24,700","24,700","24,700","-","0.00%"
"05/09/2017","24,700","24,700","24,700","24,700","-","0.00%"
"01/09/2017","24,700","24,700","24,700","24,700","18.40K","5.04%"
"17/08/2017","23,514","23,613","23,613","23,514","0.20K","0.00%"
"06/07/2017","23,514","23,514","23,514","23,514","0.10K","3.48%"
"04/07/2017","22,724","22,724","22,724","22,724","0.80K","-3.36%"
"30/06/2017","23,514","23,514","23,514","23,514","0.10K","0.00%"
"29/06/2017","23,514","22,724","23,514","22,724","0.50K","0.00%"
"23/06/2017","23,514","23,514","23,514","23,514","0.10K","0.84%"
"16/06/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"31/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"24/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"17/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"16/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"12/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"11/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"09/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"08/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"05/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"04/05/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"28/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"26/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"25/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"24/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"21/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"20/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"19/04/2017","23,317","23,317","23,317","23,317","0.10K","0.00%"
"18/04/2017","23,317","23,317","23,317","23,317","0.10K","0.42%"
"13/04/2017","23,219","23,219","23,219","23,219","0.10K","-1.25%"
"12/04/2017","23,513","23,023","23,513","23,023","0.50K","2.13%"
"11/04/2017","23,023","23,023","23,023","23,023","0.10K","-0.42%"
"07/04/2017","23,121","23,121","23,121","23,121","0.10K","0.00%"
"05/04/2017","23,121","23,121","23,121","23,121","0.10K","0.00%"
"04/04/2017","23,121","23,317","23,317","23,121","0.30K","-0.42%"
"03/04/2017","23,219","23,317","23,317","23,219","0.20K","0.42%"
"30/03/2017","23,121","23,219","23,219","23,121","0.20K","1.29%"
"29/03/2017","22,827","23,415","23,415","22,827","0.90K","-2.10%"
"28/03/2017","23,317","23,513","23,513","23,317","0.30K","0.42%"
"27/03/2017","23,219","23,513","23,513","23,219","0.91K","-1.25%"
"24/03/2017","23,513","23,513","23,513","23,513","0.10K","-0.42%"
"23/03/2017","23,611","23,611","23,611","23,611","0.10K","0.42%"
"21/03/2017","23,513","23,513","23,513","23,513","0.20K","0.42%"
"20/03/2017","23,415","23,513","23,513","23,415","0.20K","-0.42%"
"10/03/2017","23,513","23,513","23,513","23,513","0.10K","1.27%"
"09/03/2017","23,219","23,513","23,513","23,219","0.80K","-1.25%"
"08/03/2017","23,513","23,513","23,513","23,513","0.10K","0.42%"
"07/03/2017","23,415","23,317","23,415","23,317","0.50K","0.42%"
"06/03/2017","23,317","23,317","23,317","23,317","0.10K","0.42%"
"03/03/2017","23,219","23,219","23,219","23,121","0.41K","-1.25%"
"02/03/2017","23,513","23,023","23,513","23,023","2.28K","3.01%"
"01/03/2017","22,827","23,023","23,513","22,533","3.60K","1.30%"
"28/02/2017","22,533","22,533","23,513","22,337","2.60K","0.00%"
"27/02/2017","22,533","22,435","22,533","22,435","2.00K","0.44%"
"24/02/2017","22,435","22,533","22,533","22,435","0.31K","-0.43%"
"23/02/2017","22,533","23,513","23,513","22,533","0.72K","0.00%"
"22/02/2017","22,533","23,023","23,023","21,064","6.70K","4.55%"
"21/02/2017","21,553","19,594","21,847","19,594","5.67K","0.00%"
"20/02/2017","21,553","21,847","22,043","21,553","1.46K","-4.35%"
"16/02/2017","22,533","21,553","22,533","21,553","0.30K","1.77%"
"15/02/2017","22,141","23,023","23,023","22,141","0.40K","-5.84%"
"14/02/2017","23,513","25,276","25,276","23,023","0.80K","9.09%"
"10/02/2017","21,553","22,533","22,533","21,553","0.20K","-11.29%"
"09/02/2017","24,297","24,492","24,492","24,199","1.20K","7.83%"
"08/02/2017","22,533","23,023","23,513","22,533","0.30K","-8.73%"
"07/02/2017","24,688","24,688","24,688","24,688","0.30K","-2.33%"
"06/02/2017","25,276","25,276","25,276","25,276","0.10K","14.16%"
"03/02/2017","22,141","22,043","22,141","22,043","0.50K","0.44%"
"02/02/2017","22,043","25,472","25,472","22,043","0.60K","-13.46%"
"25/01/2017","25,472","25,570","25,570","25,472","0.60K","14.54%"
"24/01/2017","22,239","22,239","22,239","22,239","0.10K","14.65%"
"23/01/2017","19,398","19,398","19,398","19,398","1.70K","0.00%"
"20/01/2017","19,398","19,398","19,398","19,398","0.10K","-2.46%"
"19/01/2017","19,888","19,888","19,888","14,891","1.00K","-1.46%"
"17/01/2017","20,182","17,341","20,182","17,243","3.90K","0.00%"
"16/01/2017","20,182","20,182","20,182","20,182","1.20K","-14.88%"
"13/01/2017","23,709","23,709","23,709","23,709","1.80K","-14.79%"
"12/01/2017","27,823","27,823","27,823","27,823","1.40K","-15.23%"
"11/01/2017","32,820","34,779","34,779","31,644","0.80K","-12.99%"
"10/01/2017","37,718","37,718","37,718","32,820","6.70K","14.92%"
"09/01/2017","32,820","32,820","32,820","32,820","0.30K","14.73%"
"06/01/2017","28,607","28,607","28,607","28,607","0.60K","14.96%"
"05/01/2017","24,884","24,884","24,884","24,884","0.20K","14.93%"
"04/01/2017","21,651","21,651","21,651","21,651","0.10K","14.51%"
"30/12/2016","18,908","18,908","18,908","18,908","0.50K","14.88%"
