"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","300","200","300","200","1.00K","0.00%"
"03/04/2020","300","300","300","300","0.10K","0.00%"
"21/02/2020","300","100","300","100","0.60K","50.00%"
"14/02/2020","200","200","200","200","0.60K","-33.33%"
"07/02/2020","300","300","300","300","0.10K","0.00%"
"31/01/2020","300","100","300","100","0.40K","50.00%"
"17/01/2020","200","200","200","200","58.40K","-33.33%"
"10/01/2020","300","300","300","300","0.10K","50.00%"
"03/01/2020","200","100","200","100","35.50K","100.00%"
"27/12/2019","100","100","100","100","5.00K","-50.00%"
"13/12/2019","200","200","200","200","32.00K","-33.33%"
"25/10/2019","300","300","300","300","0.20K","0.00%"
"11/10/2019","300","300","300","300","0.60K","-25.00%"
"04/10/2019","400","400","400","400","0.10K","33.33%"
"27/09/2019","300","300","300","300","0.10K","0.00%"
"20/09/2019","300","200","300","200","10.30K","0.00%"
"26/07/2019","300","200","300","200","18.00K","0.00%"
"19/07/2019","300","200","300","200","1.70K","50.00%"
"12/07/2019","200","200","200","200","0.10K","-33.33%"
"05/07/2019","300","300","300","300","5.00K","50.00%"
"14/06/2019","200","300","300","200","38.60K","-33.33%"
"07/06/2019","300","300","300","300","20.70K","-25.00%"
"31/05/2019","400","400","400","400","0.10K","0.00%"
"19/04/2019","400","400","400","400","1.30K","0.00%"
"05/04/2019","400","400","400","400","1.50K","33.33%"
"29/03/2019","300","300","300","300","167.80K","-25.00%"
"01/03/2019","400","400","400","400","0.90K","33.33%"
"01/02/2019","300","300","300","300","18.30K","50.00%"
"25/01/2019","200","200","200","200","5.10K","0.00%"
"18/01/2019","200","200","200","200","0.40K","0.00%"
"11/01/2019","200","200","200","200","0.20K","-33.33%"
"14/12/2018","300","300","300","300","16.60K","0.00%"
"07/12/2018","300","300","300","300","11.70K","50.00%"
"30/11/2018","200","200","200","200","25.00K","-33.33%"
"23/11/2018","300","300","300","300","0.10K","-25.00%"
"16/11/2018","400","400","400","400","1.30K","33.33%"
"09/11/2018","300","300","300","300","40.60K","50.00%"
"02/11/2018","200","200","400","200","45.90K","-33.33%"
"26/10/2018","300","300","300","300","8.00K","-25.00%"
"12/10/2018","400","400","400","400","2.50K","0.00%"
"05/10/2018","400","400","400","400","2.50K","0.00%"
"14/09/2018","400","400","400","400","10.00K","0.00%"
"07/09/2018","400","400","400","400","0.10K","0.00%"
"31/08/2018","400","400","400","400","0.20K","33.33%"
"10/08/2018","300","300","300","300","49.10K","50.00%"
"03/08/2018","200","200","200","200","1.60K","-33.33%"
"20/07/2018","300","300","300","300","6.50K","-25.00%"
"06/07/2018","400","400","400","400","0.10K","0.00%"
"29/06/2018","400","400","400","400","1.40K","0.00%"
"22/06/2018","400","300","400","300","94.20K","0.00%"
"15/06/2018","400","300","400","300","1.10K","33.33%"
"25/05/2018","300","300","300","300","6.60K","-25.00%"
"27/04/2018","400","300","400","300","11.70K","0.00%"
"20/04/2018","400","400","400","400","-","0.00%"
"06/04/2018","400","400","400","400","0.40K","0.00%"
"16/03/2018","400","400","400","400","2.20K","0.00%"
"09/03/2018","400","400","500","400","20.10K","0.00%"
"02/03/2018","400","500","500","400","0.70K","-20.00%"
"23/02/2018","500","500","500","400","10.70K","0.00%"
"09/02/2018","500","300","500","300","221.50K","25.00%"
"02/02/2018","400","400","400","400","2.00K","0.00%"
"26/01/2018","400","400","400","400","5.00K","0.00%"
"19/01/2018","400","200","400","200","125.00K","33.33%"
"12/01/2018","300","200","400","200","110.30K","0.00%"
"05/01/2018","300","300","300","300","70.80K","0.00%"
"29/12/2017","300","300","300","300","0.40K","-25.00%"
"22/12/2017","400","400","400","300","3.50K","33.33%"
"15/12/2017","300","400","400","300","123.50K","0.00%"
"08/12/2017","300","300","300","300","15.00K","0.00%"
"01/12/2017","300","300","400","300","3.00K","0.00%"
"24/11/2017","300","300","300","300","30.10K","0.00%"
"17/11/2017","300","300","300","300","86.10K","-25.00%"
"10/11/2017","400","200","400","200","1.30K","33.33%"
"03/11/2017","300","300","300","300","0.30K","-25.00%"
"27/10/2017","400","400","400","400","0.20K","0.00%"
"20/10/2017","400","400","400","300","88.10K","0.00%"
"13/10/2017","400","400","400","300","725.50K","0.00%"
"06/10/2017","400","400","500","400","146.40K","-20.00%"
"29/09/2017","500","500","600","500","10.50K","-16.67%"
"22/09/2017","600","600","600","600","6.20K","0.00%"
"15/09/2017","600","600","600","600","16.40K","-14.29%"
"08/09/2017","700","900","900","700","2.10K","-12.50%"
"06/09/2017","800","800","800","800","-","0.00%"
"05/09/2017","800","800","800","800","-","0.00%"
"01/09/2017","800","800","800","800","33.40K","-11.11%"
"25/08/2017","900","900","900","900","0.10K","12.50%"
"18/08/2017","800","800","1,000","800","7.80K","-11.11%"
"11/08/2017","900","900","900","900","0.50K","-10.00%"
"04/08/2017","1,000","900","1,000","900","2.20K","0.00%"
"21/07/2017","1,000","1,000","1,000","1,000","1.10K","-9.09%"
"07/07/2017","1,100","1,100","1,100","1,100","0.50K","-8.33%"
"23/06/2017","1,200","1,200","1,200","1,200","0.10K","20.00%"
"02/06/2017","1,000","1,100","1,100","1,000","0.30K","0.00%"
"19/05/2017","1,000","1,000","1,000","1,000","0.10K","-9.09%"
"07/04/2017","1,100","1,100","1,100","1,100","0.10K","10.00%"
"03/03/2017","1,000","1,100","1,100","1,000","0.60K","-9.09%"
"24/02/2017","1,100","1,100","1,100","1,100","0.10K","-8.33%"
"17/02/2017","1,200","1,400","1,400","1,200","1.20K","-7.69%"
"10/02/2017","1,300","1,300","1,300","1,300","0.10K","8.33%"
