"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","9,400.0","9,400.0","9,400.0","9,400.0","-","-1.05%"
"04/05/2020","9,500.0","9,700.0","9,700.0","9,500.0","0.80K","-2.06%"
"22/04/2020","9,700.0","9,700.0","9,700.0","9,700.0","18.30K","2.11%"
"21/04/2020","9,500.0","9,600.0","9,600.0","9,500.0","14.70K","-4.04%"
"20/04/2020","9,900.0","9,500.0","9,900.0","9,500.0","11.02K","4.21%"
"17/04/2020","9,500.0","9,500.0","9,500.0","9,500.0","0.10K","-2.06%"
"16/04/2020","9,700.0","9,700.0","9,700.0","9,700.0","0.10K","2.11%"
"15/04/2020","9,500.0","9,500.0","9,500.0","9,500.0","6.80K","0.00%"
"14/04/2020","9,500.0","9,500.0","9,500.0","9,500.0","0.60K","5.56%"
"09/04/2020","9,000.0","9,000.0","9,000.0","9,000.0","2.12K","0.00%"
"08/04/2020","9,000.0","9,000.0","9,000.0","9,000.0","0.60K","0.00%"
"07/04/2020","9,000.0","9,500.0","9,500.0","9,000.0","0.80K","-7.22%"
"23/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","23.00K","-6.73%"
"20/03/2020","10,400.0","9,700.0","10,400.0","9,700.0","0.60K","7.22%"
"19/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","0.00%"
"18/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","3.00K","-3.00%"
"16/03/2020","10,000.0","10,000.0","10,000.0","10,000.0","0.50K","3.09%"
"13/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","6.50K","0.00%"
"12/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","25.80K","0.00%"
"11/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","8.40K","0.00%"
"09/03/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","-6.73%"
"06/03/2020","10,400.0","10,400.0","10,400.0","10,400.0","0.20K","0.00%"
"05/03/2020","10,400.0","10,400.0","10,400.0","10,400.0","3.50K","6.12%"
"04/03/2020","9,800.0","9,700.0","9,800.0","9,700.0","0.70K","0.00%"
"03/03/2020","9,800.0","9,700.0","9,800.0","9,700.0","4.50K","1.03%"
"02/03/2020","9,700.0","9,800.0","9,800.0","9,700.0","1.20K","0.00%"
"26/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","10.00K","0.00%"
"25/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","49.00K","0.00%"
"24/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","13.50K","-1.02%"
"21/02/2020","9,800.0","9,800.0","9,800.0","9,800.0","13.20K","1.03%"
"20/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","20.70K","0.00%"
"19/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","1.00K","0.00%"
"18/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","37.00K","-2.02%"
"14/02/2020","9,900.0","9,800.0","9,900.0","9,700.0","3.50K","2.06%"
"13/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","9.50K","0.00%"
"12/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","0.00%"
"11/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","13.00K","-1.02%"
"07/02/2020","9,800.0","9,800.0","9,800.0","9,800.0","0.40K","1.03%"
"06/02/2020","9,700.0","9,700.0","9,700.0","9,600.0","6.20K","0.00%"
"05/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","1.00K","0.00%"
"04/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","0.50K","0.00%"
"03/02/2020","9,700.0","9,700.0","9,700.0","9,700.0","1.00K","-1.02%"
"22/01/2020","9,800.0","9,700.0","9,800.0","9,700.0","3.90K","1.03%"
"21/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","0.00%"
"20/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","5.00K","0.00%"
"17/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","0.00%"
"16/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","4.00K","0.00%"
"15/01/2020","9,700.0","9,800.0","9,800.0","9,700.0","6.70K","0.00%"
"13/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.10K","0.00%"
"10/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","10.00K","0.00%"
"09/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","0.50K","0.00%"
"07/01/2020","9,700.0","9,700.0","9,700.0","9,700.0","2.00K","-1.02%"
"06/01/2020","9,800.0","9,700.0","9,800.0","9,700.0","7.50K","-1.01%"
"30/12/2019","9,900.0","9,700.0","9,900.0","9,700.0","10.50K","1.02%"
"27/12/2019","9,800.0","9,800.0","9,800.0","9,800.0","1.00K","0.00%"
"25/12/2019","9,800.0","9,700.0","9,800.0","9,700.0","8.50K","1.03%"
"23/12/2019","9,700.0","9,700.0","9,700.0","9,700.0","3.00K","-1.02%"
"20/12/2019","9,800.0","9,800.0","9,800.0","9,800.0","0.70K","1.03%"
"19/12/2019","9,700.0","9,800.0","9,800.0","9,700.0","4.80K","-1.02%"
"18/12/2019","9,800.0","10,000.0","10,000.0","9,800.0","5.70K","0.00%"
"17/12/2019","9,800.0","9,800.0","9,800.0","9,800.0","1.00K","1.03%"
"16/12/2019","9,700.0","9,700.0","9,700.0","9,700.0","5.00K","0.00%"
"12/12/2019","9,700.0","9,700.0","9,700.0","9,700.0","7.00K","-1.02%"
"10/12/2019","9,800.0","9,700.0","9,800.0","9,700.0","5.31K","1.03%"
"03/12/2019","9,700.0","9,700.0","9,700.0","9,700.0","8.00K","0.00%"
"02/12/2019","9,700.0","9,700.0","9,700.0","9,700.0","19.30K","0.00%"
"29/11/2019","9,700.0","9,700.0","9,700.0","9,700.0","4.50K","0.00%"
"28/11/2019","9,700.0","9,700.0","9,700.0","9,700.0","10.50K","0.00%"
"27/11/2019","9,700.0","9,700.0","9,800.0","9,700.0","34.60K","-1.02%"
"22/11/2019","9,800.0","9,800.0","9,800.0","9,800.0","0.50K","0.00%"
"21/11/2019","9,800.0","9,800.0","9,800.0","9,800.0","11.41K","-2.97%"
"20/11/2019","10,100.0","10,100.0","10,100.0","10,100.0","5.20K","4.12%"
"19/11/2019","9,700.0","9,700.0","9,700.0","9,700.0","32.50K","0.00%"
"13/11/2019","9,700.0","9,700.0","9,700.0","9,700.0","0.40K","0.00%"
"12/11/2019","9,700.0","9,700.0","9,700.0","9,700.0","0.10K","1.04%"
"11/11/2019","9,600.0","9,600.0","9,600.0","9,600.0","11.20K","0.00%"
"08/11/2019","9,600.0","9,600.0","9,600.0","9,600.0","10.00K","-1.03%"
"07/11/2019","9,700.0","9,400.0","9,700.0","9,400.0","6.40K","2.11%"
"04/11/2019","9,500.0","9,500.0","9,500.0","9,500.0","0.20K","-1.04%"
"01/11/2019","9,600.0","9,700.0","9,700.0","9,600.0","10.20K","1.05%"
"31/10/2019","9,500.0","9,500.0","9,500.0","9,500.0","5.20K","0.00%"
"30/10/2019","9,500.0","9,500.0","9,500.0","9,500.0","1.50K","-1.04%"
"29/10/2019","9,600.0","9,600.0","9,600.0","9,600.0","9.90K","0.00%"
