"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","4,600","4,600","4,600","4,600","5.90K","-14.81%"
"29/04/2020","5,400","5,400","5,400","5,400","1.00K","-14.29%"
"28/04/2020","6,300","6,300","6,300","6,300","1.00K","-14.86%"
"27/04/2020","7,400","7,300","7,400","7,300","21.30K","13.85%"
"24/04/2020","6,500","6,500","6,500","6,500","18.40K","14.04%"
"23/04/2020","5,700","5,700","5,700","5,700","3.60K","14.00%"
"22/04/2020","5,000","4,800","5,000","4,800","7.50K","13.64%"
"21/04/2020","4,400","3,800","4,400","3,800","39.10K","12.82%"
"20/04/2020","3,900","3,900","3,900","3,900","6.20K","14.71%"
"17/04/2020","3,400","3,200","3,400","3,200","14.70K","13.33%"
"16/04/2020","3,000","3,000","3,000","3,000","5.90K","0.00%"
"13/04/2020","3,000","3,000","3,000","3,000","2.00K","0.00%"
"10/04/2020","3,000","3,000","3,000","3,000","1.00K","20.00%"
"08/04/2020","2,500","3,000","3,000","2,500","9.60K","-13.79%"
"03/04/2020","2,900","2,900","2,900","2,900","0.30K","0.00%"
"31/03/2020","2,900","2,900","2,900","2,900","0.10K","11.54%"
"27/03/2020","2,600","2,600","2,600","2,600","0.10K","13.04%"
"23/03/2020","2,300","2,300","2,300","2,300","0.40K","-11.54%"
"20/03/2020","2,600","2,600","2,600","2,600","0.20K","-13.33%"
"19/03/2020","3,000","3,000","3,000","3,000","0.20K","-16.67%"
"17/03/2020","3,600","3,500","3,600","3,500","21.10K","9.09%"
"16/03/2020","3,300","3,300","3,300","3,300","11.00K","0.00%"
"13/03/2020","3,300","3,300","3,300","3,300","31.80K","0.00%"
"12/03/2020","3,300","3,300","3,300","3,300","40.00K","0.00%"
"11/03/2020","3,300","3,300","3,300","3,300","26.00K","13.79%"
"10/03/2020","2,900","2,900","2,900","2,900","5.50K","11.54%"
"09/03/2020","2,600","2,600","2,600","2,600","11.30K","13.04%"
"21/02/2020","2,300","2,300","2,300","2,300","10.00K","-4.17%"
"19/02/2020","2,400","2,400","2,400","2,400","0.10K","-14.29%"
"17/02/2020","2,800","2,800","2,800","2,800","0.50K","12.00%"
"05/02/2020","2,500","2,500","2,500","2,500","0.50K","4.17%"
"21/01/2020","2,400","2,400","2,400","2,400","0.20K","9.09%"
"09/01/2020","2,200","2,200","2,200","2,200","0.20K","10.00%"
"07/01/2020","2,000","2,000","2,000","2,000","0.50K","0.00%"
"27/12/2019","2,000","2,000","2,000","2,000","0.30K","0.00%"
"26/12/2019","2,000","2,000","2,000","2,000","0.10K","-13.04%"
"24/12/2019","2,300","2,300","2,300","2,300","0.10K","0.00%"
"23/12/2019","2,300","2,300","2,300","2,300","0.40K","15.00%"
"20/12/2019","2,000","2,000","2,000","2,000","0.10K","0.00%"
"12/12/2019","2,000","2,000","2,000","2,000","0.10K","0.00%"
"09/12/2019","2,000","2,100","2,100","1,800","5.60K","-4.76%"
"06/12/2019","2,100","2,100","2,100","2,100","0.20K","10.53%"
"05/12/2019","1,900","1,900","1,900","1,900","0.10K","-13.64%"
"04/12/2019","2,200","2,200","2,200","2,200","0.60K","-12.00%"
"03/12/2019","2,500","3,000","3,000","2,500","4.40K","0.00%"
"02/12/2019","2,500","3,200","3,200","2,500","0.20K","-3.85%"
"29/11/2019","2,600","3,200","3,200","2,600","11.10K","-13.33%"
"28/11/2019","3,000","3,600","3,600","3,000","2.10K","-9.09%"
"27/11/2019","3,300","3,300","3,300","3,300","0.10K","3.13%"
"26/11/2019","3,200","3,200","3,200","3,200","0.10K","10.34%"
"25/11/2019","2,900","3,400","3,400","2,900","0.70K","-9.38%"
"22/11/2019","3,200","3,200","3,200","3,200","1.60K","3.23%"
"21/11/2019","3,100","2,500","3,100","2,500","0.30K","6.90%"
"20/11/2019","2,900","2,900","2,900","2,900","19.40K","-14.71%"
"19/11/2019","3,400","3,400","3,400","3,400","8.50K","-12.82%"
"18/11/2019","3,900","3,900","3,900","3,900","1.00K","-11.36%"
"15/11/2019","4,400","4,600","4,600","3,400","38.50K","10.00%"
"14/11/2019","4,000","4,000","4,000","4,000","42.90K","14.29%"
"13/11/2019","3,500","3,500","3,500","3,500","12.50K","12.90%"
"12/11/2019","3,100","3,100","3,100","3,100","26.30K","14.81%"
"11/11/2019","2,700","2,700","2,700","2,700","26.10K","12.50%"
"08/11/2019","2,400","2,300","2,400","2,300","12.20K","14.29%"
"07/11/2019","2,100","1,900","2,100","1,900","24.50K","10.53%"
"29/10/2019","1,900","1,900","1,900","1,900","2.70K","-5.00%"
"22/10/2019","2,000","2,000","2,000","2,000","0.10K","5.26%"
"15/10/2019","1,900","1,900","1,900","1,900","0.10K","11.76%"
"14/10/2019","1,700","1,700","1,700","1,700","0.20K","21.43%"
"11/10/2019","1,400","1,500","1,500","1,400","10.70K","-12.50%"
"10/10/2019","1,600","1,600","1,600","1,600","4.20K","-11.11%"
"09/10/2019","1,800","1,800","1,800","1,800","0.10K","-14.29%"
"07/10/2019","2,100","2,100","2,100","2,100","0.10K","-12.50%"
"19/09/2019","2,400","2,400","2,400","2,400","0.10K","9.09%"
"18/09/2019","2,200","2,200","2,200","2,200","0.10K","0.00%"
"17/09/2019","2,200","2,300","2,300","2,200","1.10K","4.76%"
"16/09/2019","2,100","2,000","2,100","2,000","10.20K","10.53%"
"13/09/2019","1,900","1,800","1,900","1,800","0.20K","11.76%"
"12/09/2019","1,700","1,700","1,700","1,600","0.50K","6.25%"
"11/09/2019","1,600","1,700","1,700","1,600","1.60K","6.67%"
"10/09/2019","1,500","1,500","1,500","1,500","6.90K","-11.76%"
"09/09/2019","1,700","1,700","1,700","1,700","0.30K","6.25%"
"06/09/2019","1,600","1,400","1,600","1,400","9.00K","14.29%"
"05/09/2019","1,400","1,400","1,400","1,400","1.00K","-22.22%"
"04/09/2019","1,800","1,500","1,800","1,500","0.80K","12.50%"
"03/09/2019","1,600","1,600","1,600","1,600","1.50K","-11.11%"
"30/08/2019","1,800","1,700","1,800","1,700","0.50K","0.00%"
"29/08/2019","1,800","1,900","1,900","1,800","12.40K","-14.29%"
"28/08/2019","2,100","2,100","2,500","2,100","11.00K","-8.70%"
"26/08/2019","2,300","3,000","3,000","2,300","1.20K","-14.81%"
"22/08/2019","2,700","2,700","2,700","2,700","0.10K","8.00%"
"21/08/2019","2,500","2,500","2,500","2,500","0.10K","-3.85%"
"20/08/2019","2,600","2,700","2,700","2,100","1.20K","13.04%"
"08/08/2019","2,300","2,900","2,900","2,300","0.50K","-8.00%"
"07/08/2019","2,500","3,200","3,200","2,500","0.30K","-13.79%"
"02/08/2019","2,900","2,900","2,900","2,900","0.10K","7.41%"
"01/08/2019","2,700","2,700","2,700","2,700","0.20K","8.00%"
"31/07/2019","2,500","2,500","2,500","2,500","1.70K","13.64%"
"30/07/2019","2,200","2,100","2,200","2,100","0.50K","10.00%"
"29/07/2019","2,000","2,000","2,000","2,000","0.40K","11.11%"
"26/07/2019","1,800","1,800","1,800","1,800","4.00K","12.50%"
"25/07/2019","1,600","1,600","1,600","1,600","0.10K","14.29%"
"24/07/2019","1,400","1,400","1,400","1,400","1.00K","-12.50%"
"23/07/2019","1,600","1,600","1,600","1,600","1.00K","-5.88%"
"22/07/2019","1,700","1,700","1,700","1,700","1.80K","13.33%"
"19/07/2019","1,500","1,500","1,500","1,500","0.70K","-16.67%"
"18/07/2019","1,800","1,400","1,800","1,400","0.20K","0.00%"
"17/07/2019","1,800","1,800","1,800","1,500","1.40K","5.88%"
"16/07/2019","1,700","1,700","1,700","1,700","5.00K","21.43%"
"12/07/2019","1,400","1,700","1,700","1,400","0.60K","-6.67%"
"10/07/2019","1,500","1,900","1,900","1,500","0.60K","15.38%"
"09/07/2019","1,300","1,700","1,700","1,300","1.10K","-13.33%"
"08/07/2019","1,500","1,500","1,500","1,500","0.10K","-6.25%"
"05/07/2019","1,600","1,600","1,600","1,600","1.10K","-5.88%"
"04/07/2019","1,700","1,700","1,700","1,700","0.10K","6.25%"
"03/07/2019","1,600","1,600","1,600","1,600","5.10K","0.00%"
"02/07/2019","1,600","1,600","1,600","1,600","3.10K","0.00%"
"01/07/2019","1,600","1,700","1,700","1,600","2.10K","0.00%"
"10/06/2019","1,600","1,900","1,900","1,600","2.10K","-11.11%"
"06/06/2019","1,800","1,800","1,800","1,800","0.10K","12.50%"
"20/05/2019","1,600","1,800","1,800","1,600","0.90K","0.00%"
"17/05/2019","1,600","1,600","1,600","1,600","0.80K","0.00%"
"16/05/2019","1,600","1,600","1,600","1,600","2.00K","14.29%"
"09/05/2019","1,400","1,400","1,400","1,400","0.20K","7.69%"
"08/05/2019","1,300","1,300","1,300","1,300","0.10K","-13.33%"
"07/05/2019","1,500","1,500","1,500","1,500","0.10K","-6.25%"
"06/05/2019","1,600","1,600","1,600","1,400","5.00K","0.00%"
"25/04/2019","1,600","1,600","1,600","1,600","4.00K","0.00%"
"19/04/2019","1,600","1,600","1,600","1,600","4.50K","14.29%"
"18/04/2019","1,400","1,400","1,400","1,400","3.30K","0.00%"
"16/04/2019","1,400","1,400","1,400","1,400","6.60K","-6.67%"
"12/04/2019","1,500","1,600","1,600","1,500","10.10K","-11.76%"
"10/04/2019","1,700","1,700","1,700","1,700","0.30K","6.25%"
"05/04/2019","1,600","1,600","1,600","1,600","0.30K","0.00%"
"27/03/2019","1,600","1,600","1,600","1,600","0.20K","0.00%"
"25/03/2019","1,600","1,600","1,600","1,600","0.10K","6.67%"
"15/03/2019","1,500","1,500","1,500","1,500","0.60K","-6.25%"
"14/03/2019","1,600","1,400","1,600","1,400","0.40K","0.00%"
"13/03/2019","1,600","1,600","1,600","1,600","9.00K","-5.88%"
"04/03/2019","1,700","1,700","1,700","1,700","0.10K","6.25%"
"21/02/2019","1,600","1,600","1,600","1,600","0.10K","6.67%"
"01/02/2019","1,500","1,500","1,500","1,500","0.50K","0.00%"
"31/01/2019","1,500","1,500","1,500","1,500","0.50K","-6.25%"
"24/01/2019","1,600","1,600","1,600","1,600","0.10K","6.67%"
"22/01/2019","1,500","1,500","1,500","1,500","8.00K","-6.25%"
"21/01/2019","1,600","1,600","1,600","1,500","16.00K","-5.88%"
"18/01/2019","1,700","1,700","1,700","1,700","3.50K","0.00%"
"17/01/2019","1,700","1,700","1,700","1,700","1.50K","-5.56%"
"02/01/2019","1,800","1,800","1,800","1,800","0.20K","5.88%"
"20/12/2018","1,700","1,700","1,700","1,700","0.30K","0.00%"
"17/12/2018","1,700","1,700","1,700","1,700","0.10K","6.25%"
"10/12/2018","1,600","1,600","1,600","1,600","0.50K","-11.11%"
"29/11/2018","1,800","1,800","1,800","1,800","0.10K","5.88%"
"14/11/2018","1,700","1,700","1,700","1,700","22.00K","6.25%"
"05/11/2018","1,600","1,600","1,600","1,600","0.20K","0.00%"
"29/10/2018","1,600","1,600","1,600","1,600","0.10K","14.29%"
"26/10/2018","1,400","1,400","1,400","1,400","0.10K","-12.50%"
"19/10/2018","1,600","1,600","1,600","1,600","3.00K","-11.11%"
"10/10/2018","1,800","1,800","1,800","1,800","21.80K","5.88%"
