"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","12,000.0","12,000.0","12,000.0","12,000.0","-","-7.69%"
"28/04/2020","13,000.0","12,900.0","13,000.0","12,900.0","3.30K","9.24%"
"27/04/2020","11,900.0","11,900.0","11,900.0","11,900.0","0.28K","-7.75%"
"24/04/2020","12,900.0","11,900.0","12,900.0","11,900.0","0.44K","-0.77%"
"23/04/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.10K","0.00%"
"21/04/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.20K","1.56%"
"17/04/2020","12,800.0","13,000.0","13,000.0","12,800.0","3.20K","-9.22%"
"16/04/2020","14,100.0","11,900.0","14,100.0","11,900.0","2.70K","8.46%"
"15/04/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.50K","0.78%"
"14/04/2020","12,900.0","14,900.0","14,900.0","12,900.0","0.20K","-9.15%"
"09/04/2020","14,200.0","14,200.0","14,200.0","14,200.0","0.10K","-9.55%"
"06/04/2020","15,700.0","15,700.0","15,700.0","15,700.0","0.10K","8.28%"
"31/03/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.19K","7.41%"
"30/03/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.10K","-8.16%"
"25/03/2020","14,700.0","14,700.0","14,700.0","14,700.0","0.10K","0.00%"
"17/03/2020","14,700.0","14,700.0","14,700.0","14,700.0","0.20K","-9.82%"
"13/03/2020","16,300.0","16,300.0","16,300.0","16,300.0","0.10K","9.40%"
"11/03/2020","14,900.0","14,900.0","14,900.0","14,900.0","0.10K","18.25%"
"10/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","-","-9.35%"
"09/03/2020","13,900.0","13,900.0","13,900.0","13,900.0","0.10K","8.59%"
"04/03/2020","12,800.0","12,800.0","12,800.0","12,800.0","0.10K","-8.57%"
"03/03/2020","14,000.0","14,000.0","14,000.0","14,000.0","0.50K","0.72%"
"28/02/2020","13,900.0","13,900.0","13,900.0","13,900.0","2.00K","8.59%"
"27/02/2020","12,800.0","12,800.0","12,800.0","12,800.0","0.30K","-8.57%"
"25/02/2020","14,000.0","14,300.0","14,300.0","14,000.0","0.50K","-9.09%"
"24/02/2020","15,400.0","15,500.0","15,500.0","15,400.0","2.60K","-9.41%"
"21/02/2020","17,000.0","17,000.0","17,000.0","17,000.0","0.30K","-9.09%"
"17/02/2020","18,700.0","18,800.0","18,800.0","18,700.0","0.30K","-9.66%"
"12/02/2020","20,700.0","25,100.0","25,100.0","20,700.0","1.40K","-9.61%"
"31/12/2019","22,900.0","22,900.0","22,900.0","22,900.0","0.10K","19.90%"
"15/10/2019","19,100.0","19,100.0","19,100.0","19,100.0","-","-9.91%"
"23/09/2019","21,200.0","19,900.0","21,200.0","19,900.0","0.20K","6.53%"
"20/09/2019","19,900.0","19,900.0","19,900.0","19,900.0","0.10K","-9.95%"
"18/09/2019","22,100.0","22,100.0","22,100.0","22,100.0","0.10K","9.41%"
"16/09/2019","20,200.0","18,300.0","20,200.0","18,300.0","0.50K","9.78%"
"13/09/2019","18,400.0","18,200.0","18,400.0","15,700.0","1.20K","8.88%"
"12/09/2019","16,900.0","16,900.0","16,900.0","16,900.0","0.10K","9.03%"
"10/09/2019","15,500.0","15,500.0","15,500.0","15,500.0","0.60K","0.00%"
"06/09/2019","15,500.0","15,200.0","15,500.0","15,200.0","0.30K","-7.74%"
"04/09/2019","16,800.0","16,800.0","16,800.0","16,800.0","0.50K","0.00%"
"30/08/2019","16,800.0","17,000.0","17,000.0","16,800.0","0.40K","-9.68%"
"29/08/2019","18,600.0","18,600.0","18,600.0","18,600.0","0.10K","-9.27%"
"28/08/2019","20,500.0","18,700.0","20,500.0","18,700.0","0.30K","-0.97%"
"27/08/2019","20,700.0","20,700.0","20,700.0","20,700.0","0.10K","-9.61%"
"20/08/2019","22,900.0","22,900.0","22,900.0","22,900.0","0.20K","1.33%"
"19/07/2019","22,600.0","22,600.0","22,600.0","22,600.0","0.16K","9.18%"
"11/07/2019","20,700.0","20,700.0","20,700.0","20,700.0","0.10K","-9.61%"
