"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","29,600.0","28,900.0","30,000.0","28,900.0","106.15K","0.51%"
"04/05/2020","29,450.0","28,600.0","30,500.0","28,600.0","616.97K","-0.84%"
"29/04/2020","29,700.0","30,000.0","30,500.0","29,600.0","345.80K","0.34%"
"28/04/2020","29,600.0","30,000.0","30,300.0","29,000.0","541.56K","1.54%"
"27/04/2020","29,150.0","28,200.0","29,150.0","27,700.0","871.95K","6.97%"
"24/04/2020","27,250.0","28,000.0","28,000.0","26,500.0","283.75K","-1.27%"
"23/04/2020","27,600.0","28,100.0","28,500.0","27,500.0","250.05K","0.00%"
"22/04/2020","27,600.0","27,000.0","27,700.0","26,300.0","367.18K","0.36%"
"21/04/2020","27,500.0","28,500.0","28,600.0","27,500.0","535.91K","-5.17%"
"20/04/2020","29,000.0","28,550.0","29,650.0","28,550.0","564.30K","1.05%"
"17/04/2020","28,700.0","29,800.0","30,900.0","28,700.0","1.06M","-1.71%"
"16/04/2020","29,200.0","27,900.0","29,300.0","26,800.0","488.65K","4.29%"
"15/04/2020","28,000.0","28,000.0","28,300.0","27,300.0","582.51K","2.56%"
"14/04/2020","27,300.0","25,700.0","27,300.0","25,700.0","470.87K","6.23%"
"13/04/2020","25,700.0","25,400.0","25,950.0","25,400.0","422.20K","-0.96%"
"10/04/2020","25,950.0","26,200.0","26,600.0","25,400.0","643.39K","-3.17%"
"09/04/2020","26,800.0","26,700.0","27,500.0","26,500.0","590.63K","0.37%"
"08/04/2020","26,700.0","25,100.0","26,850.0","24,300.0","999.63K","6.37%"
"07/04/2020","25,100.0","25,000.0","25,100.0","23,900.0","783.94K","6.81%"
"06/04/2020","23,500.0","23,000.0","23,500.0","22,500.0","739.77K","6.82%"
"03/04/2020","22,000.0","21,300.0","22,450.0","21,050.0","454.14K","3.29%"
"01/04/2020","21,300.0","20,500.0","21,650.0","20,100.0","137.99K","3.90%"
"31/03/2020","20,500.0","21,800.0","21,800.0","20,100.0","568.57K","-2.84%"
"30/03/2020","21,100.0","21,400.0","21,900.0","20,900.0","274.90K","-5.38%"
"27/03/2020","22,300.0","23,000.0","23,400.0","22,100.0","240.85K","-3.04%"
"26/03/2020","23,000.0","22,500.0","23,500.0","22,200.0","576.09K","4.55%"
"25/03/2020","22,000.0","22,000.0","22,150.0","21,600.0","175.30K","4.27%"
"24/03/2020","21,100.0","22,200.0","23,000.0","21,100.0","358.44K","-5.80%"
"23/03/2020","22,400.0","23,700.0","23,700.0","22,400.0","574.66K","-6.86%"
"20/03/2020","24,050.0","24,100.0","24,500.0","23,900.0","278.09K","0.00%"
"19/03/2020","24,050.0","24,300.0","24,700.0","24,050.0","268.06K","-2.63%"
"18/03/2020","24,700.0","24,800.0","25,000.0","24,250.0","163.41K","1.86%"
"17/03/2020","24,250.0","24,000.0","25,100.0","23,800.0","472.54K","-1.22%"
"16/03/2020","24,550.0","23,000.0","24,800.0","23,000.0","389.17K","4.47%"
"13/03/2020","23,500.0","23,500.0","25,000.0","23,450.0","1.27M","-6.75%"
"12/03/2020","25,200.0","26,000.0","26,100.0","25,200.0","707.30K","-6.84%"
"11/03/2020","27,050.0","29,000.0","29,900.0","27,050.0","390.69K","-6.72%"
"10/03/2020","29,000.0","28,850.0","29,850.0","28,150.0","247.41K","-2.85%"
"09/03/2020","29,850.0","30,000.0","31,400.0","29,850.0","404.54K","-6.86%"
"06/03/2020","32,050.0","32,050.0","32,200.0","31,850.0","187.99K","0.00%"
"05/03/2020","32,050.0","32,800.0","33,000.0","32,050.0","163.51K","-1.08%"
"04/03/2020","32,400.0","33,500.0","33,600.0","32,200.0","155.53K","-3.28%"
"03/03/2020","33,500.0","32,450.0","33,700.0","32,450.0","219.19K","3.24%"
"02/03/2020","32,450.0","30,500.0","32,800.0","30,500.0","195.56K","4.68%"
"28/02/2020","31,000.0","31,000.0","31,450.0","30,800.0","151.16K","-1.43%"
"27/02/2020","31,450.0","31,900.0","32,100.0","31,300.0","173.87K","-1.72%"
"26/02/2020","32,000.0","32,200.0","32,300.0","31,500.0","147.94K","-0.93%"
"25/02/2020","32,300.0","32,000.0","32,600.0","31,500.0","262.59K","-1.37%"
"24/02/2020","32,750.0","33,200.0","34,800.0","32,750.0","402.66K","-6.96%"
"21/02/2020","35,200.0","34,450.0","35,500.0","34,450.0","270.81K","2.18%"
"20/02/2020","34,450.0","34,600.0","34,750.0","34,000.0","204.71K","0.00%"
"19/02/2020","34,450.0","34,650.0","35,000.0","34,400.0","98.08K","-0.58%"
"18/02/2020","34,650.0","34,000.0","35,000.0","33,850.0","138.48K","2.82%"
"17/02/2020","33,700.0","35,000.0","35,000.0","33,700.0","102.36K","-3.71%"
"14/02/2020","35,000.0","35,800.0","35,800.0","35,000.0","104.09K","-2.78%"
"13/02/2020","36,000.0","37,000.0","37,050.0","35,850.0","174.52K","3.60%"
"12/02/2020","34,750.0","32,500.0","34,750.0","32,500.0","330.09K","6.92%"
"11/02/2020","32,500.0","33,150.0","33,600.0","32,100.0","162.32K","-3.27%"
"10/02/2020","33,600.0","33,500.0","34,200.0","33,000.0","53.49K","-2.61%"
"07/02/2020","34,500.0","34,000.0","35,300.0","34,000.0","93.12K","0.88%"
"06/02/2020","34,200.0","32,700.0","34,200.0","32,500.0","136.82K","5.23%"
"05/02/2020","32,500.0","31,950.0","32,600.0","31,400.0","122.72K","4.84%"
"04/02/2020","31,000.0","32,500.0","32,500.0","30,900.0","165.04K","-4.62%"
"03/02/2020","32,500.0","34,000.0","34,000.0","32,500.0","253.50K","-6.88%"
"31/01/2020","34,900.0","36,800.0","37,500.0","34,900.0","217.96K","-6.93%"
"30/01/2020","37,500.0","38,400.0","39,500.0","37,000.0","177.66K","-5.30%"
"22/01/2020","39,600.0","39,000.0","39,800.0","38,400.0","96.22K","2.86%"
"21/01/2020","38,500.0","38,900.0","38,900.0","38,150.0","321.87K","-1.03%"
"20/01/2020","38,900.0","38,900.0","38,900.0","38,400.0","38.43K","1.04%"
"17/01/2020","38,500.0","39,500.0","39,500.0","38,400.0","78.53K","-1.53%"
"16/01/2020","39,100.0","39,700.0","39,700.0","38,600.0","81.09K","-1.51%"
"15/01/2020","39,700.0","39,500.0","40,200.0","39,000.0","79.18K","-0.75%"
"14/01/2020","40,000.0","39,750.0","40,300.0","39,000.0","155.55K","0.00%"
"13/01/2020","40,000.0","41,000.0","41,000.0","39,700.0","82.48K","-1.72%"
"10/01/2020","40,700.0","40,500.0","41,000.0","40,100.0","82.84K","0.49%"
"09/01/2020","40,500.0","41,000.0","41,800.0","40,400.0","56.58K","0.12%"
"08/01/2020","40,450.0","40,600.0","41,700.0","40,200.0","268.52K","-0.37%"
"07/01/2020","40,600.0","39,000.0","40,800.0","39,000.0","238.07K","4.10%"
"06/01/2020","39,000.0","38,500.0","39,100.0","37,950.0","128.30K","1.83%"
"03/01/2020","38,300.0","38,900.0","39,200.0","38,250.0","112.26K","-1.54%"
"02/01/2020","38,900.0","38,600.0","39,600.0","38,600.0","29.77K","-1.89%"
"31/12/2019","39,650.0","39,900.0","39,900.0","39,000.0","26.13K","0.38%"
"30/12/2019","39,500.0","40,000.0","40,000.0","38,800.0","62.99K","2.07%"
"27/12/2019","38,700.0","39,000.0","39,500.0","38,700.0","267.14K","-1.90%"
"26/12/2019","39,450.0","39,250.0","39,700.0","39,250.0","144.80K","0.77%"
"25/12/2019","39,150.0","38,850.0","39,400.0","38,850.0","216.34K","0.38%"
"24/12/2019","39,000.0","39,600.0","39,750.0","38,250.0","268.46K","-1.14%"
"23/12/2019","39,450.0","39,100.0","39,900.0","38,500.0","67.20K","1.94%"
"20/12/2019","38,700.0","38,500.0","38,950.0","38,500.0","50.18K","0.52%"
"19/12/2019","38,500.0","39,000.0","39,000.0","38,000.0","117.04K","-0.52%"
"18/12/2019","38,700.0","39,450.0","39,450.0","38,650.0","50.02K","-0.51%"
"17/12/2019","38,900.0","39,650.0","39,650.0","38,800.0","110.84K","-0.77%"
"16/12/2019","39,200.0","38,800.0","39,350.0","38,800.0","100.76K","0.00%"
"13/12/2019","39,200.0","39,450.0","39,450.0","38,850.0","67.24K","-0.63%"
"12/12/2019","39,450.0","39,900.0","39,900.0","39,250.0","11.20K","-1.13%"
"11/12/2019","39,900.0","39,000.0","39,900.0","38,400.0","265.62K","0.13%"
"10/12/2019","39,850.0","40,000.0","40,350.0","39,700.0","48.84K","-0.38%"
"09/12/2019","40,000.0","40,500.0","40,500.0","39,800.0","113.88K","0.63%"
"06/12/2019","39,750.0","40,400.0","40,650.0","39,750.0","106.86K","-0.63%"
"05/12/2019","40,000.0","40,000.0","40,150.0","39,500.0","127.36K","1.14%"
"04/12/2019","39,550.0","39,500.0","39,700.0","39,500.0","51.14K","0.13%"
"03/12/2019","39,500.0","40,000.0","40,000.0","39,300.0","215.42K","0.00%"
"02/12/2019","39,500.0","39,700.0","39,750.0","39,100.0","302.32K","3.81%"
"29/11/2019","38,050.0","39,200.0","39,200.0","38,050.0","64.28K","-2.93%"
"28/11/2019","39,200.0","38,350.0","39,350.0","38,000.0","91.34K","3.16%"
"27/11/2019","38,000.0","37,500.0","38,250.0","37,500.0","50.72K","1.33%"
