"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/12/2019","5,000","5,000","5,000","5,000","0.10K","-23.08%"
"21/03/2019","6,500","7,800","7,800","6,500","32.70K","-8.45%"
"20/03/2019","7,100","7,100","7,100","7,100","0.10K","14.52%"
"19/03/2019","6,200","6,200","6,200","6,200","0.10K","12.73%"
"18/03/2019","5,500","5,500","5,500","5,500","30.00K","-8.33%"
"14/03/2019","6,000","6,000","6,000","6,000","10.00K","-14.29%"
"13/03/2019","7,000","7,000","7,000","7,000","0.10K","-4.11%"
"12/03/2019","7,300","8,200","8,200","7,300","94.40K","0.00%"
"08/03/2019","7,300","7,300","7,300","7,300","0.10K","10.61%"
"07/03/2019","6,600","6,300","6,600","6,200","106.00K","4.76%"
"05/03/2019","6,300","6,300","6,300","6,300","10.90K","-13.70%"
"24/01/2019","7,300","7,300","7,300","7,300","0.10K","35.19%"
"21/08/2018","5,400","5,100","5,400","5,100","16.30K","1.89%"
"13/08/2018","5,300","5,300","5,300","5,300","8.30K","-1.85%"
"11/06/2018","5,400","5,400","5,400","5,400","0.10K","14.89%"
"08/06/2018","4,700","4,700","4,700","4,700","0.20K","14.63%"
"07/06/2018","4,100","4,100","5,500","4,100","5.70K","-14.58%"
"05/06/2018","4,800","4,800","4,800","4,800","2.50K","-9.43%"
"04/06/2018","5,300","5,300","5,300","5,300","2.00K","-14.52%"
"01/06/2018","6,200","6,200","6,200","6,200","0.50K","-12.68%"
"31/05/2018","7,100","7,100","7,100","7,100","1.10K","0.00%"
"23/05/2018","7,100","7,100","7,100","7,100","0.10K","12.70%"
"17/05/2018","6,300","6,100","6,300","6,100","6.40K","14.55%"
"16/05/2018","5,500","5,500","5,500","5,500","4.80K","-8.33%"
"15/05/2018","6,000","6,000","6,000","6,000","0.10K","7.14%"
"10/05/2018","5,600","5,600","5,600","5,600","30.00K","7.69%"
"04/05/2018","5,200","5,200","5,200","5,200","6.80K","4.00%"
"03/05/2018","5,000","5,000","5,000","5,000","0.20K","-3.85%"
"24/04/2018","5,200","4,800","5,200","4,800","11.00K","0.00%"
"20/04/2018","5,200","5,200","5,200","5,200","-","26.83%"
"19/04/2018","4,100","5,000","5,000","4,100","9.50K","-14.58%"
"18/04/2018","4,800","4,800","4,800","4,800","0.10K","0.00%"
"17/04/2018","4,800","4,800","4,800","4,800","1.20K","-2.04%"
"16/04/2018","4,900","4,900","4,900","4,900","5.90K","13.95%"
"11/04/2018","4,300","4,300","4,300","4,300","0.50K","-14.00%"
"09/04/2018","5,000","5,000","5,000","5,000","1.00K","0.00%"
"06/04/2018","5,000","5,000","5,000","5,000","1.80K","19.05%"
