"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","34,000","34,000","34,000","34,000","0.40K","-0.87%"
"29/04/2020","34,300","29,300","34,300","29,300","1.80K","0.59%"
"28/04/2020","34,100","34,100","34,100","34,100","-","0.00%"
"27/04/2020","34,100","34,100","34,100","34,100","0.10K","-1.73%"
"24/04/2020","34,700","29,500","34,700","29,500","1.40K","2.06%"
"23/04/2020","34,000","34,000","34,000","34,000","0.30K","-2.30%"
"21/04/2020","34,800","34,800","34,800","34,800","0.10K","-0.57%"
"20/04/2020","35,000","30,500","35,000","30,500","11.50K","0.29%"
"14/04/2020","34,900","34,900","34,900","34,900","0.10K","1.45%"
"09/04/2020","34,400","33,500","34,400","33,500","5.30K","1.18%"
"07/04/2020","34,000","34,100","34,100","34,000","8.30K","3.34%"
"06/04/2020","32,900","35,700","35,700","32,900","33.80K","0.00%"
"01/04/2020","32,900","32,900","32,900","32,900","0.10K","-13.42%"
"31/03/2020","38,000","38,000","38,000","38,000","-","0.00%"
"30/03/2020","38,000","30,000","38,000","29,700","3.00K","8.88%"
"25/03/2020","34,900","34,900","34,900","34,900","0.10K","1.45%"
"24/03/2020","34,400","27,500","35,800","27,500","24.00K","9.90%"
"23/03/2020","31,300","31,200","31,500","31,200","3.90K","0.32%"
"19/03/2020","31,200","31,200","31,200","31,200","1.00K","-8.24%"
"18/03/2020","34,000","34,000","34,000","34,000","0.10K","7.94%"
"17/03/2020","31,500","32,000","32,000","31,500","0.90K","1.29%"
"16/03/2020","31,100","31,200","31,200","31,100","2.40K","0.32%"
"13/03/2020","31,000","31,000","31,000","31,000","0.30K","-1.59%"
"12/03/2020","31,500","32,700","32,700","31,000","1.90K","-9.74%"
"10/03/2020","34,900","34,900","34,900","34,900","0.10K","-5.68%"
"09/03/2020","37,000","34,000","37,000","30,800","3.10K","1.65%"
"03/03/2020","36,400","32,000","36,400","32,000","14.00K","10.30%"
"27/02/2020","33,000","33,000","33,000","33,000","0.10K","0.30%"
"26/02/2020","32,900","32,900","32,900","32,900","0.10K","0.30%"
"25/02/2020","32,800","30,600","32,800","30,600","0.60K","2.50%"
"24/02/2020","32,000","32,000","32,000","32,000","0.10K","-3.03%"
"21/02/2020","33,000","33,000","33,000","33,000","-","0.00%"
"20/02/2020","33,000","33,000","33,000","33,000","-","0.00%"
"19/02/2020","33,000","33,000","33,000","33,000","0.10K","0.00%"
"18/02/2020","33,000","33,000","33,000","33,000","0.10K","-1.20%"
"13/02/2020","33,400","33,400","33,400","33,400","1.40K","2.14%"
"11/02/2020","32,700","32,900","32,900","32,700","29.90K","-2.10%"
"10/02/2020","33,400","33,000","33,400","33,000","35.10K","-1.47%"
"07/02/2020","33,900","31,300","33,900","31,300","1.00K","3.99%"
"06/02/2020","32,600","32,600","32,600","32,600","0.10K","-15.32%"
"04/02/2020","38,500","38,500","38,500","38,000","1.00K","10.63%"
"03/02/2020","34,800","34,800","34,800","34,800","0.50K","14.85%"
"31/01/2020","30,300","30,500","30,500","30,300","2.00K","-6.48%"
"30/01/2020","32,400","32,400","32,400","32,400","0.10K","4.85%"
"22/01/2020","30,900","30,900","30,900","30,900","0.10K","1.31%"
"21/01/2020","30,500","30,200","30,500","30,200","3.50K","0.66%"
"20/01/2020","30,300","30,500","30,500","30,300","3.70K","1.00%"
"17/01/2020","30,000","30,500","30,500","30,000","8.50K","-0.99%"
"16/01/2020","30,300","30,700","30,700","30,300","11.00K","-0.33%"
"15/01/2020","30,400","30,700","30,700","30,400","6.50K","5.92%"
"14/01/2020","28,700","30,600","30,600","28,700","6.50K","-5.59%"
"13/01/2020","30,400","30,800","30,800","30,400","9.00K","-0.98%"
"10/01/2020","30,700","30,800","30,800","30,700","2.20K","0.00%"
"09/01/2020","30,700","30,800","30,800","30,700","1.60K","-0.32%"
"08/01/2020","30,800","30,800","30,800","30,800","0.50K","-2.84%"
"07/01/2020","31,700","31,700","31,700","31,700","0.20K","0.63%"
"06/01/2020","31,500","30,800","31,500","30,700","4.70K","-0.63%"
"03/01/2020","31,700","30,900","31,700","30,900","1.30K","-0.63%"
"02/01/2020","31,900","30,900","31,900","30,900","0.40K","0.00%"
"26/12/2019","31,900","31,900","31,900","31,900","3.00K","2.90%"
"25/12/2019","31,000","31,000","31,000","30,800","3.60K","-4.32%"
"23/12/2019","32,400","32,000","32,400","32,000","0.40K","5.19%"
"20/12/2019","30,800","30,800","31,900","30,800","6.00K","-0.32%"
"19/12/2019","30,900","31,100","31,100","30,900","6.70K","-4.63%"
"18/12/2019","32,400","31,000","32,400","31,000","2.30K","4.52%"
"17/12/2019","31,000","31,000","32,400","31,000","10.60K","0.65%"
"16/12/2019","30,800","32,900","32,900","30,800","2.60K","-1.91%"
"13/12/2019","31,400","31,400","32,900","31,400","4.30K","0.32%"
"12/12/2019","31,300","31,300","31,300","31,300","0.20K","1.29%"
"11/12/2019","30,900","31,000","31,000","30,900","2.00K","1.98%"
"09/12/2019","30,300","30,300","30,300","30,300","0.20K","-2.26%"
"06/12/2019","31,000","31,900","31,900","31,000","1.30K","-2.52%"
"05/12/2019","31,800","31,000","31,800","31,000","1.80K","0.00%"
"04/12/2019","31,800","31,800","31,800","31,800","0.70K","2.58%"
"03/12/2019","31,000","32,000","32,000","31,000","2.10K","-3.13%"
"02/12/2019","32,000","33,400","35,000","32,000","2.20K","-8.57%"
"29/11/2019","35,000","35,000","35,900","31,000","11.10K","0.00%"
"28/11/2019","35,000","34,000","37,000","31,000","18.30K","0.00%"
"27/11/2019","35,000","30,500","35,000","30,500","4.60K","12.90%"
"26/11/2019","31,000","30,600","31,000","30,600","0.70K","-4.32%"
"25/11/2019","32,400","32,400","32,400","32,400","0.50K","5.88%"
"22/11/2019","30,600","32,400","32,900","30,600","2.00K","-1.29%"
"20/11/2019","31,000","31,000","31,000","31,000","1.00K","-4.62%"
"18/11/2019","32,500","32,500","32,500","32,500","0.20K","6.56%"
"15/11/2019","30,500","31,000","32,700","30,500","0.70K","-6.73%"
"14/11/2019","32,700","30,900","32,700","30,000","0.90K","5.83%"
"13/11/2019","30,900","30,800","30,900","30,800","1.00K","6.19%"
"11/11/2019","29,100","29,000","29,100","29,000","0.20K","-8.78%"
"08/11/2019","31,900","31,900","31,900","31,900","-","0.00%"
"04/11/2019","31,900","31,900","31,900","31,900","0.90K","2.90%"
"01/11/2019","31,000","30,200","31,000","30,000","2.20K","0.00%"
"31/10/2019","31,000","30,200","31,000","30,200","0.40K","-4.02%"
"30/10/2019","32,300","32,300","32,300","32,300","0.10K","9.12%"
"29/10/2019","29,600","29,600","29,600","29,600","-","0.00%"
"25/10/2019","29,600","30,200","30,200","29,600","1.20K","-13.95%"
"23/10/2019","34,400","34,400","34,400","34,400","0.10K","8.18%"
"22/10/2019","31,800","31,000","31,800","31,000","1.20K","-8.62%"
"17/10/2019","34,800","32,400","34,800","32,400","2.00K","12.26%"
"16/10/2019","31,000","30,900","31,000","30,900","1.70K","-5.20%"
"14/10/2019","32,700","32,700","32,700","32,700","0.10K","2.51%"
"11/10/2019","31,900","30,900","33,900","30,900","0.40K","5.98%"
"10/10/2019","30,100","31,000","31,000","30,100","2.20K","-2.90%"
"09/10/2019","31,000","32,900","32,900","30,900","2.20K","-3.13%"
"08/10/2019","32,000","32,000","32,000","32,000","0.10K","1.91%"
"07/10/2019","31,400","31,500","31,500","31,400","0.30K","1.29%"
"04/10/2019","31,000","31,000","31,000","31,000","0.50K","-4.62%"
"01/10/2019","32,500","32,500","32,500","32,500","0.10K","4.84%"
"30/09/2019","31,000","31,100","31,100","31,000","5.50K","-16.22%"
"27/09/2019","37,000","30,200","38,000","30,200","1.80K","9.47%"
