"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","18,500","18,500","19,000","18,300","158.50K","0.00%"
"29/04/2020","18,500","17,800","18,800","17,800","210.23K","3.93%"
"28/04/2020","17,800","17,500","17,900","17,200","45.80K","4.71%"
"27/04/2020","17,000","17,000","17,000","17,000","1.00K","-1.73%"
"24/04/2020","17,300","17,300","17,300","17,300","0.10K","3.59%"
"23/04/2020","16,700","18,500","18,500","16,700","4.60K","1.21%"
"22/04/2020","16,500","16,500","16,500","16,500","2.50K","-0.60%"
"21/04/2020","16,600","16,600","18,100","16,600","5.10K","-2.35%"
"20/04/2020","17,000","18,500","18,500","16,800","5.30K","0.00%"
"17/04/2020","17,000","17,000","17,000","16,000","10.30K","4.94%"
"16/04/2020","16,200","16,900","16,900","16,100","24.40K","-1.82%"
"15/04/2020","16,500","16,200","16,500","15,600","0.70K","-2.94%"
"14/04/2020","17,000","17,000","17,000","17,000","0.10K","3.03%"
"10/04/2020","16,500","16,500","16,500","16,500","1.00K","0.00%"
"09/04/2020","16,500","17,000","17,000","16,500","9.10K","3.13%"
"08/04/2020","16,000","16,000","16,000","16,000","1.80K","0.00%"
"07/04/2020","16,000","17,000","17,000","16,000","0.30K","0.00%"
"06/04/2020","16,000","16,500","16,500","16,000","9.40K","0.00%"
"03/04/2020","16,000","15,900","17,000","14,900","4.80K","3.23%"
"01/04/2020","15,500","15,800","15,800","15,000","0.90K","-8.82%"
"30/03/2020","17,000","17,000","17,000","17,000","-","0.00%"
"25/03/2020","17,000","17,400","17,400","13,100","0.40K","13.33%"
"24/03/2020","15,000","17,400","17,400","15,000","1.80K","-1.32%"
"23/03/2020","15,200","17,400","17,400","15,200","2.20K","-10.59%"
"20/03/2020","17,000","17,000","17,000","17,000","0.10K","0.00%"
"19/03/2020","17,000","17,300","17,300","16,500","3.40K","1.19%"
"18/03/2020","16,800","17,300","17,300","16,800","3.10K","-0.59%"
"17/03/2020","16,900","17,000","17,000","16,500","4.40K","1.81%"
"16/03/2020","16,600","16,600","16,600","16,600","2.00K","-2.35%"
"13/03/2020","17,000","17,300","17,300","17,000","1.10K","0.00%"
"12/03/2020","17,000","17,300","17,300","15,100","0.30K","0.59%"
"11/03/2020","16,900","17,400","17,400","16,900","3.10K","-2.87%"
"10/03/2020","17,400","16,500","17,400","16,500","1.40K","5.45%"
"09/03/2020","16,500","16,500","16,500","16,500","3.00K","-4.62%"
"05/03/2020","17,300","17,300","17,300","17,300","0.40K","0.00%"
"03/03/2020","17,300","17,300","17,300","17,300","0.50K","0.58%"
"02/03/2020","17,200","17,100","17,200","17,100","4.40K","-1.15%"
"28/02/2020","17,400","17,500","17,500","17,200","5.51K","2.35%"
"27/02/2020","17,000","17,700","17,700","17,000","3.10K","4.29%"
"26/02/2020","16,300","15,800","18,000","15,800","3.20K","-9.44%"
"25/02/2020","18,000","18,000","18,000","18,000","0.10K","0.00%"
