"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","5,200.0","5,200.0","5,200.0","5,200.0","1.30K","-8.77%"
"23/04/2020","5,700.0","5,700.0","5,700.0","5,700.0","0.10K","0.00%"
"21/04/2020","5,700.0","5,500.0","5,700.0","5,500.0","1.10K","3.64%"
"20/04/2020","5,500.0","5,500.0","5,500.0","5,500.0","0.60K","10.00%"
"31/03/2020","5,000.0","5,000.0","5,000.0","5,000.0","1.40K","-7.41%"
"30/03/2020","5,400.0","5,500.0","5,700.0","5,400.0","6.70K","-10.00%"
"26/03/2020","6,000.0","5,500.0","6,000.0","5,500.0","0.40K","7.14%"
"25/03/2020","5,600.0","5,100.0","5,600.0","5,000.0","12.50K","9.80%"
"18/03/2020","5,100.0","5,100.0","5,100.0","5,100.0","1.00K","8.51%"
"17/03/2020","4,700.0","4,700.0","4,700.0","4,700.0","0.10K","-6.00%"
"13/03/2020","5,000.0","5,000.0","5,000.0","4,900.0","3.00K","-5.66%"
"12/03/2020","5,300.0","5,300.0","5,300.0","5,300.0","0.10K","-7.02%"
"09/03/2020","5,700.0","6,400.0","6,500.0","5,700.0","11.20K","-5.00%"
"06/03/2020","6,000.0","6,000.0","6,000.0","6,000.0","0.70K","9.09%"
"03/03/2020","5,500.0","5,400.0","5,500.0","5,400.0","5.00K","0.00%"
"27/02/2020","5,500.0","5,500.0","5,500.0","5,500.0","0.10K","-6.78%"
"26/02/2020","5,900.0","5,900.0","5,900.0","5,900.0","11.80K","9.26%"
"14/02/2020","5,400.0","5,400.0","5,400.0","5,400.0","0.10K","-10.00%"
"07/02/2020","6,000.0","6,000.0","6,000.0","6,000.0","0.10K","-9.09%"
"04/02/2020","6,600.0","6,600.0","7,300.0","6,600.0","27.20K","-9.59%"
"03/02/2020","7,300.0","7,300.0","7,300.0","7,300.0","9.00K","-9.88%"
"03/01/2020","8,100.0","8,100.0","8,100.0","8,100.0","0.20K","-10.00%"
"04/12/2019","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","9.76%"
"03/12/2019","8,200.0","8,200.0","8,200.0","8,200.0","0.10K","9.33%"
"22/11/2019","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","9.59%"
"21/11/2019","6,844.0","6,844.0","6,844.0","6,844.0","0.10K","2.15%"
"06/11/2019","6,700.0","7,300.0","7,300.0","6,700.0","0.20K","0.00%"
"31/10/2019","6,700.0","7,300.0","7,300.0","6,700.0","0.60K","0.00%"
"24/10/2019","6,700.0","6,700.0","6,700.0","6,700.0","0.20K","0.00%"
"16/10/2019","6,700.0","7,700.0","7,700.0","6,700.0","8.10K","-9.46%"
"15/10/2019","7,400.0","7,700.0","7,700.0","7,400.0","8.00K","-3.90%"
"11/10/2019","7,700.0","7,700.0","7,700.0","7,700.0","1.20K","0.00%"
"10/10/2019","7,700.0","7,700.0","7,700.0","7,700.0","0.10K","10.00%"
"09/10/2019","7,000.0","7,000.0","7,000.0","7,000.0","0.10K","-7.89%"
"07/10/2019","7,600.0","7,600.0","7,600.0","7,600.0","6.60K","-5.00%"
"02/10/2019","8,000.0","8,400.0","8,400.0","8,000.0","3.20K","3.90%"
"01/10/2019","7,700.0","7,700.0","7,700.0","7,700.0","0.30K","0.00%"
"25/09/2019","7,700.0","8,000.0","8,000.0","7,700.0","10.10K","-1.28%"
"09/09/2019","7,800.0","7,800.0","7,800.0","7,800.0","0.10K","-7.14%"
"29/08/2019","8,400.0","8,400.0","8,400.0","8,400.0","0.10K","9.09%"
"23/08/2019","7,700.0","7,700.0","7,700.0","7,700.0","0.10K","10.00%"
"22/08/2019","7,000.0","7,000.0","7,000.0","7,000.0","0.30K","-6.67%"
"21/08/2019","7,500.0","7,600.0","7,600.0","7,500.0","0.20K","-8.54%"
"16/08/2019","8,200.0","8,200.0","8,200.0","8,200.0","0.10K","9.33%"
"06/08/2019","7,500.0","8,500.0","8,500.0","7,500.0","0.40K","-8.54%"
"05/08/2019","8,200.0","8,200.0","8,200.0","8,200.0","0.10K","9.33%"
"02/08/2019","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","8.70%"
"01/08/2019","6,900.0","8,000.0","8,000.0","6,900.0","0.30K","-5.48%"
"31/07/2019","7,300.0","7,300.0","7,300.0","7,300.0","0.10K","-8.75%"
"30/07/2019","8,000.0","8,000.0","8,000.0","8,000.0","0.10K","-9.09%"
"29/07/2019","8,800.0","8,800.0","8,800.0","7,200.0","0.40K","10.00%"
"25/07/2019","8,000.0","9,600.0","9,600.0","8,000.0","0.40K","-9.09%"
"23/07/2019","8,800.0","8,800.0","8,800.0","8,800.0","0.10K","10.00%"
"22/07/2019","8,000.0","9,200.0","9,200.0","8,000.0","0.20K","-4.76%"
"19/07/2019","8,400.0","8,400.0","8,400.0","8,400.0","0.10K","9.09%"
"17/07/2019","7,700.0","9,000.0","9,200.0","7,700.0","3.50K","-8.33%"
"16/07/2019","8,400.0","8,400.0","8,400.0","8,400.0","0.10K","9.09%"
"15/07/2019","7,700.0","7,700.0","7,700.0","7,700.0","0.10K","10.00%"
"12/07/2019","7,000.0","8,000.0","8,000.0","7,000.0","0.20K","-4.11%"
"11/07/2019","7,300.0","8,800.0","8,800.0","7,300.0","3.20K","-8.75%"
"10/07/2019","8,000.0","8,000.0","8,000.0","8,000.0","0.10K","9.59%"
"09/07/2019","7,300.0","8,600.0","8,600.0","7,300.0","0.20K","-7.59%"
"08/07/2019","7,900.0","9,000.0","9,000.0","7,900.0","0.20K","-3.66%"
