"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","14,000","14,000","14,000","14,000","0.50K","4.48%"
"21/04/2020","13,400","13,400","13,400","13,400","0.20K","-1.47%"
"16/04/2020","13,600","12,000","13,600","12,000","0.40K","0.00%"
"15/04/2020","13,600","13,600","13,600","13,600","0.20K","0.00%"
"14/04/2020","13,600","13,600","13,600","13,600","0.60K","0.00%"
"13/04/2020","13,600","13,500","13,600","13,500","0.20K","3.03%"
"09/04/2020","13,200","13,100","13,200","13,100","1.10K","0.00%"
"06/04/2020","13,200","12,800","13,200","12,800","1.40K","12.82%"
"03/04/2020","11,700","11,700","11,700","11,700","0.20K","6.36%"
"31/03/2020","11,000","12,200","12,200","11,000","0.60K","7.84%"
"30/03/2020","10,200","11,000","11,000","10,200","1.60K","-13.56%"
"26/03/2020","11,800","11,800","11,800","11,800","0.10K","-14.49%"
"25/03/2020","13,800","13,800","13,800","13,800","0.40K","15.00%"
"23/03/2020","12,000","12,000","13,000","12,000","0.50K","-14.29%"
"19/03/2020","14,000","14,000","14,000","14,000","0.10K","0.00%"
"18/03/2020","14,000","14,000","14,000","14,000","0.10K","13.82%"
"17/03/2020","12,300","12,300","12,300","12,300","0.10K","-14.58%"
"16/03/2020","14,400","14,400","14,400","14,400","0.30K","-0.69%"
"11/03/2020","14,500","14,500","14,500","14,500","0.50K","11.54%"
"09/03/2020","13,000","13,000","13,000","13,000","0.30K","-12.16%"
"04/03/2020","14,800","14,800","14,800","14,800","0.20K","-0.67%"
"03/03/2020","14,900","14,900","14,900","14,900","0.20K","7.19%"
"25/02/2020","13,900","13,900","13,900","13,900","0.10K","13.01%"
"18/02/2020","12,300","12,300","12,300","12,300","0.10K","-10.87%"
"09/01/2020","13,800","15,400","15,500","13,800","2.60K","1.47%"
"08/01/2020","13,600","13,800","13,800","13,600","1.30K","-15.00%"
"03/01/2020","16,000","16,000","16,000","16,000","0.50K","-5.88%"
"27/12/2019","17,000","17,000","17,000","17,000","0.10K","0.00%"
"26/12/2019","17,000","17,000","17,000","17,000","0.20K","6.25%"
"25/12/2019","16,000","15,800","16,000","14,600","1.30K","6.67%"
"24/12/2019","15,000","15,000","15,000","15,000","0.40K","0.00%"
"23/12/2019","15,000","15,000","15,000","15,000","1.00K","-6.25%"
"13/12/2019","16,000","16,000","16,000","16,000","0.10K","10.34%"
"12/12/2019","14,500","14,500","14,500","14,500","2.80K","0.00%"
"11/12/2019","14,500","14,600","14,600","14,500","0.30K","0.00%"
"10/12/2019","14,500","14,500","14,500","14,500","0.10K","-12.12%"
"04/12/2019","16,500","16,500","16,500","16,500","0.10K","0.00%"
"03/12/2019","16,500","17,500","17,500","16,500","0.20K","3.13%"
"26/11/2019","16,000","16,000","16,000","16,000","0.80K","-5.88%"
"22/11/2019","17,000","17,000","17,000","17,000","2.50K","6.25%"
"19/11/2019","16,000","16,000","16,000","16,000","4.50K","-6.98%"
"18/11/2019","17,200","16,400","17,200","16,400","24.20K","14.67%"
"15/11/2019","15,000","15,000","15,000","15,000","1.70K","-3.23%"
"08/11/2019","15,500","15,500","15,500","15,500","0.10K","-13.41%"
"15/10/2019","17,900","17,900","17,900","17,900","0.10K","8.48%"
"10/10/2019","16,500","19,000","19,100","16,500","23.80K","0.00%"
"09/10/2019","16,500","18,900","19,200","16,500","80.80K","-13.61%"
"08/10/2019","19,100","17,000","19,100","17,000","35.00K","9.14%"
"07/10/2019","17,500","17,500","17,500","17,500","2.00K","14.38%"
"04/10/2019","15,300","16,000","16,000","15,300","3.10K","-15.00%"
"30/09/2019","18,000","16,000","18,000","16,000","3.00K","0.00%"
"27/09/2019","18,000","16,000","18,000","16,000","3.00K","12.50%"
"23/09/2019","16,000","16,000","16,000","15,000","2.10K","0.00%"
