"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","10,700.0","10,750.0","10,750.0","10,650.0","171.68K","-0.47%"
"04/05/2020","10,750.0","10,900.0","10,900.0","10,750.0","462.80K","-1.83%"
"29/04/2020","10,950.0","10,850.0","11,000.0","10,800.0","341.48K","0.92%"
"28/04/2020","10,850.0","11,000.0","11,000.0","10,700.0","918.86K","-0.91%"
"27/04/2020","10,950.0","11,000.0","11,150.0","10,900.0","653.77K","0.46%"
"24/04/2020","10,900.0","11,150.0","11,150.0","10,750.0","545.21K","-1.80%"
"23/04/2020","11,100.0","11,200.0","11,350.0","10,950.0","885.93K","-0.45%"
"22/04/2020","11,150.0","10,500.0","11,450.0","10,450.0","1.76M","1.36%"
"21/04/2020","11,000.0","11,200.0","11,500.0","11,000.0","1.77M","-6.78%"
"20/04/2020","11,800.0","12,300.0","12,350.0","11,800.0","1.05M","-3.67%"
"17/04/2020","12,250.0","11,950.0","12,250.0","11,900.0","1.56M","4.70%"
"16/04/2020","11,700.0","11,400.0","11,800.0","11,200.0","1.09M","3.08%"
"15/04/2020","11,350.0","11,250.0","11,550.0","11,250.0","713.99K","0.89%"
"14/04/2020","11,250.0","11,400.0","11,400.0","11,100.0","811.38K","-0.88%"
"13/04/2020","11,350.0","11,500.0","11,700.0","11,350.0","740.97K","-1.30%"
"10/04/2020","11,500.0","11,600.0","11,650.0","11,200.0","1.02M","0.00%"
"09/04/2020","11,500.0","11,000.0","11,750.0","10,900.0","1.57M","4.55%"
"08/04/2020","11,000.0","11,000.0","11,200.0","10,800.0","761.88K","-2.65%"
"07/04/2020","11,300.0","11,400.0","11,400.0","10,950.0","772.91K","-0.88%"
"06/04/2020","11,400.0","11,150.0","11,500.0","11,100.0","1.16M","2.24%"
"03/04/2020","11,150.0","11,100.0","11,400.0","11,000.0","482.44K","0.45%"
"01/04/2020","11,100.0","10,850.0","11,400.0","10,850.0","265.61K","-2.20%"
"31/03/2020","11,350.0","10,800.0","11,350.0","10,700.0","365.19K","0.00%"
"30/03/2020","11,350.0","10,750.0","11,400.0","10,650.0","338.16K","-0.87%"
"27/03/2020","11,450.0","11,000.0","11,500.0","10,700.0","380.09K","-0.43%"
"26/03/2020","11,500.0","11,400.0","11,500.0","10,900.0","606.35K","-1.71%"
"25/03/2020","11,700.0","11,500.0","11,850.0","11,250.0","413.70K","1.74%"
"24/03/2020","11,500.0","11,050.0","11,800.0","11,050.0","379.87K","-2.95%"
"23/03/2020","11,850.0","11,900.0","12,000.0","11,850.0","164.42K","-6.69%"
"20/03/2020","12,700.0","12,650.0","12,950.0","12,550.0","185.47K","-1.93%"
"19/03/2020","12,950.0","12,700.0","12,950.0","12,450.0","414.64K","-0.38%"
"18/03/2020","13,000.0","12,850.0","13,200.0","12,800.0","298.78K","-1.52%"
"17/03/2020","13,200.0","12,500.0","13,250.0","12,450.0","351.09K","0.00%"
"16/03/2020","13,200.0","12,900.0","13,200.0","12,500.0","657.00K","-0.75%"
"13/03/2020","13,300.0","12,500.0","13,300.0","12,500.0","665.13K","-0.75%"
"12/03/2020","13,400.0","14,350.0","14,350.0","13,400.0","194.24K","-6.94%"
"11/03/2020","14,400.0","13,400.0","14,400.0","12,900.0","389.19K","6.67%"
"10/03/2020","13,500.0","12,900.0","13,500.0","12,850.0","585.66K","0.00%"
"09/03/2020","13,500.0","13,450.0","13,500.0","12,800.0","1.25M","-1.82%"
"06/03/2020","13,750.0","13,550.0","13,750.0","13,550.0","237.50K","0.00%"
"05/03/2020","13,750.0","13,750.0","13,750.0","13,500.0","166.17K","0.00%"
