"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","4,200.0","4,040.0","4,200.0","4,000.0","80.37K","5.79%"
"04/05/2020","3,970.0","3,920.0","4,050.0","3,880.0","333.40K","1.28%"
"29/04/2020","3,920.0","3,850.0","4,080.0","3,850.0","171.14K","1.82%"
"28/04/2020","3,850.0","4,150.0","4,150.0","3,850.0","236.02K","-6.10%"
"27/04/2020","4,100.0","3,940.0","4,150.0","3,940.0","279.35K","4.33%"
"24/04/2020","3,930.0","3,950.0","4,040.0","3,810.0","187.70K","1.55%"
"23/04/2020","3,870.0","4,000.0","4,090.0","3,860.0","126.60K","-3.25%"
"22/04/2020","4,000.0","3,850.0","4,000.0","3,850.0","251.54K","5.26%"
"21/04/2020","3,800.0","3,720.0","3,900.0","3,720.0","132.04K","-3.06%"
"20/04/2020","3,920.0","3,700.0","3,950.0","3,700.0","540.22K","5.95%"
"17/04/2020","3,700.0","3,970.0","3,970.0","3,700.0","187.79K","-4.88%"
"16/04/2020","3,890.0","3,900.0","3,920.0","3,770.0","69.38K","3.46%"
"15/04/2020","3,760.0","3,700.0","3,900.0","3,700.0","199.27K","1.90%"
"14/04/2020","3,690.0","3,710.0","3,890.0","3,650.0","97.57K","-2.89%"
"13/04/2020","3,800.0","3,680.0","3,830.0","3,680.0","91.88K","3.26%"
"10/04/2020","3,680.0","3,710.0","3,750.0","3,650.0","180.63K","0.55%"
"09/04/2020","3,660.0","3,630.0","3,750.0","3,630.0","77.44K","0.00%"
"08/04/2020","3,660.0","3,650.0","3,750.0","3,640.0","182.31K","0.27%"
"07/04/2020","3,650.0","3,570.0","3,720.0","3,500.0","453.66K","3.69%"
"06/04/2020","3,520.0","3,600.0","3,600.0","3,490.0","146.36K","2.03%"
"03/04/2020","3,450.0","3,500.0","3,560.0","3,450.0","50.26K","-2.27%"
"01/04/2020","3,530.0","3,450.0","3,530.0","3,350.0","63.30K","2.32%"
"31/03/2020","3,450.0","3,350.0","3,480.0","3,300.0","279.86K","2.99%"
"30/03/2020","3,350.0","3,300.0","3,350.0","3,170.0","571.03K","-1.47%"
"27/03/2020","3,400.0","3,300.0","3,420.0","3,300.0","179.03K","2.41%"
"26/03/2020","3,320.0","3,400.0","3,400.0","3,200.0","127.27K","-2.35%"
"25/03/2020","3,400.0","3,380.0","3,480.0","3,320.0","296.88K","0.29%"
"24/03/2020","3,390.0","3,250.0","3,390.0","3,200.0","1.56M","0.00%"
"23/03/2020","3,390.0","3,180.0","3,390.0","3,160.0","1.48M","0.00%"
"20/03/2020","3,390.0","3,550.0","3,550.0","3,390.0","2.36M","-4.51%"
"19/03/2020","3,550.0","3,650.0","3,650.0","3,480.0","1.21M","-0.84%"
"18/03/2020","3,580.0","3,460.0","3,600.0","3,460.0","1.07M","3.47%"
"17/03/2020","3,460.0","3,530.0","3,550.0","3,450.0","68.34K","-1.70%"
"16/03/2020","3,520.0","3,400.0","3,520.0","3,390.0","195.20K","3.23%"
"13/03/2020","3,410.0","3,410.0","3,540.0","3,330.0","204.52K","-3.94%"
"12/03/2020","3,550.0","3,550.0","3,580.0","3,490.0","925.69K","-0.28%"
"11/03/2020","3,560.0","3,700.0","3,700.0","3,520.0","590.10K","1.14%"
"10/03/2020","3,520.0","3,540.0","3,650.0","3,500.0","506.24K","-1.95%"
"09/03/2020","3,590.0","3,760.0","3,760.0","3,590.0","355.36K","-6.75%"
