"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","14,600.0","14,950.0","14,950.0","14,600.0","0.07K","4.29%"
"04/05/2020","14,000.0","14,000.0","14,000.0","14,000.0","0.78K","0.00%"
"27/04/2020","14,000.0","14,100.0","14,100.0","13,500.0","0.61K","-3.11%"
"24/04/2020","14,450.0","14,450.0","14,450.0","14,450.0","0.01K","5.86%"
"23/04/2020","13,650.0","13,650.0","13,650.0","13,650.0","0.13K","6.64%"
"22/04/2020","12,800.0","12,700.0","12,800.0","12,700.0","0.40K","-5.19%"
"21/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.01K","0.00%"
"20/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.75K","-3.23%"
"15/04/2020","13,950.0","12,600.0","13,950.0","12,600.0","0.03K","4.10%"
"14/04/2020","13,400.0","13,400.0","13,400.0","13,300.0","0.39K","-0.37%"
"13/04/2020","13,450.0","13,450.0","13,450.0","13,450.0","0.68K","-6.92%"
"09/04/2020","14,450.0","13,150.0","14,450.0","13,150.0","0.04K","2.48%"
"08/04/2020","14,100.0","14,200.0","14,200.0","12,900.0","0.67K","6.02%"
"07/04/2020","13,300.0","13,250.0","13,300.0","13,250.0","5.67K","-6.34%"
"06/04/2020","14,200.0","13,450.0","14,200.0","13,450.0","3.22K","-1.73%"
"03/04/2020","14,450.0","14,500.0","14,500.0","13,000.0","0.66K","3.96%"
"01/04/2020","13,900.0","13,900.0","13,900.0","12,100.0","8.05K","6.92%"
"31/03/2020","13,000.0","13,000.0","13,000.0","11,300.0","2.01K","7.00%"
"30/03/2020","12,150.0","13,900.0","13,900.0","12,150.0","0.02K","-6.54%"
"27/03/2020","13,000.0","13,300.0","13,400.0","13,000.0","0.04K","-3.35%"
"26/03/2020","13,450.0","13,450.0","14,450.0","13,450.0","4.33K","-6.92%"
"25/03/2020","14,450.0","14,350.0","14,450.0","14,350.0","0.02K","3.21%"
"24/03/2020","14,000.0","14,250.0","14,250.0","14,000.0","0.03K","4.87%"
"23/03/2020","13,350.0","14,300.0","15,350.0","13,350.0","1.33K","-6.97%"
"20/03/2020","14,350.0","12,550.0","14,350.0","12,550.0","4.54K","6.69%"
"19/03/2020","13,450.0","14,350.0","14,350.0","13,450.0","0.02K","0.00%"
"18/03/2020","13,450.0","13,450.0","13,450.0","13,450.0","0.01K","0.00%"
"17/03/2020","13,450.0","12,650.0","13,450.0","12,650.0","0.03K","0.00%"
"16/03/2020","13,450.0","13,450.0","13,450.0","13,450.0","0.91K","6.75%"
"13/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","0.02K","-6.67%"
"12/03/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.01K","-6.90%"
"11/03/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.03K","-6.45%"
"09/03/2020","15,500.0","16,600.0","16,600.0","15,500.0","0.04K","-6.34%"
"06/03/2020","16,550.0","16,550.0","16,550.0","14,450.0","3.05K","6.77%"
"05/03/2020","15,500.0","15,500.0","15,500.0","15,500.0","0.02K","6.53%"
"04/03/2020","14,550.0","14,550.0","14,550.0","14,550.0","0.02K","6.99%"
