"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","4,500","4,600","4,600","4,500","3.20K","-4.26%"
"29/04/2020","4,700","4,200","4,700","4,200","19.60K","14.63%"
"28/04/2020","4,100","4,100","4,100","4,100","12.70K","-6.82%"
"27/04/2020","4,400","4,000","4,400","4,000","17.70K","7.32%"
"24/04/2020","4,100","4,100","4,100","4,100","10.80K","-2.38%"
"23/04/2020","4,200","4,500","4,500","4,200","11.40K","-6.67%"
"22/04/2020","4,500","4,300","4,600","4,300","15.40K","4.65%"
"21/04/2020","4,300","4,300","4,700","4,300","79.90K","2.38%"
"20/04/2020","4,200","3,900","4,200","3,900","23.00K","5.00%"
"17/04/2020","4,000","3,900","4,100","3,900","10.60K","2.56%"
"16/04/2020","3,900","3,900","3,900","3,900","24.50K","-11.36%"
"15/04/2020","4,400","4,500","4,500","4,400","2.00K","-4.35%"
"14/04/2020","4,600","4,600","4,700","4,400","23.10K","9.52%"
"13/04/2020","4,200","3,700","4,400","3,700","75.60K","10.53%"
"10/04/2020","3,800","3,900","3,900","3,800","4.00K","-7.32%"
"06/04/2020","4,100","4,400","4,400","4,100","3.50K","-2.38%"
"03/04/2020","4,200","4,200","4,200","4,200","2.50K","13.51%"
"31/03/2020","3,700","3,900","3,900","3,700","8.00K","0.00%"
"27/03/2020","3,700","3,700","3,700","3,700","1.30K","-2.63%"
"24/03/2020","3,800","4,000","4,000","3,800","6.30K","2.70%"
"23/03/2020","3,700","3,800","3,800","3,700","2.10K","-13.95%"
"20/03/2020","4,300","4,300","4,300","4,300","0.50K","0.00%"
"17/03/2020","4,300","4,300","4,300","4,300","0.10K","2.38%"
"16/03/2020","4,200","4,100","4,200","4,100","5.00K","0.00%"
"12/03/2020","4,200","4,400","4,400","4,200","0.60K","-2.33%"
"11/03/2020","4,300","4,400","4,400","3,900","3.60K","7.50%"
"10/03/2020","4,000","3,600","4,000","3,600","7.70K","2.56%"
"09/03/2020","3,900","4,500","4,500","3,900","28.00K","-13.33%"
"05/03/2020","4,500","4,500","4,500","4,500","1.40K","-6.25%"
"04/03/2020","4,800","4,800","4,800","4,800","0.10K","0.00%"
"03/03/2020","4,800","4,800","4,800","4,400","4.20K","4.35%"
"25/02/2020","4,600","4,600","4,600","4,600","2.00K","0.00%"
"24/02/2020","4,600","4,600","4,600","4,600","0.90K","0.00%"
"21/02/2020","4,600","4,600","4,600","4,600","5.10K","-2.13%"
"20/02/2020","4,700","4,800","4,800","4,700","9.00K","-2.08%"
"19/02/2020","4,800","4,800","4,800","4,700","24.50K","4.35%"
"18/02/2020","4,600","4,700","4,700","4,600","5.00K","-4.17%"
"14/02/2020","4,800","4,900","4,900","4,800","2.40K","2.13%"
"12/02/2020","4,700","4,700","4,700","4,700","0.10K","-2.08%"
"11/02/2020","4,800","4,600","4,800","4,600","7.00K","-2.04%"
"07/02/2020","4,900","4,900","4,900","4,900","0.10K","0.00%"
"06/02/2020","4,900","4,900","4,900","4,900","0.10K","2.08%"
"04/02/2020","4,800","4,600","4,800","4,600","2.00K","0.00%"
"03/02/2020","4,800","4,800","4,800","4,800","2.50K","-2.04%"
"31/01/2020","4,900","4,900","5,000","4,900","17.50K","0.00%"
"30/01/2020","4,900","4,700","4,900","4,700","5.20K","2.08%"
"22/01/2020","4,800","4,400","4,800","4,400","5.00K","9.09%"
"21/01/2020","4,400","4,600","4,600","4,400","10.90K","-2.22%"
"20/01/2020","4,500","4,500","4,600","4,400","17.80K","0.00%"
"17/01/2020","4,500","4,600","4,700","4,500","7.40K","18.42%"
"16/01/2020","3,800","4,900","4,900","3,800","19.40K","-13.64%"
"15/01/2020","4,400","4,400","4,400","4,400","12.00K","0.00%"
"14/01/2020","4,400","5,000","5,000","4,400","14.10K","0.00%"
"13/01/2020","4,400","4,600","4,600","4,400","29.00K","-13.73%"
"08/01/2020","5,100","5,100","5,100","5,100","3.00K","4.08%"
"07/01/2020","4,900","4,900","4,900","4,900","4.60K","0.00%"
"06/01/2020","4,900","4,900","4,900","4,900","1.00K","-2.00%"
"03/01/2020","5,000","5,000","5,000","5,000","0.40K","0.00%"
"02/01/2020","5,000","5,000","5,000","5,000","1.00K","4.17%"
"31/12/2019","4,800","4,800","4,800","4,800","2.00K","0.00%"
"27/12/2019","4,800","5,200","5,200","4,800","4.60K","-2.04%"
"26/12/2019","4,900","5,200","5,200","4,900","9.83K","0.00%"
"25/12/2019","4,900","4,900","4,900","4,900","20.00K","-2.00%"
"23/12/2019","5,000","5,300","5,300","5,000","10.00K","-3.85%"
"19/12/2019","5,200","5,200","5,200","5,200","2.02K","4.00%"
"18/12/2019","5,000","5,400","5,400","5,000","17.80K","2.04%"
"17/12/2019","4,900","4,800","5,000","4,800","7.00K","-2.00%"
"16/12/2019","5,000","5,300","5,300","5,000","13.00K","0.00%"
"13/12/2019","5,000","5,000","5,000","5,000","0.10K","0.00%"
"12/12/2019","5,000","5,000","5,000","5,000","0.80K","0.00%"
"11/12/2019","5,000","5,000","5,000","5,000","12.00K","4.17%"
"10/12/2019","4,800","4,800","4,800","4,800","0.10K","-5.88%"
"09/12/2019","5,100","5,100","5,100","5,100","2.70K","2.00%"
"06/12/2019","5,000","5,000","5,000","5,000","0.10K","2.04%"
"03/12/2019","4,900","4,900","4,900","4,900","4.50K","0.00%"
"29/11/2019","4,900","4,900","4,900","4,900","4.20K","-2.00%"
"27/11/2019","5,000","5,000","5,000","5,000","0.10K","2.04%"
"26/11/2019","4,900","4,900","4,900","4,900","11.30K","-2.00%"
"22/11/2019","5,000","5,000","5,000","5,000","2.00K","2.04%"
"21/11/2019","4,900","4,600","4,900","4,600","7.00K","-2.00%"
"18/11/2019","5,000","5,000","5,000","5,000","2.00K","2.04%"
"15/11/2019","4,900","4,900","4,900","4,900","3.60K","0.00%"
"13/11/2019","4,900","4,900","4,900","4,900","2.90K","-3.92%"
"08/11/2019","5,100","5,100","5,100","5,100","0.20K","2.00%"
"05/11/2019","5,000","5,000","5,000","5,000","0.60K","0.00%"
"01/11/2019","5,000","5,000","5,000","5,000","46.80K","0.00%"
"30/10/2019","5,000","5,200","5,200","5,000","3.00K","0.00%"
"29/10/2019","5,000","5,000","5,000","5,000","3.00K","4.17%"
"28/10/2019","4,800","4,800","4,800","4,800","1.01K","-2.04%"
"25/10/2019","4,900","5,100","5,100","4,900","3.80K","0.00%"
"22/10/2019","4,900","4,900","4,900","4,900","26.00K","0.00%"
"17/10/2019","4,900","4,900","4,900","4,900","5.00K","0.00%"
"15/10/2019","4,900","4,800","4,900","4,800","4.30K","2.08%"
"11/10/2019","4,800","4,900","4,900","4,800","1.30K","-2.04%"
"10/10/2019","4,900","4,900","4,900","4,900","0.50K","-2.00%"
"09/10/2019","5,000","4,900","5,000","4,900","3.10K","0.00%"
"08/10/2019","5,000","5,000","5,000","5,000","2.06K","0.00%"
"07/10/2019","5,000","4,900","5,000","4,900","13.90K","2.04%"
"03/10/2019","4,900","4,900","4,900","4,900","5.00K","2.08%"
"02/10/2019","4,800","4,800","4,800","4,700","6.00K","0.00%"
"30/09/2019","4,800","4,800","4,900","4,700","9.00K","-2.04%"
"27/09/2019","4,900","4,900","4,900","4,900","8.01K","0.00%"
"26/09/2019","4,900","5,000","5,000","4,900","17.50K","-2.00%"
"25/09/2019","5,000","5,000","5,000","5,000","2.70K","0.00%"
"24/09/2019","5,000","4,900","5,000","4,900","2.40K","0.00%"
"23/09/2019","5,000","5,000","5,000","5,000","10.90K","2.04%"
"20/09/2019","4,900","4,900","4,900","4,900","0.11K","-10.91%"
"19/09/2019","5,500","5,500","5,500","5,500","4.10K","7.84%"
"18/09/2019","5,100","5,000","5,100","5,000","2.30K","2.00%"
"17/09/2019","5,000","4,900","5,000","4,800","13.03K","-1.96%"
"16/09/2019","5,100","5,100","5,100","5,000","18.10K","-1.92%"
"13/09/2019","5,200","5,300","5,300","5,200","9.01K","1.96%"
"12/09/2019","5,100","5,100","5,100","5,100","2.00K","2.00%"
"11/09/2019","5,000","5,000","5,000","5,000","1.00K","0.00%"
"10/09/2019","5,000","5,200","5,200","4,900","6.90K","2.04%"
"09/09/2019","4,900","4,900","4,900","4,900","4.00K","-3.92%"
"06/09/2019","5,100","4,900","5,100","4,900","4.30K","-3.77%"
"05/09/2019","5,300","5,500","5,500","4,800","25.40K","10.42%"
"04/09/2019","4,800","4,900","5,300","4,800","40.70K","-4.00%"
"03/09/2019","5,000","5,000","5,100","5,000","19.80K","-9.09%"
"30/08/2019","5,500","5,800","5,800","5,500","0.30K","-3.51%"
"29/08/2019","5,700","5,500","5,800","5,400","64.44K","9.62%"
"28/08/2019","5,200","5,000","5,200","5,000","11.82K","13.04%"
"27/08/2019","4,600","4,800","4,800","4,600","9.50K","-6.12%"
"26/08/2019","4,900","4,500","4,900","4,500","1.80K","-2.00%"
"20/08/2019","5,000","5,000","5,000","5,000","2.00K","2.04%"
"16/08/2019","4,900","5,000","5,000","4,900","9.20K","4.26%"
"15/08/2019","4,700","4,900","4,900","4,700","16.30K","-6.00%"
"14/08/2019","5,000","5,000","5,000","5,000","4.50K","0.00%"
"13/08/2019","5,000","5,000","5,000","5,000","5.50K","2.04%"
"12/08/2019","4,900","4,900","4,900","4,900","3.00K","-2.00%"
"09/08/2019","5,000","4,800","5,000","4,800","6.10K","-7.41%"
"07/08/2019","5,400","5,000","5,500","5,000","30.40K","8.00%"
"06/08/2019","5,000","4,800","5,000","4,800","2.90K","4.17%"
"05/08/2019","4,800","4,800","4,800","4,800","5.60K","0.00%"
"02/08/2019","4,800","4,800","4,800","4,800","26.20K","0.00%"
"01/08/2019","4,800","4,700","4,900","4,700","25.30K","-4.00%"
"31/07/2019","5,000","5,000","5,000","5,000","10.30K","0.00%"
"30/07/2019","5,000","5,100","5,100","5,000","6.50K","-1.96%"
"29/07/2019","5,100","5,100","5,100","5,100","4.50K","0.00%"
"26/07/2019","5,100","5,100","5,100","5,100","2.20K","-1.92%"
"25/07/2019","5,200","5,100","5,200","5,000","5.00K","0.00%"
"24/07/2019","5,200","5,200","5,200","5,200","0.40K","4.00%"
"23/07/2019","5,000","5,300","5,300","5,000","2.00K","0.00%"
"22/07/2019","5,000","5,100","5,100","5,000","41.70K","-1.96%"
"19/07/2019","5,100","5,300","5,400","5,100","20.20K","0.00%"
"18/07/2019","5,100","5,400","5,400","5,100","37.50K","-3.77%"
"17/07/2019","5,300","5,400","5,400","5,300","7.40K","-1.85%"
"16/07/2019","5,400","5,300","5,400","5,300","8.51K","1.89%"
"15/07/2019","5,300","5,300","5,400","5,300","23.60K","0.00%"
"12/07/2019","5,300","5,400","5,500","5,300","33.70K","-1.85%"
"11/07/2019","5,400","5,500","5,500","5,300","27.00K","-1.82%"
"10/07/2019","5,500","5,300","5,500","5,300","33.80K","1.85%"
"09/07/2019","5,400","5,500","5,500","5,300","73.21K","-8.47%"
"08/07/2019","5,900","5,800","5,900","5,500","16.20K","1.72%"
"05/07/2019","5,800","5,800","6,100","5,700","6.10K","-1.69%"
"04/07/2019","5,900","6,000","6,600","5,900","296.82K","-3.28%"
"03/07/2019","6,100","5,500","6,100","5,300","36.54K","8.93%"
"02/07/2019","5,600","5,800","5,900","5,600","20.90K","-5.08%"
"01/07/2019","5,900","5,700","6,000","5,700","21.40K","3.51%"
"28/06/2019","5,700","5,800","6,100","5,700","35.06K","-1.72%"
"27/06/2019","5,800","5,300","5,800","5,200","82.90K","7.41%"
"26/06/2019","5,400","4,700","5,400","4,700","33.40K","14.89%"
"25/06/2019","4,700","4,800","5,100","4,700","26.00K","-2.08%"
"24/06/2019","4,800","4,800","4,800","4,800","-","0.00%"
"20/06/2019","4,800","4,500","4,800","4,500","2.00K","-2.04%"
"18/06/2019","4,900","4,900","4,900","4,900","0.10K","6.52%"
"17/06/2019","4,600","4,600","4,600","4,600","2.00K","-6.12%"
"14/06/2019","4,900","4,900","4,900","4,900","1.00K","6.52%"
"12/06/2019","4,600","4,600","4,600","4,600","0.30K","-4.17%"
"05/06/2019","4,800","4,900","4,900","4,800","2.70K","-2.04%"
"04/06/2019","4,900","4,900","4,900","4,900","2.00K","4.26%"
"03/06/2019","4,700","4,700","4,700","4,700","1.00K","2.17%"
"31/05/2019","4,600","4,600","4,700","4,600","8.60K","-2.13%"
"30/05/2019","4,700","4,600","4,700","4,600","0.30K","-6.00%"
"29/05/2019","5,000","5,000","5,000","5,000","0.10K","8.70%"
"28/05/2019","4,600","4,600","4,600","4,600","4.00K","0.00%"
"27/05/2019","4,600","4,600","4,600","4,600","10.70K","2.22%"
"24/05/2019","4,500","4,500","4,500","4,500","0.11K","-2.17%"
"23/05/2019","4,600","4,600","4,600","4,600","0.10K","-9.80%"
"22/05/2019","5,100","5,100","5,100","5,100","1.70K","-1.92%"
"21/05/2019","5,200","5,200","5,200","5,100","4.10K","6.12%"
"20/05/2019","4,900","4,900","4,900","4,700","4.20K","13.95%"
"15/05/2019","4,300","4,300","4,300","4,300","0.10K","-10.42%"
"14/05/2019","4,800","4,700","4,800","4,700","1.00K","0.00%"
"13/05/2019","4,800","4,800","4,800","4,500","3.80K","0.00%"
"10/05/2019","4,800","4,800","4,800","4,800","0.10K","6.67%"
"09/05/2019","4,500","4,600","4,600","4,500","6.40K","-2.17%"
"08/05/2019","4,600","4,200","4,600","4,100","6.27K","-4.17%"
"26/04/2019","4,800","4,800","4,800","4,800","3.00K","-4.00%"
"24/04/2019","5,000","5,000","5,000","5,000","0.10K","2.04%"
"23/04/2019","4,900","4,900","4,900","4,900","1.50K","2.08%"
"22/04/2019","4,800","4,900","4,900","4,800","5.00K","-5.88%"
"18/04/2019","5,100","5,100","5,100","5,100","0.10K","6.25%"
"17/04/2019","4,800","4,800","5,000","4,800","11.70K","-4.00%"
"16/04/2019","5,000","5,000","5,000","5,000","0.10K","-3.85%"
"12/04/2019","5,200","4,900","5,200","4,800","3.40K","0.00%"
"11/04/2019","5,200","5,200","5,200","5,200","3.00K","1.96%"
"10/04/2019","5,100","5,000","5,100","5,000","15.90K","2.00%"
"09/04/2019","5,000","5,200","5,200","5,000","0.60K","0.00%"
"08/04/2019","5,000","5,000","5,000","5,000","6.00K","0.00%"
"05/04/2019","5,000","5,200","5,200","5,000","0.60K","4.17%"
"04/04/2019","4,800","5,200","5,200","4,800","10.20K","-4.00%"
"02/04/2019","5,000","5,000","5,000","5,000","0.80K","4.17%"
"01/04/2019","4,800","5,300","5,300","4,800","57.40K","-4.00%"
"29/03/2019","5,000","5,000","5,000","5,000","0.80K","0.00%"
"26/03/2019","5,000","5,000","5,000","5,000","3.10K","0.00%"
"22/03/2019","5,000","5,000","5,000","5,000","2.00K","-7.41%"
"20/03/2019","5,400","5,400","5,400","5,400","0.80K","5.88%"
"19/03/2019","5,100","5,000","5,100","5,000","0.71K","-5.56%"
"18/03/2019","5,400","5,000","5,400","5,000","3.70K","5.88%"
"15/03/2019","5,100","5,200","5,400","5,100","7.60K","8.51%"
"14/03/2019","4,700","4,700","4,700","4,700","0.11K","-11.32%"
"12/03/2019","5,300","5,000","5,300","5,000","8.20K","1.92%"
"11/03/2019","5,200","5,200","5,200","5,200","1.00K","4.00%"
"06/03/2019","5,000","5,000","5,000","5,000","5.00K","-5.66%"
"01/03/2019","5,300","5,100","5,300","5,000","2.70K","0.00%"
"28/02/2019","5,300","5,300","5,300","5,300","7.50K","-7.02%"
"22/02/2019","5,700","5,400","5,700","5,400","2.90K","5.56%"
