"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","18,600.0","18,500.0","18,600.0","18,500.0","1.85K","0.54%"
"27/04/2020","18,500.0","18,500.0","18,500.0","18,500.0","0.10K","-6.57%"
"24/04/2020","19,800.0","19,800.0","19,800.0","19,800.0","0.21K","-0.50%"
"22/04/2020","19,900.0","19,900.0","19,900.0","19,900.0","0.10K","0.51%"
"20/04/2020","19,800.0","18,600.0","19,800.0","18,600.0","0.20K","-0.50%"
"17/04/2020","19,900.0","19,900.0","19,900.0","19,900.0","0.20K","0.00%"
"16/04/2020","19,900.0","19,900.0","20,000.0","19,900.0","1.20K","-0.50%"
"15/04/2020","20,000.0","20,000.0","20,000.0","19,900.0","0.31K","2.04%"
"14/04/2020","19,600.0","19,600.0","19,600.0","19,600.0","0.30K","0.51%"
"13/04/2020","19,500.0","19,500.0","19,500.0","19,500.0","0.10K","3.17%"
"10/04/2020","18,900.0","18,900.0","18,900.0","18,900.0","1.00K","0.00%"
"09/04/2020","18,900.0","18,900.0","18,900.0","18,900.0","4.02K","0.00%"
"06/04/2020","18,900.0","20,000.0","20,000.0","18,900.0","2.17K","-5.50%"
"26/03/2020","20,000.0","20,000.0","20,000.0","20,000.0","0.11K","2.56%"
"25/03/2020","19,500.0","18,000.0","19,500.0","18,000.0","3.60K","2.63%"
"23/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.70K","-5.00%"
"20/03/2020","20,000.0","20,000.0","20,000.0","20,000.0","0.10K","1.01%"
"13/03/2020","19,800.0","19,800.0","19,800.0","19,800.0","0.50K","0.00%"
"12/03/2020","19,800.0","19,800.0","19,800.0","19,800.0","0.10K","0.00%"
"11/03/2020","19,800.0","19,800.0","19,800.0","19,800.0","0.10K","-1.49%"
"10/03/2020","20,100.0","20,100.0","20,100.0","20,100.0","6.40K","-1.95%"
"05/03/2020","20,500.0","20,500.0","20,500.0","20,500.0","0.10K","1.99%"
"04/03/2020","20,100.0","20,100.0","20,100.0","20,100.0","0.10K","-1.95%"
"03/03/2020","20,500.0","20,400.0","20,500.0","20,400.0","3.11K","0.49%"
"28/02/2020","20,400.0","20,400.0","20,400.0","20,400.0","0.10K","3.55%"
"27/02/2020","19,700.0","19,700.0","19,700.0","18,000.0","1.10K","0.51%"
"26/02/2020","19,600.0","19,600.0","19,600.0","19,600.0","1.00K","0.51%"
"25/02/2020","19,500.0","17,200.0","19,500.0","17,200.0","0.30K","7.73%"
"24/02/2020","18,100.0","20,000.0","20,000.0","18,100.0","1.40K","-9.50%"
"21/02/2020","20,000.0","20,000.0","20,000.0","20,000.0","0.30K","6.38%"
"18/02/2020","18,800.0","18,700.0","18,800.0","18,700.0","3.90K","9.94%"
"17/02/2020","17,100.0","17,100.0","17,100.0","17,100.0","0.20K","-5.00%"
"13/02/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.50K","-9.09%"
"12/02/2020","19,800.0","18,500.0","19,800.0","17,800.0","1.70K","10.00%"
"11/02/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.20K","-8.16%"
"31/01/2020","19,600.0","19,800.0","20,000.0","19,600.0","3.60K","-2.97%"
"22/01/2020","20,200.0","20,200.0","20,200.0","20,200.0","0.60K","0.00%"
"20/01/2020","20,200.0","18,100.0","20,200.0","18,000.0","1.30K","1.00%"
"17/01/2020","20,000.0","20,000.0","20,000.0","20,000.0","0.20K","1.01%"
"06/01/2020","19,800.0","19,800.0","19,800.0","19,800.0","0.10K","-10.00%"
"31/12/2019","22,000.0","20,100.0","22,000.0","20,000.0","322.15K","8.37%"
"30/12/2019","20,300.0","19,000.0","20,300.0","18,200.0","51.20K","1.00%"
"27/12/2019","20,100.0","20,000.0","20,100.0","20,000.0","45.00K","0.50%"
"26/12/2019","20,000.0","18,700.0","20,000.0","18,700.0","11.20K","5.26%"
"25/12/2019","19,000.0","17,800.0","19,500.0","17,800.0","27.66K","6.74%"
"24/12/2019","17,800.0","17,300.0","17,800.0","17,300.0","0.30K","0.56%"
"23/12/2019","17,700.0","17,500.0","17,700.0","17,000.0","20.11K","0.00%"
"20/12/2019","17,700.0","17,700.0","17,800.0","17,500.0","28.10K","0.57%"
"19/12/2019","17,600.0","17,500.0","17,700.0","17,500.0","51.50K","0.57%"
"18/12/2019","17,500.0","17,500.0","17,600.0","17,500.0","56.70K","0.00%"
"17/12/2019","17,500.0","17,700.0","18,000.0","17,500.0","48.75K","0.00%"
"16/12/2019","17,500.0","17,000.0","17,500.0","17,000.0","17.00K","0.00%"
"13/12/2019","17,500.0","16,900.0","17,500.0","16,900.0","4.70K","0.00%"
"12/12/2019","17,500.0","17,000.0","17,500.0","17,000.0","5.06K","0.00%"
"11/12/2019","17,500.0","16,600.0","17,500.0","16,600.0","2.90K","-2.78%"
"10/12/2019","18,000.0","16,400.0","18,000.0","16,300.0","5.00K","-0.55%"
"09/12/2019","18,100.0","16,800.0","18,100.0","16,800.0","1.10K","6.47%"
"06/12/2019","17,000.0","17,000.0","17,000.0","17,000.0","0.30K","0.00%"
"05/12/2019","17,000.0","17,100.0","17,100.0","17,000.0","8.80K","0.00%"
"04/12/2019","17,000.0","17,800.0","17,800.0","17,000.0","1.10K","-3.41%"
"02/12/2019","17,600.0","17,300.0","17,600.0","17,000.0","1.80K","-2.22%"
"29/11/2019","18,000.0","19,400.0","19,400.0","18,000.0","2.10K","-2.70%"
