"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","50,600.0","50,600.0","50,600.0","50,600.0","-","10.00%"
"04/05/2020","46,000.0","46,000.0","46,000.0","46,000.0","0.50K","9.79%"
"29/04/2020","41,900.0","41,900.0","41,900.0","41,900.0","0.10K","9.97%"
"16/03/2020","38,100.0","38,100.0","38,100.0","38,100.0","0.10K","-9.93%"
"13/03/2020","42,300.0","42,300.0","42,300.0","42,300.0","0.10K","9.87%"
"25/02/2020","38,500.0","45,000.0","45,000.0","38,500.0","1.70K","-9.84%"
"17/01/2020","42,700.0","51,000.0","51,000.0","42,700.0","1.11K","-7.97%"
"16/01/2020","46,400.0","46,200.0","56,300.0","46,200.0","4.00K","-9.38%"
"15/01/2020","51,200.0","56,200.0","56,200.0","51,200.0","3.90K","0.20%"
"14/01/2020","51,100.0","51,100.0","51,100.0","51,100.0","0.10K","9.89%"
"13/01/2020","46,500.0","46,500.0","46,500.0","46,500.0","1.60K","3.10%"
"10/01/2020","45,100.0","49,900.0","49,900.0","45,100.0","2.70K","-0.66%"
"09/01/2020","45,400.0","45,400.0","45,400.0","45,400.0","0.10K","-9.92%"
"08/01/2020","50,400.0","50,400.0","50,400.0","50,400.0","0.10K","-10.00%"
"07/01/2020","56,000.0","46,000.0","56,100.0","46,000.0","10.30K","9.80%"
"06/01/2020","51,000.0","43,000.0","51,000.0","43,000.0","0.20K","9.91%"
"03/01/2020","46,400.0","46,400.0","46,400.0","46,400.0","0.10K","9.69%"
"02/01/2020","42,300.0","42,300.0","42,300.0","42,300.0","0.10K","21.90%"
"30/12/2019","34,700.0","34,700.0","34,700.0","34,700.0","-","0.00%"
"19/12/2019","34,700.0","34,700.0","34,700.0","34,700.0","-","-9.87%"
"18/12/2019","38,500.0","38,500.0","38,500.0","38,500.0","0.10K","-9.62%"
"17/12/2019","42,600.0","42,600.0","42,600.0","42,600.0","0.10K","-8.58%"
"16/12/2019","46,600.0","42,400.0","46,600.0","42,400.0","0.20K","9.91%"
"13/12/2019","42,400.0","42,400.0","42,400.0","35,100.0","3.50K","9.84%"
"04/12/2019","38,600.0","45,000.0","45,000.0","38,600.0","0.30K","-9.60%"
"02/12/2019","42,700.0","42,700.0","42,700.0","42,700.0","0.20K","9.77%"
"29/11/2019","38,900.0","38,900.0","38,900.0","38,900.0","0.10K","-9.95%"
"28/11/2019","43,200.0","52,800.0","52,800.0","43,200.0","0.60K","-10.00%"
"27/11/2019","48,000.0","48,000.0","48,000.0","48,000.0","0.10K","-9.43%"
"26/11/2019","53,000.0","58,400.0","58,400.0","47,800.0","12.00K","-0.19%"
"25/11/2019","53,100.0","59,000.0","59,000.0","53,100.0","1.10K","-10.00%"
"22/11/2019","59,000.0","59,000.0","59,000.0","58,800.0","30.30K","0.00%"
"21/11/2019","59,000.0","62,900.0","62,900.0","59,000.0","0.20K","0.00%"
"20/11/2019","59,000.0","59,500.0","59,500.0","54,200.0","25.92K","9.06%"
"19/11/2019","54,100.0","50,000.0","54,100.0","49,200.0","15.50K","9.96%"
"18/11/2019","49,200.0","49,200.0","49,200.0","49,200.0","0.10K","9.82%"
"15/11/2019","44,800.0","44,800.0","44,800.0","44,800.0","0.10K","9.80%"
"13/11/2019","40,800.0","40,800.0","40,800.0","40,800.0","0.10K","9.97%"
"12/11/2019","37,100.0","42,600.0","42,600.0","37,100.0","0.20K","-4.38%"
"08/11/2019","38,800.0","38,800.0","38,800.0","38,800.0","0.10K","9.92%"
"05/11/2019","35,300.0","35,300.0","35,300.0","35,300.0","0.10K","9.97%"
"01/11/2019","32,100.0","32,100.0","32,100.0","32,100.0","0.10K","9.93%"
"09/10/2019","29,200.0","29,200.0","29,200.0","29,200.0","0.30K","-8.46%"
"23/08/2019","31,900.0","31,900.0","31,900.0","31,900.0","0.10K","-9.63%"
"21/08/2019","35,300.0","35,300.0","43,100.0","35,300.0","0.70K","-9.95%"
"19/08/2019","39,200.0","45,000.0","45,000.0","39,200.0","70.50K","-9.89%"
"16/08/2019","43,500.0","43,500.0","43,500.0","43,500.0","0.10K","9.85%"
"13/08/2019","39,600.0","45,000.0","48,400.0","39,600.0","24.50K","-10.00%"
"12/08/2019","44,000.0","40,500.0","44,000.0","40,500.0","0.20K","-2.22%"
"09/08/2019","45,000.0","36,900.0","45,100.0","36,900.0","0.70K","9.76%"
"08/08/2019","41,000.0","41,000.0","41,000.0","41,000.0","0.10K","7.89%"
"07/08/2019","38,000.0","32,900.0","38,000.0","32,900.0","2.67K","4.11%"
"06/08/2019","36,500.0","36,500.0","44,500.0","36,500.0","29.60K","-9.88%"
"05/08/2019","40,500.0","44,900.0","44,900.0","40,500.0","0.30K","-10.00%"
"02/08/2019","45,000.0","47,300.0","47,300.0","44,000.0","17.30K","4.65%"
"01/08/2019","43,000.0","43,300.0","43,300.0","39,500.0","1.70K","9.14%"
"31/07/2019","39,400.0","39,400.0","39,400.0","39,400.0","0.10K","9.75%"
"30/07/2019","35,900.0","39,400.0","39,400.0","35,900.0","0.60K","0.00%"
"29/07/2019","35,900.0","35,900.0","35,900.0","35,900.0","1.00K","9.79%"
"26/07/2019","32,700.0","34,000.0","39,600.0","32,600.0","0.40K","-9.17%"
"25/07/2019","36,000.0","44,000.0","44,000.0","36,000.0","19.80K","-10.00%"
"24/07/2019","40,000.0","44,000.0","44,000.0","40,000.0","4.40K","0.00%"
