"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","12,100","12,000","12,100","11,800","110.10K","3.42%"
"29/04/2020","11,700","11,500","12,200","11,300","142.50K","1.74%"
"28/04/2020","11,500","11,300","11,500","11,100","23.90K","0.88%"
"27/04/2020","11,400","11,400","11,600","11,300","19.30K","0.00%"
"24/04/2020","11,400","11,400","11,700","11,400","6.90K","-1.72%"
"23/04/2020","11,600","12,500","12,500","11,400","37.61K","2.65%"
"22/04/2020","11,300","11,300","12,700","11,000","95.45K","2.73%"
"21/04/2020","11,000","11,700","11,700","11,000","82.50K","-8.33%"
"20/04/2020","12,000","12,500","12,500","11,500","48.00K","-3.23%"
"17/04/2020","12,400","12,100","12,800","12,100","116.00K","5.08%"
"16/04/2020","11,800","10,800","12,000","10,600","142.05K","11.32%"
"15/04/2020","10,600","10,200","10,700","10,200","12.60K","3.92%"
"14/04/2020","10,200","10,400","10,400","10,200","6.80K","-2.86%"
"13/04/2020","10,500","10,200","10,600","10,200","25.30K","1.94%"
"10/04/2020","10,300","10,400","10,400","9,900","18.40K","0.00%"
"09/04/2020","10,300","9,800","10,300","9,800","29.10K","3.00%"
"08/04/2020","10,000","10,000","10,000","9,800","11.40K","0.00%"
"07/04/2020","10,000","10,900","10,900","10,000","45.70K","-1.96%"
"06/04/2020","10,200","10,100","10,200","10,100","3.70K","-0.97%"
"03/04/2020","10,300","10,000","10,300","10,000","11.00K","0.98%"
"01/04/2020","10,200","9,100","10,400","9,100","4.60K","-3.77%"
"31/03/2020","10,600","10,600","10,600","10,600","5.50K","13.98%"
"30/03/2020","9,300","9,400","9,400","9,300","6.00K","-8.82%"
"26/03/2020","10,200","11,100","11,100","10,200","26.50K","2.00%"
"25/03/2020","10,000","10,500","10,500","10,000","8.50K","-1.96%"
"24/03/2020","10,200","11,300","11,300","10,200","6.20K","8.51%"
"23/03/2020","9,400","10,000","10,000","9,400","3.30K","-11.32%"
"20/03/2020","10,600","10,600","10,600","10,600","4.20K","7.07%"
"19/03/2020","9,900","10,400","10,400","9,800","7.50K","-5.71%"
"18/03/2020","10,500","10,600","10,600","10,400","10.40K","5.00%"
"17/03/2020","10,000","10,200","10,200","10,000","11.70K","-0.99%"
"16/03/2020","10,100","10,000","10,200","9,600","5.91K","0.00%"
"13/03/2020","10,100","10,800","10,800","10,100","4.20K","2.02%"
"12/03/2020","9,900","9,900","10,000","9,900","4.10K","5.32%"
"11/03/2020","9,400","10,600","10,600","9,200","12.72K","-9.62%"
"10/03/2020","10,400","10,400","10,400","10,400","3.30K","1.96%"
"09/03/2020","10,200","11,400","11,400","10,200","46.80K","-4.67%"
"06/03/2020","10,700","11,000","11,000","10,500","68.90K","-1.83%"
"05/03/2020","10,900","10,900","10,900","10,900","3.01K","0.00%"
"04/03/2020","10,900","10,900","10,900","10,900","11.10K","2.83%"
"03/03/2020","10,600","10,800","10,800","10,200","5.70K","-2.75%"
"02/03/2020","10,900","11,000","11,000","10,900","2.00K","-0.91%"
"28/02/2020","11,000","11,000","11,000","10,900","2.10K","-1.79%"
"27/02/2020","11,200","11,200","11,200","11,200","1.00K","3.70%"
"25/02/2020","10,800","11,300","11,300","10,800","4.10K","-0.92%"
"24/02/2020","10,900","11,100","11,300","10,900","15.50K","-4.39%"
"20/02/2020","11,400","11,600","11,600","11,200","4.80K","2.70%"
"19/02/2020","11,100","11,000","11,200","10,900","4.50K","1.83%"
"18/02/2020","10,900","10,900","11,100","10,900","2.20K","-2.68%"
"17/02/2020","11,200","11,300","11,300","11,200","2.60K","2.75%"
"14/02/2020","10,900","10,900","10,900","10,900","7.20K","-4.39%"
"13/02/2020","11,400","11,400","11,400","11,400","3.20K","4.59%"
"12/02/2020","10,900","10,900","10,900","10,900","13.90K","1.87%"
"11/02/2020","10,700","10,800","11,200","10,700","8.40K","0.94%"
"10/02/2020","10,600","10,800","10,800","10,600","4.20K","-2.75%"
"07/02/2020","10,900","10,600","10,900","10,600","18.20K","2.83%"
"06/02/2020","10,600","10,500","10,600","10,500","8.30K","0.95%"
"05/02/2020","10,500","10,500","10,500","10,500","3.90K","0.00%"
"04/02/2020","10,500","10,600","10,600","10,400","17.00K","0.00%"
"03/02/2020","10,500","10,600","10,600","10,300","18.40K","-3.67%"
"31/01/2020","10,900","11,100","11,100","10,700","7.00K","1.87%"
"30/01/2020","10,700","10,900","10,900","10,600","18.20K","0.00%"
"22/01/2020","10,700","10,800","10,800","10,400","16.20K","2.88%"
"21/01/2020","10,400","10,300","10,400","10,200","8.81K","0.97%"
"20/01/2020","10,300","10,500","10,500","10,200","4.80K","0.98%"
"17/01/2020","10,200","10,200","10,200","10,200","1.80K","3.03%"
"16/01/2020","9,900","9,900","9,900","9,900","3.80K","-4.81%"
"15/01/2020","10,400","10,400","10,400","10,400","0.10K","1.96%"
"14/01/2020","10,200","10,200","10,200","10,200","0.80K","-3.77%"
"13/01/2020","10,600","10,600","10,600","10,600","2.70K","3.92%"
"10/01/2020","10,200","10,200","10,200","10,200","0.10K","0.00%"
"09/01/2020","10,200","10,800","10,800","10,200","4.70K","-0.97%"
"08/01/2020","10,300","10,300","10,300","9,800","13.90K","0.98%"
"07/01/2020","10,200","10,800","10,800","10,200","23.80K","-4.67%"
"06/01/2020","10,700","10,600","10,700","10,000","10.40K","-0.93%"
"03/01/2020","10,800","10,800","10,800","10,800","0.30K","1.89%"
"31/12/2019","10,600","11,500","11,500","10,500","7.70K","0.95%"
"30/12/2019","10,500","10,700","10,700","10,500","12.50K","-0.94%"
"27/12/2019","10,600","10,500","10,600","10,500","11.50K","0.00%"
"26/12/2019","10,600","10,600","10,700","10,600","15.30K","0.00%"
"25/12/2019","10,600","10,500","10,600","10,500","0.30K","-0.93%"
"24/12/2019","10,700","10,600","10,700","10,600","4.20K","1.90%"
"23/12/2019","10,500","10,600","10,600","10,500","0.90K","-1.87%"
"20/12/2019","10,700","10,600","10,700","10,600","7.70K","0.94%"
"19/12/2019","10,600","10,700","10,700","10,600","0.30K","-1.85%"
"18/12/2019","10,800","10,600","10,800","10,600","12.10K","2.86%"
"17/12/2019","10,500","10,700","10,700","10,500","7.30K","0.00%"
"16/12/2019","10,500","10,500","10,500","10,500","2.10K","0.00%"
"13/12/2019","10,500","10,600","10,600","10,500","9.92K","0.00%"
"12/12/2019","10,500","10,500","10,500","10,500","2.30K","0.00%"
"11/12/2019","10,500","10,400","10,500","10,400","4.70K","0.96%"
"10/12/2019","10,400","10,500","10,600","10,400","3.80K","-0.95%"
"09/12/2019","10,500","10,500","10,500","10,500","2.10K","0.00%"
"06/12/2019","10,500","10,500","10,500","10,500","5.00K","-0.94%"
"05/12/2019","10,600","10,600","10,600","10,500","14.60K","0.95%"
"04/12/2019","10,500","10,500","10,500","10,300","10.50K","10.53%"
"03/12/2019","9,500","10,700","10,700","9,500","4.60K","-9.52%"
"02/12/2019","10,500","10,600","10,600","10,500","5.24K","-0.94%"
"29/11/2019","10,600","10,500","10,600","10,400","7.40K","0.00%"
"28/11/2019","10,600","10,500","10,700","10,500","1.30K","0.95%"
"26/11/2019","10,500","10,900","10,900","10,500","5.00K","0.00%"
"25/11/2019","10,500","10,500","10,600","10,500","2.50K","0.00%"
"22/11/2019","10,500","10,500","10,600","10,400","4.61K","0.00%"
"21/11/2019","10,500","10,600","10,600","10,500","4.60K","0.00%"
"20/11/2019","10,500","10,500","10,600","10,500","2.80K","0.00%"
"19/11/2019","10,500","10,500","10,500","10,500","5.80K","0.00%"
"18/11/2019","10,500","10,600","10,600","10,500","3.20K","0.00%"
"15/11/2019","10,500","10,600","10,600","10,500","0.60K","0.00%"
"14/11/2019","10,500","10,600","11,000","10,500","3.30K","-0.94%"
"13/11/2019","10,600","10,300","11,500","10,300","10.20K","1.92%"
"12/11/2019","10,400","10,400","10,400","10,400","1.10K","0.97%"
"11/11/2019","10,300","10,300","10,400","10,300","2.00K","0.00%"
"08/11/2019","10,300","10,400","10,400","10,300","3.10K","-0.96%"
"07/11/2019","10,400","10,500","10,500","10,300","7.20K","0.00%"
"06/11/2019","10,400","10,400","10,400","10,200","7.94K","0.00%"
"05/11/2019","10,400","10,600","10,600","10,400","3.00K","0.00%"
"04/11/2019","10,400","10,500","10,500","10,400","2.20K","0.00%"
"01/11/2019","10,400","10,400","10,600","10,400","2.40K","-0.95%"
"31/10/2019","10,500","10,700","10,800","10,500","0.70K","-0.94%"
"30/10/2019","10,600","10,800","10,900","10,500","3.30K","0.95%"
"29/10/2019","10,500","11,000","11,000","10,000","47.00K","-4.55%"
"28/10/2019","11,000","10,700","11,000","10,700","7.00K","2.80%"
"25/10/2019","10,700","10,700","10,800","10,100","8.00K","-0.93%"
"24/10/2019","10,800","11,300","11,300","10,800","12.70K","-4.42%"
"23/10/2019","11,300","11,000","11,300","11,000","0.80K","0.00%"
"22/10/2019","11,300","11,000","11,300","10,900","5.40K","2.73%"
"21/10/2019","11,000","11,700","11,700","10,800","53.14K","-14.73%"
"18/10/2019","12,900","13,000","13,000","12,800","24.80K","-0.77%"
"17/10/2019","13,000","13,300","13,300","12,900","6.20K","-2.99%"
"16/10/2019","13,400","13,100","13,400","13,100","1.20K","2.29%"
"15/10/2019","13,100","12,900","13,600","12,900","71.71K","0.77%"
"14/10/2019","13,000","12,600","13,200","12,600","20.00K","3.17%"
"11/10/2019","12,600","12,600","12,700","12,600","2.40K","0.00%"
"10/10/2019","12,600","12,700","12,700","12,600","10.30K","0.00%"
"09/10/2019","12,600","12,300","12,900","12,300","27.34K","2.44%"
"08/10/2019","12,300","12,300","12,300","12,200","17.75K","0.00%"
"07/10/2019","12,300","12,700","12,700","12,300","22.30K","-3.91%"
"04/10/2019","12,800","12,900","12,900","12,800","9.30K","-1.54%"
"03/10/2019","13,000","13,000","13,100","12,900","46.52K","0.00%"
"02/10/2019","13,000","12,400","13,000","12,400","77.40K","4.00%"
"01/10/2019","12,500","12,200","12,500","12,100","9.20K","2.46%"
"30/09/2019","12,200","12,100","12,200","12,100","4.00K","0.00%"
"27/09/2019","12,200","12,200","12,200","12,100","8.70K","0.00%"
"26/09/2019","12,200","12,200","12,200","12,100","18.00K","0.00%"
"25/09/2019","12,200","12,200","12,300","12,200","18.60K","-1.61%"
"24/09/2019","12,400","12,300","12,400","12,100","7.30K","0.00%"
"23/09/2019","12,400","12,400","12,400","12,400","0.80K","-0.80%"
"20/09/2019","12,500","12,300","12,500","12,300","10.06K","0.00%"
"19/09/2019","12,500","12,300","12,500","12,300","14.70K","1.63%"
"18/09/2019","12,300","12,400","12,500","12,300","15.70K","-1.60%"
"17/09/2019","12,500","12,300","12,700","12,200","28.06K","1.63%"
"16/09/2019","12,300","12,400","12,400","12,200","22.20K","-1.60%"
"13/09/2019","12,500","12,500","12,500","12,300","7.20K","-0.79%"
"12/09/2019","12,600","12,500","12,600","12,500","3.60K","0.80%"
"11/09/2019","12,500","12,500","12,500","12,400","9.20K","0.81%"
"10/09/2019","12,400","12,800","12,800","12,400","13.90K","0.00%"
"09/09/2019","12,400","12,500","12,700","12,300","11.20K","0.00%"
"06/09/2019","12,400","12,600","12,600","12,400","19.40K","-0.80%"
"05/09/2019","12,500","12,600","12,600","12,400","28.30K","-1.57%"
"04/09/2019","12,700","12,800","12,800","12,300","30.33K","-2.31%"
"03/09/2019","13,000","13,100","13,100","12,700","9.00K","-4.41%"
"30/08/2019","13,600","13,900","14,200","13,400","16.20K","-4.23%"
"29/08/2019","14,200","12,600","14,300","12,600","115.26K","13.60%"
"28/08/2019","12,500","12,600","12,600","12,500","2.60K","-1.57%"
"27/08/2019","12,700","12,100","13,100","12,100","22.60K","2.42%"
"26/08/2019","12,400","12,500","12,500","12,400","4.62K","-0.80%"
"23/08/2019","12,500","12,600","12,700","12,200","10.10K","0.81%"
"22/08/2019","12,400","12,600","12,700","12,000","95.10K","-3.88%"
"21/08/2019","12,900","13,000","13,000","12,500","8.60K","-0.77%"
"20/08/2019","13,000","13,000","13,900","12,300","36.30K","8.33%"
"19/08/2019","12,000","12,400","13,000","12,000","128.40K","-7.69%"
"16/08/2019","13,000","13,700","14,000","13,000","48.85K","-9.09%"
"15/08/2019","14,300","14,400","14,400","13,800","23.61K","-4.67%"
"14/08/2019","15,000","15,000","15,300","14,500","41.30K","1.35%"
"13/08/2019","14,800","14,900","15,400","14,800","5.00K","-2.63%"
"12/08/2019","15,200","15,000","15,200","14,800","8.30K","-0.65%"
"09/08/2019","15,300","15,800","15,800","15,100","4.13K","-1.29%"
"08/08/2019","15,500","15,500","15,500","15,500","3.80K","2.65%"
"07/08/2019","15,100","14,500","16,000","14,500","18.40K","-5.63%"
"06/08/2019","16,000","16,700","16,700","14,800","38.30K","0.00%"
"05/08/2019","16,000","16,500","16,900","15,800","68.45K","-3.03%"
"02/08/2019","16,500","16,500","16,500","16,500","4.20K","1.23%"
"01/08/2019","16,300","16,500","16,600","16,300","9.70K","-4.68%"
"31/07/2019","17,100","17,000","17,300","16,700","16.60K","-1.72%"
"30/07/2019","17,400","17,500","17,500","16,800","19.40K","0.58%"
"29/07/2019","17,300","17,000","18,700","16,900","92.24K","4.22%"
"26/07/2019","16,600","16,100","17,000","16,100","24.80K","5.06%"
"25/07/2019","15,800","15,800","16,200","15,800","12.40K","-1.25%"
"24/07/2019","16,000","16,300","16,300","16,000","4.61K","-4.76%"
"23/07/2019","16,800","16,800","16,800","16,800","3.10K","5.00%"
"22/07/2019","16,000","15,800","16,000","15,800","6.60K","1.27%"
"19/07/2019","15,800","15,900","15,900","15,800","0.60K","-3.07%"
"17/07/2019","16,300","16,500","16,700","16,300","20.10K","-0.61%"
"16/07/2019","16,400","16,000","16,400","16,000","14.80K","2.50%"
"15/07/2019","16,000","16,000","16,000","15,600","14.00K","0.00%"
"12/07/2019","16,000","16,600","16,600","16,000","3.80K","0.00%"
"11/07/2019","16,000","15,700","16,000","15,500","3.80K","0.00%"
"10/07/2019","16,000","16,900","16,900","16,000","9.71K","-0.62%"
"09/07/2019","16,100","16,700","16,700","16,100","5.20K","1.90%"
"08/07/2019","15,800","16,000","16,300","15,800","3.51K","-3.07%"
"05/07/2019","16,300","16,100","16,500","16,000","9.20K","-2.40%"
"04/07/2019","16,700","16,100","16,900","16,100","19.60K","4.38%"
"03/07/2019","16,000","15,800","16,900","15,500","17.53K","-3.03%"
"02/07/2019","16,500","15,100","17,000","15,000","45.23K","9.27%"
"01/07/2019","15,100","14,800","15,200","14,800","15.90K","1.34%"
"28/06/2019","14,900","14,200","14,900","14,200","3.70K","1.36%"
"27/06/2019","14,700","14,700","14,700","14,700","2.00K","-3.29%"
"26/06/2019","15,200","15,100","15,200","14,900","2.10K","0.00%"
"25/06/2019","15,200","15,200","15,200","15,200","2.50K","7.80%"
"24/06/2019","14,100","15,600","15,600","14,100","19.00K","-3.42%"
"21/06/2019","14,600","16,200","16,200","14,300","24.10K","-4.58%"
"20/06/2019","15,300","15,900","15,900","14,600","10.80K","0.00%"
"19/06/2019","15,300","15,300","15,300","15,300","2.10K","-3.77%"
"18/06/2019","15,900","15,900","16,300","15,900","4.80K","4.61%"
"17/06/2019","15,200","15,800","15,800","15,000","14.60K","-1.94%"
"14/06/2019","15,500","15,800","15,800","15,500","5.60K","-2.52%"
"13/06/2019","15,900","15,600","16,200","15,600","44.94K","4.61%"
"12/06/2019","15,200","14,900","15,600","14,900","28.50K","1.33%"
"11/06/2019","15,000","14,200","15,000","14,100","15.10K","5.63%"
"10/06/2019","14,200","14,100","14,200","14,100","1.40K","1.43%"
"07/06/2019","14,000","14,100","14,100","13,900","7.50K","1.45%"
"06/06/2019","13,800","13,800","14,000","13,800","4.50K","0.00%"
"05/06/2019","13,800","14,400","14,400","13,500","6.00K","-4.17%"
"04/06/2019","14,400","13,700","14,700","13,700","7.20K","0.70%"
"03/06/2019","14,300","14,300","15,000","14,300","11.60K","1.42%"
"31/05/2019","14,100","13,600","14,900","13,600","19.10K","9.30%"
"30/05/2019","12,900","13,100","13,100","12,900","68.90K","-5.15%"
"29/05/2019","13,600","13,000","13,600","13,000","14.80K","4.62%"
"28/05/2019","13,000","13,100","13,100","13,000","12.60K","-1.52%"
"27/05/2019","13,200","13,200","13,200","13,200","3.10K","3.13%"
"24/05/2019","12,800","12,900","12,900","12,800","3.80K","0.00%"
"23/05/2019","12,800","13,000","13,000","12,800","5.20K","-0.78%"
"22/05/2019","12,900","13,200","13,200","12,900","3.62K","0.78%"
"21/05/2019","12,800","13,500","13,500","12,800","7.10K","-4.48%"
"20/05/2019","13,400","13,400","13,400","13,300","4.40K","4.69%"
"17/05/2019","12,800","12,800","13,200","12,800","12.08K","-3.76%"
"16/05/2019","13,300","13,300","13,300","13,300","6.60K","2.31%"
"15/05/2019","13,000","13,000","13,100","13,000","6.20K","3.17%"
"14/05/2019","12,600","13,100","13,100","12,600","19.07K","-4.55%"
"13/05/2019","13,200","13,000","13,800","13,000","7.60K","1.54%"
"10/05/2019","13,000","13,300","14,400","13,000","17.80K","-5.80%"
"09/05/2019","13,800","13,600","14,200","13,600","4.80K","1.47%"
"08/05/2019","13,600","13,700","13,700","13,500","3.50K","-5.56%"
"06/05/2019","14,400","14,400","14,400","14,400","1.50K","2.86%"
"03/05/2019","14,000","14,100","14,100","14,000","0.60K","0.00%"
"02/05/2019","14,000","14,600","14,700","14,000","2.02K","-2.78%"
"26/04/2019","14,400","14,400","14,400","14,400","1.80K","2.86%"
"25/04/2019","14,000","14,100","14,100","14,000","8.30K","-2.10%"
"24/04/2019","14,300","14,300","14,300","14,300","0.80K","0.70%"
"23/04/2019","14,200","14,600","14,600","14,200","2.50K","0.71%"
"22/04/2019","14,100","14,100","14,100","14,100","1.20K","-3.42%"
"19/04/2019","14,600","14,500","14,600","14,500","1.70K","2.82%"
"18/04/2019","14,200","14,200","14,200","14,200","1.00K","-4.05%"
