"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"03/04/2020","3,900","3,900","3,900","3,900","0.10K","0.00%"
"20/12/2019","3,900","3,900","3,900","3,900","0.10K","2.63%"
"25/10/2019","3,800","3,800","3,800","3,800","3.84K","-11.63%"
"23/08/2019","4,300","4,300","4,300","4,300","0.10K","-24.56%"
"09/08/2019","5,700","4,300","5,700","4,300","0.20K","14.00%"
"02/08/2019","5,000","5,000","5,000","5,000","0.10K","13.64%"
"19/07/2019","4,400","4,400","4,400","4,400","0.10K","12.82%"
"05/07/2019","3,900","3,900","3,900","3,900","0.10K","14.71%"
"21/06/2019","3,400","3,400","3,400","3,400","1.62K","0.00%"
"31/05/2019","3,400","3,400","3,400","3,400","0.10K","0.00%"
"10/05/2019","3,400","3,400","3,400","3,400","1.96K","3.03%"
"03/05/2019","3,300","3,300","3,300","3,300","0.49K","-8.33%"
"26/04/2019","3,600","3,300","3,600","3,300","47.34K","2.86%"
"19/04/2019","3,500","3,500","3,500","3,500","5.66K","-12.50%"
"12/04/2019","4,000","4,000","4,200","4,000","16.31K","-4.76%"
"05/04/2019","4,200","4,200","4,200","4,200","7.19K","0.00%"
"29/03/2019","4,200","4,200","4,200","4,200","9.48K","-4.55%"
"22/03/2019","4,400","4,400","4,400","4,400","9.90K","37.50%"
"03/08/2018","3,200","3,200","3,200","3,200","2.20K","-13.51%"
"13/04/2018","3,700","3,700","3,700","3,700","1.50K","12.12%"
"11/04/2018","3,300","3,300","3,300","3,300","0.50K","0.00%"
"10/04/2018","3,300","2,900","3,300","2,900","0.50K","3.13%"
"09/04/2018","3,200","2,700","3,200","2,700","6.60K","6.67%"
"05/04/2018","3,000","2,800","3,200","2,800","3.70K","-6.25%"
"04/04/2018","3,200","2,800","3,600","2,800","4.80K","0.00%"
"29/03/2018","3,200","3,200","3,200","3,200","0.10K","-13.51%"
"28/03/2018","3,700","3,700","3,700","3,700","0.10K","-13.95%"
"16/03/2018","4,300","4,300","4,300","4,300","0.10K","-6.52%"
"12/03/2018","4,600","6,000","6,000","4,600","0.40K","-13.21%"
"01/03/2018","5,300","5,300","5,300","5,300","3.30K","-1.85%"
"28/02/2018","5,400","5,400","5,400","5,400","0.10K","0.00%"
"26/02/2018","5,400","4,900","5,400","4,900","169.72K","14.89%"
"23/02/2018","4,700","4,700","4,700","4,700","2.50K","14.63%"
"22/02/2018","4,100","4,100","4,100","4,100","4.50K","13.89%"
"21/02/2018","3,600","3,600","3,600","3,600","6.00K","12.50%"
"13/02/2018","3,200","3,200","3,200","3,200","5.30K","10.34%"
"12/02/2018","2,900","2,600","2,900","2,600","11.30K","11.54%"
"25/01/2018","2,600","2,600","2,600","2,600","1.90K","4.00%"
"24/01/2018","2,500","2,500","2,500","2,500","0.22K","13.64%"
"22/01/2018","2,200","2,200","2,200","2,200","4.70K","-12.00%"
