Date,Close,Open,High,Low,Volume
2020-05-08,12600.0,12600.0,12600.0,12600.0,0.0
2020-05-07,12600.0,12600.0,12600.0,12600.0,0.0
2020-05-06,12600.0,12600.0,12600.0,12600.0,0.0
2020-05-05,12600.0,12600.0,12600.0,12600.0,0.0
2020-05-04,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-29,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-28,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-27,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-24,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-23,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-22,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-21,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-20,12600.0,12600.0,12600.0,12600.0,100.0
2020-04-17,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-16,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-15,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-14,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-13,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-10,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-09,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-08,12600.0,12600.0,12600.0,12600.0,0.0
2020-04-07,12600.0,12600.0,12600.0,12600.0,0.0
2020-01-20,12600.0,12600.0,12600.0,12600.0,100.0
2020-01-14,14800.0,14800.0,14800.0,14800.0,100.0
2020-01-10,17300.0,17300.0,17300.0,17300.0,100.0
2020-01-09,17600.0,23000.0,23000.0,17600.0,200.0
2020-01-08,20600.0,20600.0,20600.0,20600.0,100.0
2020-01-07,26100.0,22200.0,26100.0,22200.0,200.0
2020-01-06,26200.0,26100.0,26200.0,26100.0,400.0
2020-01-03,26100.0,26100.0,26100.0,26100.0,300.0
2020-01-02,30700.0,30700.0,30700.0,30700.0,0.0
2019-12-31,30700.0,30600.0,30700.0,30600.0,300.0
2019-12-30,26700.0,26700.0,26700.0,26700.0,100.0
2019-12-27,23300.0,23300.0,23300.0,23300.0,200.0
2019-12-26,20300.0,20300.0,20300.0,20300.0,400.0
2019-12-25,17700.0,17700.0,17700.0,17700.0,200.0
2019-12-24,15400.0,15400.0,15400.0,15400.0,300.0
2019-12-23,13400.0,13400.0,13400.0,13400.0,500.0
2019-12-20,11800.0,11800.0,11800.0,11800.0,300.0
2019-12-19,10300.0,10300.0,10300.0,10300.0,200.0
2019-12-18,9000.0,9000.0,9000.0,9000.0,100.0
2019-12-17,7900.0,7900.0,7900.0,7900.0,100.0
2019-12-16,6900.0,6900.0,6900.0,6900.0,100.0
2019-12-04,6000.0,6000.0,6000.0,6000.0,100.0
2019-10-23,10000.0,10000.0,10000.0,10000.0,100.0
2019-10-16,11200.0,11200.0,11200.0,11200.0,100.0
2019-10-14,9800.0,9800.0,9800.0,9800.0,100.0
2019-10-04,8600.0,8600.0,8600.0,8600.0,100.0
2019-08-13,6200.0,6200.0,6200.0,6200.0,100.0
2019-08-08,7200.0,7200.0,7200.0,7200.0,100.0
2019-08-07,8200.0,7000.0,8200.0,7000.0,200.0
2019-07-31,8200.0,6200.0,8200.0,6200.0,200.0
2019-07-30,7200.0,7200.0,7200.0,7200.0,100.0
2019-07-26,7200.0,7200.0,7200.0,7200.0,100.0
2019-07-01,8000.0,8000.0,8000.0,8000.0,100.0
2019-05-28,7500.0,7500.0,7500.0,7500.0,100.0
2019-05-27,8500.0,8500.0,8500.0,8500.0,100.0
2019-05-21,10000.0,10000.0,10000.0,10000.0,100.0
2019-05-20,10800.0,10800.0,10800.0,10800.0,100.0
2019-05-15,9400.0,9400.0,9400.0,9400.0,100.0
2019-05-14,11000.0,11000.0,11000.0,11000.0,100.0
2019-05-03,9800.0,9800.0,9800.0,9800.0,100.0
2019-05-02,8600.0,8600.0,8600.0,8600.0,100.0
2019-04-23,8600.0,6400.0,8600.0,6400.0,200.0
2019-04-22,7500.0,7500.0,7500.0,7500.0,100.0
2019-04-09,7500.0,6000.0,7500.0,6000.0,200.0
2019-03-25,6600.0,6600.0,6600.0,6600.0,100.0
2019-03-22,7700.0,7700.0,7700.0,7700.0,100.0
2019-03-21,9000.0,9000.0,9000.0,9000.0,100.0
2019-03-19,8800.0,8800.0,8800.0,8800.0,100.0
2019-03-18,10300.0,10300.0,10300.0,10300.0,100.0
2019-03-05,10300.0,7700.0,10300.0,7700.0,200.0
2019-03-04,9000.0,9000.0,9000.0,9000.0,100.0
2019-02-27,7900.0,7900.0,7900.0,7900.0,100.0
2019-02-26,6900.0,6900.0,6900.0,6900.0,100.0
2019-02-21,6500.0,5100.0,6500.0,5100.0,300.0
2019-01-22,5900.0,5900.0,5900.0,5900.0,100.0
2019-01-15,6900.0,6900.0,6900.0,6900.0,100.0
2019-01-09,8100.0,8100.0,8100.0,8100.0,100.0
2019-01-08,7500.0,6700.0,7500.0,6700.0,200.0
2019-01-07,6600.0,6600.0,6600.0,6600.0,100.0
2019-01-04,6500.0,6500.0,6500.0,6500.0,100.0
2018-12-24,5700.0,5700.0,5700.0,5700.0,100.0
2018-12-20,6600.0,6600.0,6600.0,6600.0,100.0
2018-12-19,7700.0,7700.0,7700.0,7700.0,100.0
2018-12-17,9000.0,9000.0,9000.0,9000.0,100.0
2018-12-13,10500.0,10500.0,10500.0,10500.0,100.0
2018-12-12,12300.0,12300.0,12300.0,12300.0,100.0
2018-12-11,14400.0,14400.0,14400.0,14400.0,100.0
2018-12-10,16900.0,16900.0,16900.0,16900.0,1500.0
2018-12-04,14700.0,14700.0,14800.0,14700.0,600.0
2018-12-03,14600.0,14600.0,14600.0,14600.0,200.0
2018-11-30,12700.0,12700.0,12700.0,12700.0,100.0
2018-11-29,11100.0,11100.0,11100.0,11100.0,100.0
2018-11-28,9700.0,9700.0,9700.0,9700.0,100.0
2018-11-22,8500.0,8500.0,8500.0,8500.0,100.0
2018-11-21,7400.0,7400.0,7400.0,7400.0,100.0
2018-11-16,6500.0,6500.0,6500.0,6500.0,100.0
2018-07-16,4700.0,4700.0,4700.0,4700.0,100.0
2018-05-02,3400.0,3400.0,3400.0,3400.0,100.0
2018-04-13,3900.0,3900.0,3900.0,3900.0,100.0
2018-04-10,4500.0,4500.0,4500.0,4500.0,0.0
