Date,Close,Open,High,Low,Volume
2020-05-06,8500.0,8500.0,8500.0,8500.0,0.0
2020-05-05,8500.0,8500.0,8500.0,8500.0,0.0
2020-05-04,8600.0,8600.0,8600.0,8600.0,100.0
2020-04-29,8600.0,8600.0,8600.0,8600.0,0.0
2020-04-28,8600.0,8600.0,8600.0,8600.0,3030.0
2020-04-27,8600.0,8600.0,8600.0,8600.0,100.0
2020-04-24,8700.0,8700.0,8700.0,8700.0,0.0
2020-04-23,8700.0,8700.0,8700.0,8700.0,2200.0
2020-04-22,8500.0,8500.0,8500.0,8500.0,5030.0
2020-04-21,8500.0,8500.0,8500.0,8500.0,6600.0
2020-04-20,8700.0,8700.0,8700.0,8700.0,0.0
2020-04-17,8700.0,8700.0,8900.0,8600.0,33000.0
2020-04-16,8700.0,8700.0,8700.0,8700.0,10700.0
2020-04-15,8700.0,8500.0,8700.0,8500.0,700.0
2020-04-14,8500.0,8500.0,8500.0,8500.0,9730.0
2020-04-13,8700.0,8700.0,8700.0,8700.0,0.0
2020-04-10,8700.0,8700.0,8700.0,8700.0,78.0
2020-04-09,8700.0,8700.0,8700.0,8700.0,0.0
2020-04-08,8700.0,8700.0,8700.0,8700.0,0.0
2020-04-07,8700.0,8700.0,8700.0,8700.0,1000.0
2020-04-06,8700.0,8700.0,8700.0,8700.0,700.0
2020-04-03,8700.0,8700.0,8700.0,8700.0,900.0
2020-04-01,8800.0,8100.0,8800.0,8100.0,9300.0
2020-03-30,8900.0,8900.0,8900.0,8900.0,300.0
2020-03-24,8800.0,8800.0,8800.0,8800.0,5600.0
2020-03-19,9700.0,8100.0,9700.0,8100.0,190000.0
2020-03-18,9000.0,9000.0,9000.0,9000.0,550.0
2020-03-13,9000.0,9000.0,9000.0,9000.0,1020.0
2020-03-12,9000.0,8200.0,9000.0,8200.0,800.0
2020-03-11,9000.0,9000.0,9000.0,9000.0,1000.0
2020-03-09,9000.0,9000.0,9000.0,9000.0,5000.0
2020-03-02,9000.0,9000.0,9000.0,9000.0,4100.0
2020-02-28,9100.0,9200.0,9200.0,9100.0,12000.0
2020-02-26,9200.0,9200.0,9200.0,9100.0,1710.0
2020-02-24,9200.0,9300.0,9300.0,9200.0,6200.0
2020-02-21,9300.0,9300.0,9300.0,9300.0,8000.0
2020-02-20,9300.0,9400.0,9400.0,9300.0,4500.0
2020-02-19,9400.0,9300.0,9400.0,9300.0,4550.0
2020-02-18,9300.0,9500.0,9500.0,9300.0,4400.0
2020-02-17,9300.0,9300.0,9300.0,9300.0,500.0
2020-02-14,9400.0,9400.0,9400.0,9400.0,100.0
2020-02-13,9400.0,9400.0,9400.0,9400.0,1720.0
2020-02-12,9400.0,9400.0,9400.0,9400.0,6140.0
2020-02-11,8500.0,8500.0,8500.0,8500.0,0.0
2020-02-10,9400.0,9400.0,9400.0,9300.0,12100.0
2020-02-05,9800.0,9000.0,9800.0,9000.0,5100.0
2020-02-04,9900.0,9900.0,9900.0,9900.0,100.0
2020-01-30,9700.0,9700.0,9700.0,9700.0,0.0
2020-01-20,10000.0,10000.0,10000.0,10000.0,0.0
2020-01-16,9700.0,9700.0,9700.0,9700.0,100.0
2020-01-10,9900.0,9900.0,9900.0,9900.0,100.0
2020-01-07,9300.0,9300.0,9300.0,9300.0,100.0
2020-01-03,9300.0,9300.0,9300.0,9300.0,1400.0
2020-01-02,10300.0,10300.0,10300.0,10300.0,100.0
2019-12-31,10000.0,10000.0,10000.0,10000.0,1000.0
2019-12-26,10000.0,10000.0,10000.0,10000.0,8300.0
2019-12-25,10000.0,10000.0,10000.0,10000.0,4620.0
2019-12-18,10000.0,10000.0,10000.0,10000.0,100.0
2019-12-17,9500.0,9000.0,9500.0,9000.0,800.0
2019-12-13,8900.0,8900.0,8900.0,8900.0,4000.0
2019-12-12,9100.0,9100.0,9100.0,9100.0,200.0
2019-12-10,9200.0,9900.0,9900.0,9200.0,600.0
2019-12-05,9200.0,9110.0,9200.0,9110.0,4870.0
2019-12-04,9020.0,9020.0,9020.0,9020.0,10000.0
2019-12-03,9020.0,9020.0,9020.0,9020.0,100.0
2019-11-29,9290.0,9290.0,9290.0,9290.0,1000.0
2019-11-28,9200.0,9200.0,9200.0,9200.0,2000.0
2019-11-26,9200.0,9110.0,9200.0,9110.0,6000.0
2019-11-22,10000.0,10000.0,10000.0,10000.0,2700.0
2019-11-21,10300.0,10200.0,10300.0,10200.0,1170.0
2019-11-18,10000.0,10100.0,10100.0,10000.0,3030.0
2019-11-14,10200.0,10200.0,10200.0,10200.0,1410.0
2019-11-13,10200.0,10300.0,10300.0,10200.0,8200.0
2019-11-12,10300.0,10300.0,10300.0,10300.0,2500.0
2019-11-11,10300.0,10500.0,10500.0,9900.0,14500.0
2019-11-08,9900.0,10000.0,10000.0,9800.0,12300.0
2019-11-07,10000.0,10200.0,10200.0,10000.0,3200.0
2019-11-06,9900.0,9800.0,9900.0,9800.0,2800.0
