Date,Close,Open,High,Low,Volume
2020-05-08,38000.0,38900.0,39000.0,38000.0,9770.0
2020-05-07,38900.0,39300.0,39300.0,38900.0,6980.0
2020-05-06,39300.0,38900.0,39300.0,38900.0,12000.0
2020-05-05,38900.0,39000.0,39000.0,38900.0,2200.0
2020-05-04,39000.0,38800.0,39100.0,38800.0,13510.0
2020-04-29,39100.0,38600.0,39100.0,38500.0,9100.0
2020-04-28,38600.0,38300.0,38700.0,38300.0,7900.0
2020-04-27,38300.0,37300.0,38300.0,37300.0,9480.0
2020-04-24,37400.0,36700.0,37400.0,36700.0,7100.0
2020-04-23,37000.0,37300.0,37500.0,36500.0,20800.0
2020-04-22,35400.0,34500.0,35500.0,34100.0,4800.0
2020-04-21,34500.0,34800.0,35500.0,34500.0,5430.0
2020-04-20,34800.0,34900.0,35500.0,34800.0,3200.0
2020-04-17,35800.0,35800.0,35800.0,35800.0,300.0
2020-04-16,35400.0,35000.0,35400.0,35000.0,610.0
2020-04-15,35500.0,34000.0,35500.0,34000.0,1200.0
2020-04-14,34000.0,34000.0,34000.0,34000.0,100.0
2020-04-13,34000.0,33000.0,34000.0,33000.0,1110.0
2020-04-10,31900.0,32000.0,32000.0,31900.0,10000.0
2020-04-09,32000.0,32200.0,33000.0,32000.0,7200.0
2020-04-08,32100.0,32200.0,32300.0,32000.0,3200.0
2020-04-07,32200.0,32000.0,32200.0,32000.0,1900.0
2020-04-06,31800.0,33000.0,33000.0,31800.0,2500.0
2020-04-03,32800.0,31400.0,32800.0,30000.0,9530.0
2020-04-01,32800.0,32800.0,32800.0,32800.0,100.0
2020-03-31,31000.0,31600.0,31600.0,31000.0,16010.000000000002
2020-03-30,31600.0,32000.0,32000.0,31200.0,4820.0
2020-03-27,32000.0,34500.0,34700.0,32000.0,11520.0
2020-03-26,34800.0,34500.0,35000.0,32000.0,15800.0
2020-03-25,34500.0,30100.0,35000.0,30100.0,8200.0
2020-03-24,32200.0,31500.0,32200.0,31500.0,4500.0
2020-03-23,29300.0,30100.0,30300.0,29200.0,18740.0
2020-03-20,32400.0,28100.0,32400.0,28100.0,1200.0
2020-03-19,31100.0,31200.0,33200.0,31100.0,15200.0
2020-03-18,34500.0,29800.0,34900.0,29800.0,1100.0
2020-03-17,33000.0,28600.0,33000.0,28600.0,2100.0
2020-03-16,30100.0,28100.0,33000.0,28100.0,2000.0
2020-03-13,31100.0,28900.0,31100.0,28900.0,300.0
2020-03-12,32000.0,34200.0,34200.0,32000.0,14320.0
2020-03-11,35000.0,35400.0,36000.0,35000.0,24400.0
2020-03-10,36900.0,35000.0,36900.0,35000.0,1100.0
2020-03-09,34500.0,35500.0,35500.0,34500.0,5210.0
2020-03-06,37600.0,37000.0,37600.0,36600.0,1600.0
2020-03-05,37000.0,37000.0,37000.0,37000.0,290.0
2020-03-04,37000.0,37000.0,37000.0,36600.0,1510.0
2020-03-03,37000.0,37500.0,37500.0,37000.0,1930.0
2020-03-02,37300.0,37300.0,37300.0,37300.0,1500.0
2020-02-28,37200.0,37200.0,37200.0,37200.0,150.0
2020-02-27,37500.0,37900.0,37900.0,37500.0,4700.0
2020-02-26,37900.0,37900.0,37900.0,37900.0,100.0
2020-02-25,37600.0,37200.0,37600.0,37000.0,7000.0
2020-02-24,37200.0,37500.0,38500.0,37200.0,2500.0
2020-02-21,38500.0,37900.0,38500.0,37900.0,2400.0
2020-02-20,38100.0,37900.0,38200.0,37900.0,500.0
2020-02-18,37900.0,37200.0,37900.0,37200.0,9800.0
2020-02-17,37500.0,37500.0,37900.0,37500.0,9500.0
2020-02-14,37500.0,38200.0,38200.0,37500.0,2300.0
2020-02-13,38300.0,37500.0,38300.0,37500.0,1000.0
2020-02-12,38700.0,37000.0,38700.0,37000.0,4600.0
2020-02-11,37000.0,38200.0,38900.0,37000.0,10230.0
2020-02-10,38800.0,39200.0,39200.0,38800.0,2000.0
2020-02-07,39800.0,38600.0,39800.0,38400.0,3610.0
2020-02-06,39400.0,39400.0,39400.0,39400.0,700.0
2020-02-05,39500.0,39900.0,39900.0,39500.0,800.0
2020-02-04,39000.0,39000.0,39000.0,39000.0,100.0
2020-02-03,39000.0,39500.0,39500.0,36000.0,5400.0
2020-01-31,39600.0,40000.0,40000.0,39600.0,6530.0
2020-01-30,40600.0,39800.0,40800.0,39700.0,6210.0
2020-01-22,40000.0,40000.0,40000.0,40000.0,100.0
2020-01-21,40000.0,39600.0,40000.0,39500.0,7200.0
2020-01-20,39800.0,37300.0,41500.0,37300.0,2480.0
2020-01-17,41000.0,35000.0,42600.0,35000.0,31900.0
2020-01-16,38800.0,34100.0,38800.0,34100.0,260.0
2020-01-15,37500.0,37600.0,37600.0,37500.0,2100.0
2020-01-14,37600.0,37600.0,37600.0,37600.0,1000.0
2020-01-13,36000.0,36000.0,36000.0,36000.0,0.0
2020-01-10,37700.0,37000.0,37700.0,36000.0,1200.0
2020-01-09,37700.0,37700.0,37700.0,37700.0,800.0
2020-01-08,37700.0,37700.0,37700.0,37700.0,1200.0
2020-01-07,37700.0,37700.0,37800.0,37700.0,1210.0
2020-01-06,38000.0,38100.0,38100.0,38000.0,8180.0
2020-01-03,38100.0,37500.0,39000.0,37500.0,8000.0
2020-01-02,37500.0,37500.0,37500.0,37300.0,9900.0
2019-12-31,37500.0,37500.0,37500.0,37500.0,4390.0
2019-12-30,37500.0,37600.0,37600.0,37500.0,7180.0
2019-12-27,37600.0,37600.0,37600.0,37600.0,3940.0
2019-12-26,37600.0,37600.0,37600.0,37600.0,2600.0
2019-12-25,37800.0,37500.0,37800.0,37500.0,22300.0
2019-12-24,37500.0,37500.0,37500.0,37200.0,13600.0
2019-12-23,37000.0,37500.0,37500.0,37000.0,10440.0
2019-12-20,37500.0,37600.0,37600.0,37500.0,9700.0
2019-12-19,37600.0,37600.0,37600.0,37500.0,14100.0
2019-12-18,37500.0,37500.0,38000.0,37500.0,13100.0
2019-12-17,37500.0,37500.0,38500.0,37500.0,14600.0
2019-12-16,37500.0,37900.0,37900.0,37500.0,16300.0
2019-12-13,38000.0,38500.0,38500.0,37500.0,4200.0
2019-12-12,37500.0,34500.0,38500.0,34500.0,300.0
2019-12-11,37900.0,38500.0,39000.0,37900.0,3300.0
2019-12-10,37900.0,38000.0,38000.0,37900.0,3760.0
2019-12-09,37800.0,38000.0,38900.0,37800.0,5520.0
