Date,Close,Open,High,Low,Volume
2020-05-06,1900.0,1900.0,1900.0,1900.0,0.0
2020-05-05,1900.0,1900.0,1900.0,1900.0,0.0
2020-05-04,1900.0,1900.0,1900.0,1900.0,0.0
2020-04-29,2000.0,1800.0,2000.0,1800.0,400.0
2020-04-28,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-27,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-24,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-23,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-22,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-21,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-20,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-17,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-16,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-15,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-14,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-13,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-10,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-09,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-08,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-07,3000.0,3000.0,3000.0,3000.0,0.0
2019-12-20,3000.0,3000.0,3000.0,3000.0,100.0
2019-12-17,2700.0,2700.0,2700.0,2700.0,100.0
2019-12-13,2400.0,2400.0,2400.0,2400.0,100.0
2019-12-11,2100.0,2100.0,2100.0,2100.0,200.0
2019-12-10,1900.0,1900.0,1900.0,1900.0,100.0
2019-11-20,1700.0,1700.0,1700.0,1700.0,100.0
2019-09-17,2700.0,2700.0,2700.0,2700.0,100.0
2019-09-16,2400.0,2400.0,2400.0,2400.0,100.0
2019-09-11,2800.0,2800.0,2800.0,2800.0,100.0
2019-09-10,2600.0,2600.0,2600.0,2600.0,5500.0
2019-09-06,2300.0,2300.0,2300.0,2300.0,13100.0
2019-09-03,2000.0,1900.0,2000.0,1900.0,16900.0
2019-08-30,1900.0,1900.0,1900.0,1900.0,600.0
2019-08-28,2200.0,2200.0,2200.0,2200.0,100.0
2019-08-27,2500.0,2500.0,2500.0,2500.0,100.0
2019-08-22,2900.0,2900.0,2900.0,2900.0,300.0
2019-08-19,3200.0,4100.0,4100.0,3200.0,1100.0
2019-08-16,3600.0,3600.0,3600.0,3600.0,100.0
2019-08-15,3200.0,3200.0,3200.0,3200.0,100.0
2019-08-14,2300.0,2900.0,2900.0,2300.0,2400.0
2019-08-13,2600.0,2600.0,2600.0,2600.0,100.0
2019-08-12,2300.0,2400.0,2400.0,1800.0,3500.0
2019-08-09,2100.0,2000.0,2100.0,2000.0,1400.0
2019-08-08,1900.0,1900.0,1900.0,1900.0,100.0
2019-08-07,1700.0,1700.0,1700.0,1700.0,20200.0
2019-07-25,1900.0,1900.0,1900.0,1900.0,100.0
2019-06-26,1900.0,1900.0,1900.0,1900.0,500.0
2019-06-20,1700.0,1700.0,1700.0,1700.0,1000.0
2019-06-12,1700.0,1700.0,1700.0,1700.0,200.0
2019-05-29,1800.0,1800.0,1800.0,1800.0,1000.0
2019-05-21,1900.0,1900.0,1900.0,1900.0,1400.0
2019-05-16,2100.0,2100.0,2100.0,2100.0,100.0
2019-05-15,1900.0,1900.0,1900.0,1900.0,800.0
2019-05-14,1900.0,1900.0,1900.0,1900.0,300.0
2019-05-13,2100.0,2100.0,2100.0,2100.0,3100.0
2019-05-10,2300.0,3100.0,3100.0,2300.0,1200.0
2019-05-09,2700.0,2700.0,2700.0,2700.0,100.0
2019-05-08,2800.0,3600.0,3600.0,2800.0,500.0
2019-05-07,2900.0,3700.0,3700.0,2900.0,300.0
2019-05-06,3300.0,3300.0,3300.0,3300.0,200.0
2019-04-04,3400.0,3400.0,3400.0,3400.0,1000.0
2019-03-28,3900.0,3900.0,3900.0,3900.0,200.0
2019-03-25,3400.0,3400.0,3400.0,3400.0,200.0
2019-03-22,2900.0,3700.0,3700.0,2900.0,1800.0
2019-03-21,3200.0,3300.0,3300.0,3200.0,600.0
2019-03-06,2900.0,2900.0,2900.0,2900.0,1000.0
2019-02-19,3400.0,3400.0,3400.0,3400.0,100.0
2019-02-15,3200.0,3400.0,3400.0,3200.0,1400.0
2019-02-01,3200.0,3200.0,3200.0,3200.0,600.0
2019-01-28,3000.0,3000.0,3000.0,3000.0,300.0
2019-01-15,2700.0,2700.0,2700.0,2700.0,200.0
2018-12-28,2600.0,2600.0,2600.0,2600.0,200.0
2018-12-10,3000.0,3000.0,3000.0,3000.0,100.0
2018-12-07,2300.0,5000.0,5000.0,2300.0,7600.0
2018-10-30,3800.0,3800.0,3800.0,3800.0,800.0
2018-10-29,3500.0,3500.0,3500.0,3500.0,900.0
2018-10-15,3300.0,3300.0,3300.0,3300.0,700.0
2018-10-12,3200.0,3200.0,3200.0,3200.0,800.0
2018-10-08,3000.0,3000.0,3000.0,3000.0,300.0
2018-10-05,2900.0,2900.0,2900.0,2900.0,200.0
2018-10-03,2700.0,2700.0,2700.0,2700.0,100.0
2018-10-01,3000.0,3000.0,3000.0,3000.0,1100.0
2018-09-12,2700.0,2700.0,2700.0,2700.0,500.0
2018-09-05,2600.0,2600.0,2600.0,2600.0,300.0
2018-08-21,2500.0,2500.0,2500.0,2500.0,500.0
2018-08-16,2100.0,2600.0,2600.0,2100.0,4600.0
2018-08-15,2100.0,2600.0,2600.0,2100.0,2100.0
2018-08-14,2500.0,2000.0,2500.0,2000.0,2900.0
2018-08-10,2300.0,2300.0,2300.0,2300.0,400.0
2018-07-24,2500.0,2200.0,2500.0,2200.0,600.0
2018-07-23,2500.0,2200.0,2500.0,2200.0,800.0
