Date,Close,Open,High,Low,Volume
2020-05-06,4500.0,5200.0,5200.0,4500.0,2500.0
2020-05-05,4800.0,4800.0,4800.0,4800.0,0.0
2020-05-04,4800.0,4800.0,4800.0,4800.0,0.0
2020-04-29,4800.0,5800.0,5800.0,4800.0,200.0
2020-04-28,5300.0,5300.0,5300.0,5300.0,0.0
2020-04-27,5300.0,5300.0,5300.0,5300.0,0.0
2020-04-24,5300.0,6200.0,6200.0,5300.0,200.0
2020-04-23,5700.0,5700.0,5700.0,5700.0,0.0
2020-04-22,5700.0,6200.0,6200.0,5700.0,200.0
2020-04-21,5700.0,5700.0,5700.0,5700.0,100.0
2020-04-20,6100.0,6000.0,6100.0,6000.0,500.0
2020-04-17,6600.0,6600.0,8000.0,6600.0,11500.0
2020-04-16,7300.0,7300.0,7300.0,7300.0,10000.0
2020-04-15,8100.0,8100.0,8100.0,8100.0,0.0
2020-04-14,8100.0,8100.0,8100.0,8100.0,1000.0
2020-04-13,8900.0,7300.0,8900.0,7300.0,12300.0
2020-04-10,8100.0,8100.0,8100.0,8100.0,0.0
2020-04-09,8100.0,8100.0,8100.0,8100.0,0.0
2020-04-08,8100.0,8100.0,8100.0,8100.0,0.0
2020-04-07,8100.0,8100.0,8100.0,8100.0,0.0
2020-01-07,8100.0,8100.0,8100.0,8100.0,100.0
2019-12-16,8900.0,8900.0,8900.0,8900.0,1600.0
2019-12-04,8100.0,8100.0,8100.0,8100.0,18200.0
2019-11-22,9000.0,9000.0,9000.0,9000.0,100.0
2019-11-21,9900.0,9900.0,9900.0,9900.0,100.0
2019-11-05,9000.0,9000.0,9000.0,9000.0,7770.0
2019-09-13,8900.0,8900.0,8900.0,8900.0,100.0
2019-09-12,8100.0,8100.0,8100.0,8100.0,100.0
2019-09-11,8100.0,8100.0,8100.0,8100.0,100.0
2019-08-29,8100.0,8100.0,8100.0,8100.0,100.0
2019-08-19,7400.0,7400.0,7400.0,7400.0,1800.0
2019-07-26,8200.0,8200.0,8200.0,8200.0,0.0
2019-07-16,8200.0,8200.0,8200.0,8200.0,100.0
2019-07-12,7500.0,7500.0,7500.0,7500.0,100.0
2019-07-11,6900.0,6900.0,6900.0,6900.0,100.0
2019-07-10,6300.0,6300.0,6300.0,6300.0,100.0
2019-07-09,5800.0,5800.0,5800.0,5800.0,100.0
2019-06-26,5300.0,5300.0,5300.0,5300.0,1000.0
2019-03-27,4900.0,4900.0,4900.0,4900.0,30100.0
2019-03-21,5338.0,6388.0,6388.0,5338.0,28500.0
2019-03-20,5863.0,5863.0,5863.0,5863.0,11000.0
2019-03-06,7400.0,7400.0,7400.0,7400.0,100.0
2018-09-19,8200.0,8200.0,8200.0,8200.0,1400.0
2018-09-17,8100.0,8100.0,8100.0,8100.0,300.0
2018-09-14,8100.0,8100.0,8100.0,8100.0,1400.0
2018-07-24,8000.0,8000.0,8000.0,8000.0,100.0
2018-05-10,7800.0,7800.0,7800.0,7800.0,1500.0
2018-01-12,8075.0,8075.0,8075.0,8075.0,1800.0
2018-01-02,8075.0,8075.0,8075.0,8075.0,100.0
2017-12-29,7341.0,7341.0,7341.0,7341.0,11800.0
2017-12-28,7892.0,7892.0,7892.0,7892.0,38500.0
2017-12-19,8718.0,8718.0,8718.0,8718.0,0.0
2017-11-29,8718.0,8718.0,8718.0,8718.0,100.0
2017-06-05,8167.0,8167.0,8167.0,8167.0,2000.0
2017-05-23,7465.0,7465.0,7465.0,7465.0,1100.0
2017-04-25,7816.0,7816.0,7816.0,7816.0,600.0
2017-04-21,7113.0,7113.0,7113.0,7113.0,200.0
2017-04-20,7904.0,7904.0,7904.0,7904.0,800.0
2017-04-17,7904.0,7904.0,7904.0,7904.0,300.0
2017-04-11,7904.0,7904.0,7904.0,7904.0,1170.0
2017-04-03,7904.0,7904.0,7904.0,7904.0,1460.0
2017-03-24,7904.0,7904.0,7904.0,7904.0,400.0
2017-03-22,8694.0,8694.0,8694.0,8694.0,2500.0
2017-03-17,7904.0,7904.0,7904.0,7904.0,1210.0
2017-03-14,8782.0,8782.0,8782.0,8782.0,1100.0
2017-03-13,8782.0,8694.0,8782.0,8694.0,4600.0
2017-03-01,7991.0,7991.0,7991.0,7991.0,1600.0
2017-02-28,7289.0,7289.0,7289.0,7289.0,200.0
2017-02-27,7816.0,7816.0,7816.0,7816.0,1000.0
2017-02-15,8255.0,8255.0,8255.0,8255.0,1600.0
2017-02-14,8431.0,8431.0,8431.0,8431.0,300.0
2017-02-13,8870.0,8870.0,8870.0,8870.0,100.0
2017-02-07,8167.0,8167.0,8167.0,8167.0,3000.0
2017-02-06,8167.0,8167.0,8167.0,8167.0,7500.0
2017-02-03,8167.0,8167.0,8167.0,8167.0,4810.0
2017-01-24,8167.0,8167.0,8167.0,8167.0,4100.0
2017-01-18,8870.0,8870.0,8870.0,8870.0,100.0
