Date,Close,Open,High,Low,Volume
2020-05-06,32200.000000000004,32100.0,32200.000000000004,32100.0,210.0
2020-05-05,32100.0,32100.0,32100.0,32100.0,0.0
2020-05-04,32100.0,34500.0,34500.0,32100.0,2029.9999999999998
2020-04-29,34500.0,33400.0,34500.0,33400.0,930.0
2020-04-28,33400.0,36000.0,36000.0,33400.0,500.0
2020-04-27,34500.0,34500.0,35000.0,34500.0,2830.0
2020-04-24,34500.0,34500.0,34500.0,34500.0,810.0
2020-04-23,34100.0,35500.0,36000.0,34100.0,1150.0
2020-04-22,34100.0,36000.0,36000.0,34000.0,2830.0
2020-04-21,36000.0,38000.0,38000.0,36000.0,7370.0
2020-04-20,35200.0,33000.0,35200.0,33000.0,8520.0
2020-04-17,32000.0,31300.0,32000.0,31000.0,8720.0
2020-04-16,31000.0,30000.0,31000.0,30000.0,800.0
2020-04-15,30400.0,30400.0,30400.0,30400.0,400.0
2020-04-14,30400.0,31000.0,31000.0,30400.0,3320.0
2020-04-13,32000.0,31900.0,33800.0,31900.0,3070.0
2020-04-10,30800.0,30500.0,33500.0,30500.0,7400.0
2020-04-09,30500.0,29000.0,30500.0,29000.0,2310.0
2020-04-08,29000.0,27900.0,30100.0,27900.0,1880.0
2020-04-07,27400.0,27000.0,27400.0,27000.0,710.0
2020-04-06,26100.0,26000.0,28000.0,26000.0,1020.0
2020-04-03,25500.0,23800.0,25500.0,23500.0,580.0
2020-03-30,24200.0,24000.0,24200.0,24000.0,850.0
2020-03-27,24900.0,24800.0,25000.0,24800.0,7100.0
2020-03-26,24500.0,26500.0,26500.0,24500.0,10350.0
2020-03-25,26500.0,26500.0,26500.0,26500.0,200.0
2020-03-24,25800.0,25800.0,25800.0,25800.0,1200.0
2020-03-23,23500.0,26000.0,26000.0,23500.0,5800.0
2020-03-20,26100.0,26100.0,26100.0,26100.0,500.0
2020-03-19,26900.0,26900.0,26900.0,26900.0,290.0
2020-03-18,29400.0,29300.0,29400.0,29300.0,1400.0
2020-03-17,26800.0,26800.0,26800.0,26800.0,210.0
2020-03-16,28400.0,28500.0,28500.0,28400.0,4500.0
2020-03-13,31000.0,31000.0,31000.0,31000.0,260.0
2020-03-12,32000.0,34000.0,34000.0,32000.0,2300.0
2020-03-11,34000.0,34000.0,34000.0,33600.0,1600.0
2020-03-10,34000.0,34000.0,34000.0,34000.0,750.0
2020-03-09,34000.0,34000.0,34000.0,34000.0,400.0
2020-03-05,36500.0,36500.0,36500.0,36500.0,100.0
2020-03-04,35800.0,35500.0,35800.0,35500.0,1100.0
2020-03-03,35500.0,35200.0,35500.0,35200.0,260.0
2020-03-02,36000.0,36200.0,36200.0,36000.0,700.0
2020-02-28,36000.0,36000.0,36000.0,36000.0,100.0
2020-02-27,37200.0,37200.0,38000.0,37200.0,1500.0
2020-02-26,37200.0,37200.0,37200.0,37200.0,200.0
2020-02-24,40100.0,40100.0,40100.0,40100.0,200.0
2020-02-21,40100.0,40200.0,40200.0,40100.0,510.0
2020-02-20,40100.0,40000.0,40100.0,40000.0,200.0
2020-02-19,39700.0,39700.0,39700.0,39700.0,110.0
2020-02-17,43900.0,38500.0,43900.0,38500.0,2200.0
2020-02-14,42000.0,42000.0,42000.0,42000.0,400.0
2020-02-10,42500.0,41000.0,42500.0,41000.0,2600.0
2020-02-06,43600.0,43600.0,43600.0,43600.0,1100.0
2020-02-03,43600.0,44100.0,44100.0,43300.0,2610.0
2020-01-14,48000.0,45000.0,48000.0,45000.0,2940.0
2020-01-08,44000.0,44000.0,44000.0,44000.0,120.0
2020-01-07,45400.0,45400.0,45400.0,45400.0,100.0
2020-01-06,46000.0,50500.0,50500.0,46000.0,1110.0
2020-01-03,51000.0,52000.0,52000.0,51000.0,500.0
2020-01-02,52900.0,52800.0,52900.0,52800.0,200.0
2019-12-31,53200.0,53200.0,53200.0,53200.0,1400.0
