Date,Close,Open,High,Low,Volume
2020-05-06,8300.0,8200.0,8700.0,8000.0,441950.0
2020-05-05,8700.0,9200.0,9700.0,8300.0,1240000.0
2020-05-04,9200.0,8700.0,9300.0,8200.0,395650.0
2020-04-29,8800.0,9400.0,9400.0,8600.0,892400.0
2020-04-28,9500.0,10100.0,10200.0,9200.0,1260000.0
2020-04-27,10200.0,10500.0,11000.0,9000.0,2630000.0
2020-04-24,10000.0,9900.0,10400.0,9000.0,2370000.0
2020-04-23,10000.0,10300.0,10700.0,9300.0,884360.0
2020-04-22,10300.0,9900.0,10500.0,9400.0,1140000.0
2020-04-21,9600.0,8900.0,9600.0,8500.0,1940000.0
2020-04-20,8800.0,8400.0,8800.0,7700.0,386840.0
2020-04-17,8400.0,8300.0,9200.0,8300.0,1220000.0
2020-04-16,9200.0,10200.0,10500.0,9200.0,800000.0
2020-04-15,10200.0,10500.0,10700.0,9000.0,1060000.0
2020-04-14,9900.0,9400.0,9900.0,8900.0,1220000.0
2020-04-13,9000.0,8100.0,9000.0,8000.0,1240000.0
2020-04-10,8200.0,9300.0,9600.0,8100.0,1030000.0
2020-04-09,8900.0,8500.0,8900.0,8400.0,1070000.0
2020-04-08,8100.0,7700.0,8100.0,7300.0,1130000.0
2020-04-07,7400.0,6800.0,7400.0,6200.0,2590000.0
2020-04-06,6800.0,6300.0,6800.0,6300.0,844850.0
2020-04-03,6200.0,5800.0,6200.0,5800.0,811740.0
2020-04-01,5700.0,5200.0,5700.0,4700.0,2790000.0
2020-03-31,5200.0,4500.0,5300.0,4500.0,672620.0
2020-03-30,4900.0,5200.0,5300.0,4900.0,216500.0
2020-03-27,5400.0,5400.0,6300.0,5400.0,120900.0
2020-03-26,6000.0,6700.0,7000.0,6000.0,133620.0
2020-03-25,6600.0,6600.0,8000.0,6600.0,721110.0
2020-03-24,7300.0,7300.0,7300.0,7300.0,10610.0
2020-03-23,8100.0,8100.0,8100.0,8100.0,8500.0
2020-03-20,9000.0,9100.0,9500.0,9000.0,821600.0
2020-03-19,9900.0,10800.0,10800.0,9900.0,1800000.0
2020-03-18,10900.0,11500.0,11900.0,10400.0,772010.0
2020-03-17,11500.0,11700.0,11700.0,10600.0,2570000.0
2020-03-16,11700.0,10300.0,12400.0,10300.0,3180000.0
2020-03-13,11400.0,11400.0,11400.0,11400.0,312120.0
2020-03-12,12600.0,12600.0,12600.0,12600.0,470610.0
2020-03-11,13883.0,13883.0,14563.0,13883.0,826600.0
2020-03-10,15340.0,15340.0,15340.0,15340.0,479580.0
2020-03-09,16990.0,16990.0,16990.0,16990.0,17630.0
2020-03-06,18835.0,18738.0,18835.0,15534.0,2170000.0
2020-03-05,17184.0,17087.0,17184.0,14078.0,3330000.0
2020-03-04,15631.0,14369.0,15631.0,12913.0,2740000.0
2020-03-03,14272.0,14369.0,14854.0,13981.0,1320000.0
2020-03-02,14271.8,14660.2,14757.0,14271.8,478610.0
2020-02-28,15000.0,15600.0,15600.0,14100.0,955000.0
2020-02-27,15600.0,15000.0,15600.0,14800.0,660500.0
2020-02-26,14900.0,16500.0,16500.0,14900.0,425280.0
2020-02-25,16500.0,17000.0,17000.0,15600.0,844850.0
2020-02-24,17300.0,19300.0,19300.0,17300.0,954000.0
2020-02-21,19200.0,19700.0,19700.0,18900.0,601400.0
2020-02-20,19500.0,18900.0,19600.0,18400.0,742220.0
2020-02-19,18800.0,18600.0,19200.0,18200.0,688600.0
2020-02-18,18600.0,19100.0,19300.0,18400.0,688420.0
2020-02-17,19000.0,18300.0,19100.0,18300.0,748940.0
2020-02-14,18300.0,18100.0,18500.0,18000.0,499000.0
2020-02-13,18000.0,17600.0,18200.0,17400.0,449210.0
2020-02-12,17600.0,17400.0,17900.0,17200.0,463500.0
2020-02-11,17300.0,16800.0,17500.0,16600.0,455000.0
2020-02-10,16700.0,16600.0,17000.0,16500.0,347160.0
2020-02-07,16500.0,16100.0,16700.0,16100.0,282910.0
2020-02-06,16000.0,13500.0,16000.0,13400.0,355010.0
2020-02-05,14600.0,13800.0,14600.0,13800.0,3920.0
2020-02-04,13800.0,13800.0,13800.0,13700.0,1200.0
2020-02-03,13800.0,13600.0,14200.0,13500.0,40200.0
2020-01-31,15000.0,14000.0,15000.0,14000.0,500.0
2020-01-30,14000.0,14000.0,14000.0,14000.0,100.0
2020-01-22,14800.0,13900.0,14800.0,13900.0,4800.0
2020-01-21,14900.0,15000.0,15300.0,14700.0,271200.0
2020-01-20,15100.0,15100.0,15100.0,15100.0,10700.0
2020-01-17,14900.0,15200.0,15300.0,13700.0,11700.0
2020-01-16,15000.0,15300.0,15300.0,14500.0,182300.0
2020-01-15,15200.0,15700.0,15900.0,13900.0,21200.0
2020-01-14,15400.0,15600.0,16000.0,15400.0,12200.0
2020-01-13,15500.0,15700.0,16100.0,14700.0,87100.0
2020-01-10,15700.0,16000.0,16300.0,15000.0,71700.0
2020-01-09,15800.0,15500.0,16400.0,14300.0,182500.0
2020-01-08,15800.0,18000.0,18000.0,15800.0,236160.0
2020-01-07,17500.0,19100.0,19100.0,17500.0,118370.0
2020-01-06,19400.0,20200.0,20500.0,18300.0,313020.0
2020-01-03,20300.0,20500.0,20800.0,19600.0,130160.0
2020-01-02,20300.0,22000.0,22200.0,18500.0,821600.0
2019-12-31,20500.0,22600.0,22600.0,20500.0,468600.0
2019-12-30,22700.0,22700.0,24900.0,22700.0,238700.0
2019-12-27,25200.0,25200.0,25200.0,25200.0,614630.0
2019-12-26,27900.0,27900.0,27900.0,27900.0,233370.0
2019-12-25,31000.0,29700.0,31900.0,26600.0,609510.0
2019-12-24,29500.0,27100.0,29500.0,24300.0,431630.0
2019-12-23,26900.0,24200.0,26900.0,22100.0,933100.0
2019-12-20,24500.0,24500.0,25000.0,23000.0,58010.0
2019-12-19,24500.0,25300.0,25300.0,24500.0,87610.0
2019-12-18,25000.0,25700.0,26100.0,25000.0,111720.0
2019-12-17,25700.0,25000.0,26000.0,25000.0,340260.0
2019-12-16,25000.0,24000.0,25000.0,22000.0,117920.0
2019-12-13,24300.0,27700.0,27900.0,24300.0,558370.0
2019-12-12,27000.0,30500.0,30500.0,27000.0,638200.0
2019-12-11,30000.0,32500.0,32500.0,29000.0,32900.0
2019-12-10,32200.0,30400.0,32200.0,28000.0,201930.0
2019-12-09,29800.0,32500.0,34000.0,29800.0,352380.0
2019-12-06,33100.0,32000.0,33100.0,29100.0,187700.0
2019-12-05,32300.0,35800.0,36400.0,32300.0,1020000.0
2019-12-04,35800.0,32900.0,35800.0,32900.0,587110.0
2019-12-03,32600.0,29500.0,32600.0,27100.0,316030.0
2019-12-02,29700.0,33400.0,33400.0,29700.0,278850.0
2019-11-29,33000.0,36500.0,38500.0,33000.0,135110.0
2019-11-28,36600.0,39900.0,41100.0,36600.0,200780.0
2019-11-27,40600.0,45000.0,45100.0,40600.0,254530.0
2019-11-26,45100.0,41800.0,45200.0,37300.0,630300.0
2019-11-25,41400.0,38500.0,41400.0,38500.0,500230.0
2019-11-22,37700.0,30900.0,37700.0,30900.0,1030000.0
2019-11-21,34300.0,34300.0,34300.0,34300.0,152000.0
2019-11-20,38100.0,38100.0,38100.0,38100.0,93920.0
2019-11-19,42300.0,46500.0,46500.0,42300.0,2110.0
2019-11-18,47000.0,51700.0,53400.0,47000.0,169910.0
2019-11-15,52200.0,58100.0,63800.0,52200.0,488030.0
2019-11-14,58000.0,54000.0,58200.0,53900.0,474520.0
2019-11-13,53900.0,51000.0,53900.0,51000.0,297830.0
2019-11-12,51000.0,48500.0,51000.0,48500.0,243700.0
2019-11-11,48400.0,46500.0,48700.0,46500.0,209590.0
2019-11-08,46400.0,45300.0,47100.0,45100.0,221610.0
2019-11-07,45300.0,42200.0,46200.0,42100.0,359220.0
2019-11-06,42000.0,40900.0,42000.0,40500.0,138500.0
2019-11-05,40800.0,43000.0,43000.0,38700.0,271170.0
2019-11-04,42900.0,42400.0,43300.0,42100.0,108900.0
2019-11-01,42300.0,40500.0,42700.0,40000.0,361190.0
2019-10-31,40200.0,43600.0,43800.0,39200.0,418900.0
2019-10-30,43500.0,44100.0,44700.0,42000.0,227590.0
