Date,Close,Open,High,Low,Volume
2020-05-08,11400.0,11400.0,11400.0,11400.0,0.0
2020-05-07,11400.0,11400.0,11400.0,11400.0,0.0
2020-05-06,11400.0,11400.0,11400.0,11400.0,0.0
2020-05-05,11400.0,11400.0,11400.0,11400.0,0.0
2020-05-04,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-29,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-28,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-27,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-24,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-23,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-22,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-21,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-20,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-17,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-16,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-15,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-14,11400.0,11400.0,11400.0,11400.0,0.0
2020-04-13,11400.0,11400.0,11400.0,11400.0,100.0
2020-04-10,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-09,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-08,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-07,8200.0,8200.0,8200.0,8200.0,0.0
2019-08-29,8500.0,8500.0,8500.0,8500.0,200.0
2019-08-14,10000.0,10000.0,10000.0,10000.0,100.0
2019-08-13,9900.0,9900.0,9900.0,9900.0,100.0
2019-08-09,9500.0,9500.0,9500.0,9500.0,100.0
2019-08-02,9000.0,9000.0,9000.0,9000.0,100.0
2019-08-01,8500.0,8500.0,8500.0,8500.0,100.0
2019-07-30,7800.0,7800.0,7800.0,7800.0,100.0
2019-07-29,6800.0,6800.0,6800.0,6800.0,100.0
2018-10-04,5100.0,6000.0,6000.0,5100.0,110800.0
2018-10-02,6000.0,6000.0,6000.0,6000.0,200.0
2018-03-20,9600.0,9600.0,9600.0,9600.0,400.0
2018-03-19,8448.0,8448.0,8448.0,8448.0,100.0
2018-03-14,7584.0,7584.0,7584.0,7584.0,100.0
2018-03-12,6720.0,6720.0,6720.0,6720.0,2300.0
2018-03-09,6720.0,6720.0,6720.0,6720.0,1000.0
2018-03-06,6720.0,6720.0,6720.0,6720.0,1700.0
2018-03-05,7200.0,7200.0,7200.0,7200.0,3000.0
2018-03-01,7680.0,7680.0,7680.0,7680.0,3000.0
2017-11-27,9696.0,9696.0,9696.0,9696.0,100.0
2017-11-10,8640.0,8640.0,8640.0,8640.0,100.0
2017-11-07,7680.0,7680.0,7680.0,7680.0,200.0
2017-11-06,8544.0,8544.0,8544.0,8544.0,100.0
2017-10-24,7488.0,7488.0,7488.0,7488.0,100.0
2017-10-19,6624.0,6624.0,6624.0,6624.0,100.0
2017-10-05,5760.0,6528.0,6528.0,5760.0,700.0
2017-10-03,5760.0,5760.0,5760.0,5760.0,100.0
2017-10-02,6528.0,6528.0,6528.0,6528.0,100.0
2017-09-20,5760.0,5760.0,5760.0,5760.0,200.0
2017-09-06,7776.0,7776.0,7776.0,7776.0,0.0
2017-09-05,7776.0,7776.0,7776.0,7776.0,0.0
2017-08-01,7776.0,7776.0,7776.0,7776.0,100.0
2017-07-19,6912.0,6912.0,6912.0,6912.0,300.0
2017-07-17,7872.0,7872.0,8160.0,7872.0,5600.0
2017-07-07,7872.0,7872.0,7872.0,7872.0,100.0
2017-07-05,7008.0,7008.0,7008.0,7008.0,100.0
2017-07-03,6240.0,6240.0,6240.0,6240.0,300.0
2017-06-27,6816.0,6816.0,6816.0,6816.0,1000.0
2017-06-26,7872.0,7872.0,7872.0,7872.0,100.0
2017-06-22,7008.0,7008.0,7008.0,7008.0,100.0
2017-06-21,6240.0,6240.0,6240.0,6240.0,100.0
2017-06-20,7296.0,7296.0,7296.0,7296.0,700.0
2017-06-16,7296.0,7296.0,7296.0,7296.0,100.0
2017-06-13,5568.0,7200.0,7200.0,5568.0,200.0
2017-06-12,6336.0,6336.0,6336.0,6336.0,1300.0
2017-06-08,7680.0,7008.0,7680.0,7008.0,200.0
2017-06-02,8160.0,8160.0,8160.0,8160.0,100.0
2017-05-31,8928.0,8928.0,8928.0,8928.0,100.0
2017-05-25,7968.0,7968.0,7968.0,7968.0,700.0
2017-05-24,9312.0,9312.0,9312.0,9312.0,100.0
2017-05-19,8256.0,8256.0,8256.0,8256.0,100.0
2017-05-18,7296.0,7392.0,7392.0,7296.0,700.0
2017-05-17,6528.0,6624.0,6624.0,6528.0,600.0
2017-05-16,6624.0,6624.0,6624.0,6624.0,900.0
2017-05-15,5760.0,5760.0,5760.0,5760.0,600.0
2017-05-10,5760.0,5760.0,5760.0,5760.0,100.0
2017-04-26,5760.0,5760.0,5760.0,5760.0,700.0
2017-04-25,6240.0,5760.0,6240.0,5760.0,1000.0
2017-04-21,6624.0,6624.0,6624.0,6624.0,1000.0
2017-04-20,5760.0,5760.0,5760.0,5760.0,100.0
2017-04-18,6336.0,6336.0,6336.0,6336.0,1200.0
2017-02-07,10560.0,10560.0,10560.0,10560.0,100.0
2017-01-25,9504.0,9504.0,9504.0,9504.0,100.0
2016-12-29,8448.0,8448.0,8448.0,8448.0,100.0
2016-12-28,7488.0,7488.0,7488.0,7488.0,100.0
2016-12-21,6624.0,6624.0,6624.0,6624.0,200.0
2016-11-14,7776.0,7776.0,7776.0,7776.0,100.0
2016-10-28,7584.0,6432.0,7584.0,6432.0,200.0
2016-10-27,7488.0,7488.0,7488.0,7488.0,200.0
2016-10-20,6624.0,6624.0,6624.0,6624.0,100.0
2016-10-19,5856.0,5856.0,5856.0,5856.0,1000.0
2016-10-18,5856.0,5856.0,5856.0,5856.0,100.0
2016-10-13,5184.0,5184.0,5184.0,5184.0,100.0
2016-10-12,4512.0,4512.0,4512.0,4512.0,100.0
2016-10-06,3936.0,3936.0,3936.0,3936.0,6000.0
2016-09-28,3936.0,3936.0,3936.0,3936.0,100.0
2016-08-08,3936.0,3936.0,3936.0,3936.0,100.0
2016-08-02,4608.0,4608.0,4608.0,4608.0,100.0
2016-07-13,5376.0,5376.0,5376.0,5376.0,100.0
2016-06-29,6240.0,6240.0,6240.0,6240.0,200.0
2016-06-28,5472.0,5472.0,5472.0,5472.0,100.0
2016-06-27,6432.0,6432.0,6432.0,6432.0,3000.0
2016-06-24,6720.0,4992.0,6720.0,4992.0,2100.0
2016-06-23,5856.0,5856.0,5856.0,5856.0,100.0
2016-06-22,6878.0,6784.0,6878.0,6784.0,1200.0
2016-06-21,6030.0,6030.0,6030.0,6030.0,800.0
2016-06-16,5277.0,5277.0,5277.0,5277.0,100.0
2016-06-15,5842.0,5842.0,5842.0,5842.0,100.0
2016-06-13,6784.0,6784.0,6784.0,6784.0,3000.0
2016-06-10,6784.0,6784.0,6784.0,6784.0,200.0
2016-06-08,7538.0,7538.0,7538.0,7538.0,100.0
2016-06-06,6596.0,6596.0,6596.0,6596.0,200.0
2016-06-02,5936.0,5936.0,5936.0,5936.0,100.0
2016-05-31,6878.0,6030.0,6878.0,6030.0,3100.0
2016-05-25,6878.0,6878.0,6878.0,6878.0,3000.0
2016-05-23,8009.0,8009.0,8009.0,8009.0,200.0
2016-05-19,9422.0,9422.0,9422.0,9422.0,100.0
2016-05-18,8480.0,8480.0,8480.0,8480.0,100.0
2016-05-17,7444.0,7444.0,7444.0,7444.0,100.0
2016-05-16,6502.0,6502.0,6502.0,5277.0,6300.0
2016-05-13,6125.0,6125.0,6125.0,6125.0,100.0
2016-05-11,5371.0,5371.0,5371.0,5371.0,100.0
2016-05-10,6219.0,6219.0,6219.0,6219.0,100.0
2016-05-09,5465.0,5465.0,5465.0,5465.0,100.0
2016-05-06,6313.0,6313.0,6313.0,6313.0,100.0
2016-05-05,7255.0,7255.0,7255.0,7255.0,100.0
2016-05-04,6313.0,6313.0,6313.0,6313.0,100.0
2016-04-29,7350.0,7350.0,7350.0,7350.0,100.0
2016-04-28,7444.0,7444.0,7444.0,7444.0,3500.0
2016-04-27,6502.0,6502.0,6502.0,6502.0,100.0
2016-04-25,7632.0,7632.0,7632.0,7632.0,2000.0
2016-04-22,6690.0,6690.0,6690.0,6690.0,4900.0
2016-04-21,5842.0,5842.0,5842.0,5842.0,400.0
2016-04-20,5088.0,5088.0,5088.0,5088.0,100.0
2016-04-14,4429.0,4429.0,4429.0,4429.0,200.0
2016-04-13,6030.0,4523.0,6030.0,4523.0,300.0
2016-04-12,5277.0,5277.0,5277.0,5277.0,100.0
2016-02-16,3769.0,3769.0,3769.0,3769.0,100.0
2016-02-01,4334.0,4334.0,4334.0,4334.0,100.0
2016-01-21,4900.0,4805.0,4900.0,4805.0,300.0
2016-01-11,5653.0,5653.0,5653.0,5653.0,100.0
2016-01-07,6596.0,6596.0,6596.0,6596.0,1800.0
2016-01-06,5748.0,5748.0,5748.0,5748.0,100.0
2016-01-04,6596.0,6313.0,6596.0,6313.0,2100.0
