Date,Close,Open,High,Low,Volume
2020-05-06,30700.0,30700.0,30700.0,30700.0,0.0
2020-05-05,30700.0,30700.0,30700.0,30700.0,0.0
2020-05-04,30700.0,30700.0,30700.0,30700.0,0.0
2020-04-29,30700.0,30700.0,30700.0,30700.0,0.0
2020-04-28,30700.0,30700.0,30700.0,30700.0,0.0
2020-04-27,30700.0,30700.0,30700.0,30700.0,0.0
2020-04-24,30700.0,30700.0,30700.0,30700.0,0.0
2020-04-23,30700.0,30700.0,30700.0,30700.0,0.0
2020-04-22,30700.0,30700.0,30700.0,30700.0,100.0
2020-04-21,26700.0,26700.0,26700.0,26700.0,0.0
2020-04-20,26700.0,26600.0,26700.0,26600.0,1110.0
2020-04-17,23300.0,23300.0,23300.0,23300.0,200.0
2020-04-16,24000.0,20300.0,24000.0,20000.0,5300.0
2020-04-15,21000.0,21000.0,21000.0,21000.0,0.0
2020-04-14,21000.0,21000.0,21000.0,21000.0,0.0
2020-04-13,21000.0,21000.0,21000.0,21000.0,0.0
2020-04-10,21000.0,21000.0,21000.0,21000.0,0.0
2020-04-09,20300.0,24000.0,24000.0,20300.0,500.0
2020-04-08,20900.0,20900.0,20900.0,20900.0,0.0
2020-04-07,20900.0,20900.0,20900.0,20900.0,0.0
2020-04-06,20700.0,24200.0,24200.0,20700.0,3200.0
2020-04-01,20400.0,23300.0,23300.0,20300.0,400.0
2020-03-31,20700.0,20000.0,20700.0,19200.0,3000.0
2020-03-30,22500.0,22500.0,22500.0,22500.0,100.0
2020-03-27,20500.0,18600.0,20500.0,17800.0,2900.0
2020-03-26,20700.0,20700.0,20700.0,20700.0,100.0
2020-03-25,20000.0,20500.0,20500.0,20000.0,600.0
2020-03-24,20700.0,20700.0,20700.0,20700.0,100.0
2020-03-23,20800.0,27800.0,27800.0,20800.0,4900.0
2020-03-20,21900.0,26900.0,26900.0,21900.0,200.0
2020-03-19,22000.0,25000.0,25000.0,22000.0,210.0
2020-03-18,23200.0,19900.0,23200.0,19900.0,300.0
2020-03-17,23300.0,23300.0,23300.0,23300.0,600.0
2020-03-06,27400.0,27400.0,27400.0,27400.0,100.0
2020-02-20,24000.0,24000.0,24000.0,24000.0,100.0
2020-02-03,28200.0,28200.0,28200.0,28200.0,100.0
2020-01-21,24800.0,24800.0,24800.0,24800.0,100.0
2020-01-15,24800.0,23000.0,24800.0,23000.0,600.0
2020-01-14,24800.0,21200.0,24800.0,21200.0,200.0
2020-01-02,24900.0,24900.0,24900.0,24900.0,100.0
2019-12-31,24200.0,20600.0,24200.0,20600.0,3200.0
2019-12-27,24200.0,24200.0,24200.0,24200.0,100.0
2019-12-26,24200.0,20800.0,24200.0,20800.0,200.0
2019-12-20,24300.0,24300.0,24300.0,24300.0,100.0
2019-12-19,28500.0,28500.0,28500.0,28500.0,100.0
2019-12-18,25000.0,25000.0,25000.0,25000.0,100.0
2019-12-17,23900.0,18000.0,23900.0,18000.0,300.0
2019-12-04,20900.0,20900.0,20900.0,20900.0,100.0
2019-12-03,19000.0,19700.0,19700.0,19000.0,3700.0
2019-12-02,19000.0,19000.0,19000.0,19000.0,1100.0
2019-11-29,19000.0,19400.0,19400.0,19000.0,1100.0
2019-11-26,18900.0,18500.0,19000.0,18500.0,1600.0
2019-11-22,18500.0,18500.0,18500.0,18500.0,3200.0
2019-11-21,18800.0,18700.0,18800.0,18700.0,7500.0
2019-11-19,17200.0,17200.0,17200.0,17200.0,200.0
2019-11-12,19500.0,19400.0,19500.0,19400.0,270.0
2019-11-11,17200.0,17200.0,17200.0,17200.0,100.0
2019-11-04,19900.0,19900.0,19900.0,19900.0,700.0
2019-10-24,19300.0,19300.0,19300.0,19300.0,1000.0
2019-10-23,18900.0,18800.0,18900.0,18800.0,1800.0
2019-10-22,16400.0,16500.0,16500.0,16400.0,200.0
2019-10-16,18900.0,18900.0,18900.0,18900.0,100.0
2019-10-11,19400.0,16000.0,19400.0,16000.0,200.0
2019-10-10,18200.0,18200.0,18200.0,18200.0,0.0
2019-10-08,18200.0,18200.0,18200.0,18200.0,100.0
2019-10-07,16100.0,16100.0,16100.0,16100.0,100.0
2019-10-03,19400.0,19000.0,19400.0,17100.0,300.0
2019-10-01,17900.0,17500.0,17900.0,17500.0,2100.0
2019-09-30,15600.0,15600.0,15600.0,15600.0,300.0
2019-09-25,16000.0,16000.0,16000.0,16000.0,100.0
2019-09-24,19700.0,19900.0,19900.0,16100.0,300.0
2019-09-23,17500.0,17500.0,17500.0,17500.0,200.0
2019-09-20,20300.0,20300.0,20300.0,20300.0,100.0
2019-09-19,19600.0,19600.0,19600.0,19600.0,100.0
2019-09-18,16300.0,19800.0,19800.0,16300.0,300.0
2019-09-17,17400.0,17400.0,17400.0,17400.0,200.0
2019-09-13,20200.0,20200.0,20200.0,20200.0,100.0
2019-09-12,17700.0,17700.0,17700.0,17700.0,100.0
2019-09-09,20400.0,20400.0,20400.0,20400.0,100.0
2019-08-23,20400.0,20400.0,20400.0,20400.0,200.0
2019-08-21,20400.0,20400.0,20400.0,20400.0,100.0
2019-08-20,17900.0,17900.0,17900.0,17900.0,2400.0
2019-08-15,20900.0,20900.0,20900.0,20900.0,100.0
2019-08-14,19800.0,19700.0,19800.0,19700.0,200.0
2019-08-13,18100.0,18100.0,18100.0,18100.0,500.0
2019-08-01,20400.0,20400.0,20400.0,20400.0,100.0
2019-07-31,20500.0,19000.0,20500.0,19000.0,200.0
2019-07-26,21400.0,21400.0,21400.0,21400.0,170.0
2019-07-25,18700.0,18800.0,18800.0,18700.0,230.0
2019-07-15,21800.0,21800.0,21800.0,21800.0,100.0
2019-07-11,21500.0,21500.0,21500.0,21500.0,100.0
2019-07-08,21000.0,22000.0,22000.0,21000.0,450.0
2019-07-03,21700.0,21700.0,21700.0,21700.0,100.0
2019-06-14,22900.0,19400.0,22900.0,19400.0,500.0
2019-06-10,21000.0,23800.0,23800.0,21000.0,200.0
2019-06-03,22900.0,22900.0,22900.0,22900.0,100.0
2019-05-29,20900.0,20900.0,20900.0,20900.0,100.0
2019-05-28,17100.0,17100.0,19500.0,17100.0,400.0
2019-05-23,20000.0,20000.0,20000.0,20000.0,200.0
2019-05-21,20000.0,20000.0,20000.0,20000.0,100.0
2019-05-20,20000.0,19500.0,20000.0,19500.0,200.0
2019-05-17,18900.0,18900.0,18900.0,18900.0,100.0
2019-05-16,19600.0,19600.0,19600.0,19600.0,130.0
2019-05-13,21900.0,21900.0,21900.0,21900.0,100.0
2019-05-10,20500.0,20500.0,20500.0,20500.0,200.0
2019-05-08,23900.0,23900.0,23900.0,23900.0,100.0
2019-05-03,21400.0,21400.0,21400.0,21400.0,200.0
2019-04-26,21400.0,21400.0,21400.0,21400.0,110.0
2019-04-25,19500.0,19800.0,19800.0,19500.0,300.0
2019-04-02,22800.0,22800.0,22800.0,22800.0,100.0
2019-03-27,21500.0,21500.0,21500.0,21500.0,1010.0
2019-03-21,22800.0,20000.0,22800.0,20000.0,400.0
2019-03-19,23400.0,23400.0,23400.0,23400.0,110.0
2019-03-15,22900.0,21000.0,22900.0,21000.0,1100.0
2019-03-14,23700.0,23700.0,23700.0,23700.0,100.0
2019-03-13,21000.0,21000.0,21000.0,21000.0,1010.0
2019-03-01,24200.0,24200.0,24200.0,24200.0,100.0
2019-02-27,22900.0,22900.0,22900.0,22900.0,100.0
2019-02-26,22000.0,22000.0,22000.0,22000.0,1500.0
2019-02-25,22500.0,22500.0,22500.0,22500.0,100.0
2019-02-22,24900.0,24900.0,24900.0,24900.0,130.0
2019-02-21,22000.0,21900.0,22000.0,21900.0,6100.0
2019-02-19,26800.0,22800.0,26800.0,22800.0,2200.0
2019-02-18,26800.0,26800.0,26800.0,26800.0,100.0
2019-02-15,24000.0,24500.0,24500.0,21300.0,400.0
2019-02-14,21800.0,21800.0,21800.0,21800.0,500.0
2019-02-13,25500.0,25500.0,25500.0,25500.0,200.0
2019-02-11,30000.0,30000.0,30000.0,30000.0,300.0
2018-12-19,28800.0,28800.0,28800.0,28800.0,100.0
2018-11-07,20700.0,20700.0,20700.0,20700.0,100.0
2018-11-02,19800.0,19800.0,19800.0,19800.0,100.0
2018-11-01,17600.0,17600.0,17600.0,17600.0,100.0
2018-10-30,19500.0,19500.0,19500.0,19500.0,100.0
2018-10-11,20000.0,20000.0,20000.0,20000.0,1000.0
2018-10-10,21000.0,21000.0,21000.0,21000.0,0.0
2018-10-08,21000.0,21000.0,21000.0,21000.0,100.0
2018-10-03,20000.0,20000.0,20000.0,20000.0,500.0
2018-10-02,20000.0,19300.0,20000.0,19200.0,1800.0
2018-09-26,22000.0,22000.0,22000.0,22000.0,100.0
2018-09-24,20000.0,22300.0,22300.0,20000.0,1000.0
2018-09-21,19500.0,19500.0,19500.0,19500.0,100.0
2018-09-18,22700.0,22700.0,22700.0,22700.0,100.0
2018-09-12,20500.0,20500.0,20500.0,20500.0,200.0
2018-08-27,23400.0,20400.0,23400.0,20400.0,300.0
2018-08-24,20500.0,20500.0,20500.0,20500.0,1400.0
2018-08-14,21500.0,21500.0,21500.0,21500.0,100.0
2018-08-10,22500.0,22500.0,22500.0,22500.0,100.0
2018-07-24,23900.0,20700.0,23900.0,20700.0,600.0
2018-07-23,24300.0,24300.0,24300.0,24300.0,100.0
2018-07-19,21900.0,21900.0,21900.0,21900.0,100.0
2018-07-18,18700.0,18500.0,21600.0,18500.0,1600.0
2018-07-10,21700.0,21700.0,21700.0,21700.0,100.0
2018-07-09,20400.0,20400.0,20400.0,20400.0,1300.0
2018-07-03,24000.0,24000.0,24000.0,24000.0,100.0
2018-06-29,24300.0,24300.0,24300.0,24300.0,100.0
2018-06-26,22900.0,19700.0,22900.0,19700.0,200.0
2018-06-19,23100.0,23100.0,23100.0,23100.0,100.0
2018-06-13,19200.0,21283.0,21283.0,19019.0,6100.0
2018-06-12,20830.0,21736.0,21826.0,19019.0,2400.0
2018-06-11,21736.0,22642.0,22642.0,21736.0,2000.0
2018-06-08,21645.0,24634.0,24634.0,21645.0,400.0
2018-06-07,21555.0,21645.0,21645.0,21555.0,500.0
2018-06-05,21645.0,21736.0,21736.0,21645.0,300.0
2018-06-04,19019.0,19019.0,19019.0,19019.0,1800.0
2018-05-31,19019.0,19019.0,19019.0,19019.0,100.0
2018-05-22,20830.0,20830.0,20830.0,20830.0,2040.0
2018-05-15,24272.0,24272.0,24272.0,24272.0,170.0
2018-04-26,23547.0,23547.0,23547.0,23547.0,1000.0
2018-04-12,22189.0,22189.0,22189.0,22189.0,2100.0
2018-04-09,22189.0,22189.0,22189.0,22189.0,8000.0
2018-04-06,22279.0,22008.0,22279.0,22008.0,1700.0
2018-04-05,19019.0,19472.0,19472.0,19019.0,3400.0
2018-04-03,19472.0,21645.0,21645.0,19472.0,5200.0
2018-03-30,22642.0,22642.0,22642.0,22642.0,100.0
2018-03-28,24362.0,24362.0,24362.0,24362.0,100.0
2018-03-27,24634.0,24634.0,24634.0,24634.0,100.0
