Date,Close,Open,High,Low,Volume
2020-05-06,7000.0,7000.0,7000.0,7000.0,0.0
2020-05-05,7000.0,7000.0,7000.0,7000.0,0.0
2020-05-04,7000.0,7000.0,7000.0,7000.0,0.0
2020-04-29,7000.0,7000.0,7000.0,7000.0,0.0
2020-04-28,7000.0,7000.0,7000.0,7000.0,0.0
2020-04-27,7000.0,7000.0,7000.0,7000.0,200.0
2020-04-24,7000.0,7000.0,7000.0,7000.0,0.0
2020-04-23,7000.0,7000.0,7000.0,7000.0,100.0
2020-04-22,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-21,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-20,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-17,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-16,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-15,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-14,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-13,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-10,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-09,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-08,5000.0,5000.0,5000.0,5000.0,0.0
2020-04-07,5000.0,5000.0,5000.0,5000.0,12.0
2020-03-11,5000.0,5000.0,5000.0,5000.0,100.0
2020-01-09,8600.0,7800.0,8600.0,7500.0,14500.0
2019-12-30,7500.0,7500.0,7500.0,7500.0,0.0
2019-12-27,7500.0,7500.0,7500.0,7500.0,100.0
2019-12-17,8000.0,8000.0,8000.0,8000.0,0.0
2019-12-16,8000.0,8000.0,8000.0,8000.0,100.0
2019-11-28,7500.0,7500.0,7500.0,7500.0,1000.0
2019-11-07,7900.0,7900.0,7900.0,7900.0,100.0
2019-11-06,6900.0,6900.0,6900.0,6900.0,100.0
2019-11-05,6000.0,6000.0,6000.0,6000.0,2500.0
2019-11-04,6800.0,6800.0,6800.0,6800.0,2000.0
2019-11-01,8000.0,8000.0,8000.0,8000.0,800.0
2019-10-04,9300.0,9300.0,9300.0,9300.0,100.0
2019-09-30,9100.0,9100.0,9100.0,9100.0,100.0
2019-07-11,9000.0,9000.0,9000.0,9000.0,500.0
2019-06-26,8900.0,8900.0,8900.0,8900.0,700.0
2019-06-21,8200.0,8200.0,8200.0,8200.0,4300.0
2019-05-24,8200.0,8200.0,8200.0,8200.0,100.0
2019-05-23,8200.0,8200.0,8200.0,8200.0,100.0
2019-05-22,7200.0,7200.0,7200.0,7200.0,100.0
2019-05-21,6300.0,6300.0,6300.0,6300.0,100.0
2019-05-03,5500.0,5500.0,5500.0,5500.0,110.0
2019-04-09,6300.0,6300.0,6300.0,6300.0,100.0
2019-04-02,7200.0,7200.0,7200.0,7200.0,100.0
2019-03-22,6300.0,6300.0,6300.0,6300.0,100.0
2019-03-20,5500.0,5500.0,5500.0,5500.0,110.0
2019-03-19,6000.0,6000.0,6000.0,6000.0,100.0
2019-03-15,7000.0,7000.0,7000.0,7000.0,4100.0
2019-03-14,6300.0,6300.0,6300.0,6300.0,300.0
2019-03-04,6000.0,6000.0,6000.0,6000.0,2000.0
2019-02-28,6000.0,6100.0,6100.0,6000.0,4000.0
2019-02-27,5500.0,5500.0,5500.0,5500.0,1000.0
2019-02-19,5500.0,5500.0,5500.0,5500.0,1000.0
2019-02-13,5500.0,5500.0,5500.0,5500.0,1000.0
2019-01-31,5500.0,5500.0,5500.0,5500.0,100.0
2019-01-25,5500.0,5500.0,5500.0,5500.0,100.0
2019-01-14,6300.0,6000.0,6300.0,6000.0,15100.0
2018-12-04,6100.0,6100.0,6100.0,6100.0,3800.0
2018-11-23,6000.0,6000.0,6000.0,6000.0,3000.0
2018-11-16,6100.0,6100.0,6100.0,6100.0,2000.0
2018-11-13,6300.0,6300.0,6300.0,6300.0,3000.0
2018-11-12,6100.0,6100.0,6100.0,6100.0,2000.0
2018-11-09,6000.0,6000.0,6000.0,6000.0,100.0
2018-11-08,5800.0,5800.0,5800.0,5800.0,200.0
2018-11-05,5100.0,5100.0,5100.0,5100.0,100.0
2018-10-18,4500.0,4500.0,4500.0,4500.0,8200.0
2018-10-17,4900.0,4900.0,4900.0,4900.0,100.0
2018-10-10,6000.0,6000.0,6000.0,6000.0,100.0
2018-10-08,7000.0,7000.0,7000.0,7000.0,20100.0
2018-10-05,6417.0,6417.0,6417.0,6417.0,8400.0
2018-10-02,5592.0,5683.0,5683.0,5592.0,8500.0
2018-08-27,6508.0,6508.0,6508.0,6508.0,200.0
2018-08-21,6233.0,6600.0,6600.0,6233.0,4100.0
2018-08-20,7242.0,7242.0,7242.0,7242.0,100.0
2018-08-17,6600.0,6600.0,6600.0,6600.0,2000.0
2018-08-16,6600.0,6600.0,6600.0,6600.0,2000.0
2018-08-14,6875.0,6875.0,6875.0,6875.0,2000.0
2018-08-09,7242.0,7242.0,7242.0,7242.0,100.0
2018-08-01,6417.0,6417.0,6417.0,6417.0,2400.0
2018-07-03,5775.0,7517.0,7517.0,5775.0,4070.0000000000005
2018-06-26,6692.0,6692.0,6692.0,6692.0,5000.0
2018-06-20,5867.0,5867.0,5867.0,5867.0,7200.0
2018-06-19,6875.0,6875.0,6875.0,6875.0,110.0
2018-06-08,6325.0,6325.0,6325.0,6325.0,100.0
2018-06-06,6417.0,6417.0,6417.0,6417.0,100.0
2018-05-24,5683.0,5683.0,5683.0,5683.0,200.0
2018-05-10,5867.0,5958.0,5958.0,5867.0,12600.0
2018-05-03,6875.0,6875.0,6875.0,6875.0,5000.0
2018-04-26,7333.0,7333.0,7333.0,7333.0,4000.0
2018-04-13,7792.0,7792.0,7792.0,7792.0,100.0
2018-04-06,7242.0,7242.0,7242.0,7242.0,200.0
2018-04-05,6417.0,6417.0,6417.0,6417.0,240.0
2018-04-04,6417.0,6417.0,6417.0,6417.0,200.0
2018-04-03,7608.0,7425.0,7608.0,7425.0,200.0
2018-04-02,6783.0,6783.0,6783.0,6783.0,1200.0
