Date,Close,Open,High,Low,Volume
2020-05-06,2200.0,2200.0,2200.0,2200.0,0.0
2020-05-05,2200.0,2200.0,2200.0,2200.0,0.0
2020-05-04,2200.0,2200.0,2200.0,2200.0,100.0
2020-04-29,2200.0,2200.0,2200.0,2200.0,0.0
2020-04-28,2200.0,2200.0,2200.0,2200.0,1100.0
2020-04-27,2200.0,2100.0,2200.0,2100.0,5900.0
2020-04-24,2000.0,2000.0,2000.0,2000.0,60.0
2020-04-23,2000.0,2000.0,2000.0,2000.0,3000.0
2020-04-22,2000.0,2000.0,2000.0,2000.0,0.0
2020-04-21,2000.0,2000.0,2000.0,2000.0,210.0
2020-04-20,2100.0,2100.0,2100.0,2100.0,95.0
2020-04-17,2100.0,2100.0,2100.0,2100.0,1700.0
2020-04-16,2300.0,2300.0,2300.0,2300.0,120.0
2020-04-15,2300.0,2200.0,2300.0,2200.0,630.0
2020-04-14,2100.0,2100.0,2100.0,2100.0,570.0
2020-04-13,2100.0,2100.0,2100.0,2100.0,0.0
2020-04-10,2100.0,2100.0,2100.0,2100.0,200.0
2020-04-09,2000.0,2000.0,2000.0,2000.0,0.0
2020-04-08,2000.0,2000.0,2000.0,2000.0,3500.0
2020-04-07,1900.0,1900.0,1900.0,1900.0,0.0
2020-04-06,1900.0,1900.0,1900.0,1900.0,5900.0
2020-03-27,2000.0,2000.0,2000.0,2000.0,100.0
2020-03-26,1900.0,1800.0,1800.0,1800.0,0.0
2020-03-24,1900.0,1900.0,1900.0,1900.0,400.0
2020-03-23,1800.0,1800.0,1800.0,1800.0,5700.0
2020-03-20,1700.0,1800.0,1800.0,1700.0,1500.0
2020-03-19,1700.0,1700.0,1700.0,1700.0,100.0
2020-03-18,1800.0,1800.0,1800.0,1800.0,690.0
2020-03-17,1800.0,1800.0,1800.0,1800.0,100.0
2020-03-16,1800.0,1700.0,1800.0,1700.0,200.0
2020-03-13,1800.0,1800.0,1800.0,1800.0,200.0
2020-03-12,2000.0,2000.0,2000.0,2000.0,700.0
2020-03-05,2200.0,2300.0,2300.0,2200.0,3100.0
2020-02-25,2100.0,2100.0,2100.0,2100.0,240.0
2020-02-20,2000.0,2000.0,2000.0,2000.0,100.0
2020-02-19,2000.0,2000.0,2000.0,2000.0,100.0
2020-02-17,1900.0,1900.0,1900.0,1900.0,100.0
2020-02-14,2100.0,2100.0,2100.0,2100.0,100.0
2020-02-13,2000.0,2000.0,2000.0,2000.0,3300.0
2020-02-12,1900.0,1900.0,1900.0,1900.0,100.0
2020-02-06,2000.0,2000.0,2000.0,2000.0,6000.0
2020-01-31,2000.0,2000.0,2000.0,2000.0,100.0
2020-01-22,2000.0,2000.0,2000.0,2000.0,8430.0
2020-01-21,1900.0,1900.0,1900.0,1900.0,100.0
2020-01-15,2000.0,1900.0,2000.0,1900.0,2029.9999999999998
2020-01-13,2100.0,2100.0,2100.0,2100.0,3000.0
2020-01-09,2000.0,2100.0,2100.0,2000.0,200.0
2020-01-08,2100.0,2100.0,2100.0,2100.0,400.0
2020-01-07,2000.0,2000.0,2000.0,2000.0,100.0
2019-12-31,2000.0,2100.0,2100.0,2000.0,1500.0
2019-12-30,2000.0,2000.0,2000.0,2000.0,230.0
2019-12-26,2100.0,2100.0,2100.0,2100.0,180.0
2019-12-25,2200.0,2200.0,2400.0,2200.0,1290.0
2019-12-23,2300.0,2300.0,2300.0,2300.0,300.0
2019-12-19,2300.0,2300.0,2300.0,2300.0,700.0
2019-12-17,2300.0,2300.0,2300.0,2300.0,900.0
2019-12-16,2200.0,2200.0,2200.0,2200.0,1000.0
2019-12-11,2200.0,2200.0,2200.0,2200.0,200.0
2019-12-05,2300.0,2300.0,2300.0,2300.0,100.0
2019-11-29,2300.0,2300.0,2300.0,2300.0,600.0
2019-11-26,2300.0,2300.0,2300.0,2200.0,3310.0
2019-11-22,2400.0,2400.0,2400.0,2400.0,2200.0
2019-11-19,2300.0,2300.0,2300.0,2300.0,200.0
2019-11-18,2400.0,2400.0,2400.0,2400.0,3500.0
2019-11-15,2400.0,2400.0,2400.0,2400.0,100.0
2019-11-12,2300.0,2400.0,2500.0,2300.0,6430.0
2019-11-11,2400.0,2400.0,2400.0,2400.0,1200.0
2019-11-06,2400.0,2400.0,2400.0,2400.0,3000.0
2019-11-01,2400.0,2300.0,2400.0,2300.0,220.0
2019-10-31,2300.0,2300.0,2300.0,2300.0,100.0
2019-10-30,2400.0,2400.0,2400.0,2400.0,220.0
2019-10-29,2300.0,2300.0,2300.0,2300.0,130.0
2019-10-28,2300.0,2300.0,2300.0,2300.0,690.0
2019-10-21,2400.0,2400.0,2400.0,2400.0,100.0
2019-10-18,2300.0,2400.0,2400.0,2300.0,1500.0
2019-10-16,2400.0,2400.0,2400.0,2400.0,500.0
2019-10-15,2300.0,2300.0,2300.0,2300.0,100.0
2019-10-14,2300.0,2300.0,2300.0,2300.0,300.0
2019-10-09,2400.0,2300.0,2400.0,2300.0,12200.0
2019-10-08,2500.0,2500.0,2500.0,2500.0,100.0
2019-10-04,2600.0,2600.0,2600.0,2600.0,2200.0
2019-09-30,2800.0,2800.0,2800.0,2800.0,2610.0
2019-09-27,2600.0,2300.0,2600.0,2300.0,3800.0
2019-09-26,2500.0,2500.0,2500.0,2500.0,100.0
2019-09-25,2700.0,2700.0,2700.0,2700.0,1920.0
2019-09-23,2500.0,2500.0,2500.0,2500.0,100.0
2019-09-19,2300.0,2400.0,2400.0,2300.0,1820.0
2019-09-18,2500.0,2500.0,2500.0,2500.0,500.0
2019-09-17,2500.0,2400.0,2500.0,2300.0,10100.0
2019-09-10,2400.0,2400.0,2400.0,2400.0,350.0
2019-09-06,2400.0,2500.0,2500.0,2400.0,2300.0
2019-09-05,2400.0,2500.0,2500.0,2400.0,5510.0
2019-09-04,2500.0,2500.0,2500.0,2500.0,1600.0
2019-09-03,2600.0,2600.0,2600.0,2600.0,1000.0
2019-08-28,2600.0,2600.0,2600.0,2600.0,210.0
2019-08-27,2500.0,2500.0,2500.0,2500.0,100.0
2019-08-26,2500.0,2600.0,2600.0,2400.0,6300.0
2019-08-23,2600.0,2600.0,2600.0,2600.0,700.0
2019-08-22,2600.0,2600.0,2600.0,2600.0,800.0
2019-08-21,2700.0,2700.0,2700.0,2700.0,1490.0
2019-08-20,2700.0,2700.0,2700.0,2700.0,900.0
2019-08-19,2600.0,2600.0,2600.0,2600.0,1270.0
2019-08-16,2600.0,2700.0,2700.0,2500.0,2520.0
2019-08-13,2500.0,2500.0,2500.0,2500.0,0.0
2019-08-12,2700.0,2900.0,2900.0,2700.0,1100.0
2019-08-07,2900.0,2700.0,2900.0,2600.0,810.0
2019-08-02,2700.0,2800.0,2800.0,2700.0,1710.0
2019-07-30,3000.0,2900.0,3000.0,2900.0,800.0
2019-07-25,2900.0,2900.0,2900.0,2900.0,430.0
