Date,Close,Open,High,Low,Volume
2020-05-08,7800.0,7880.0,7880.0,7800.0,1650.0
2020-05-07,7380.0,7880.0,7890.0,7380.0,1300.0
2020-05-06,7380.0,7380.0,7380.0,7380.0,10.0
2020-05-05,6900.0,6920.0,6920.0,6470.0,5170.0
2020-05-04,6950.0,7390.0,7390.0,6500.0,2380.0
2020-04-29,6960.0,7800.0,7800.0,6960.0,1190.0
2020-04-28,7480.0,7000.0,7490.0,7000.0,2460.0
2020-04-27,7000.0,7100.0,7100.0,7000.0,750.0
2020-04-24,6640.0,6640.0,6640.0,5780.0,7530.0
2020-04-23,6210.0,5410.0,6210.0,5410.0,8910.0
2020-04-22,5810.0,5800.0,5810.0,5800.0,760.0
2020-04-21,5430.0,5420.0,5430.0,5130.0,5680.0
2020-04-20,5080.0,4750.0,5080.0,4750.0,11060.0
2020-04-17,4750.0,4900.0,4900.0,4750.0,1050.0
2020-04-16,4900.0,4900.0,4900.0,4900.0,2800.0
2020-04-15,4900.0,5380.0,5380.0,4770.0,4550.0
2020-04-14,5120.0,5120.0,5600.0,5120.0,14340.0
2020-04-13,5500.0,5300.0,5500.0,5300.0,50.0
2020-04-10,5500.0,5220.0,5500.0,5220.0,60.0
2020-04-09,5220.0,5220.0,5220.0,5220.0,10.0
2020-04-08,4880.0,5000.0,5000.0,4860.0,630.0
2020-04-07,4840.0,4550.0,4840.0,4550.0,420.0
2020-04-06,4550.0,4550.0,4550.0,4550.0,180.0
2020-04-03,4560.0,4560.0,4560.0,4560.0,10.0
2020-04-01,4280.0,4280.0,4280.0,4280.0,2810.0
2020-03-26,4600.0,4600.0,4600.0,4600.0,60.0
2020-03-25,4460.0,4460.0,4460.0,4460.0,750.0
2020-03-24,4170.0,4170.0,4170.0,4170.0,10.0
2020-03-23,3910.0,4300.0,4480.0,3910.0,27580.0
2020-03-19,4200.0,4200.0,4490.0,4120.0,4160.0
2020-03-18,4420.0,4420.0,4420.0,4120.0,126670.0
2020-03-17,4420.0,4420.0,4500.0,4420.0,2380.0
2020-03-13,4750.0,4750.0,4750.0,4750.0,100.0
2020-03-12,5100.0,4520.0,5170.0,4520.0,2780.0
2020-03-11,4850.0,4850.0,4850.0,4850.0,10.0
2020-03-10,4590.0,4590.0,4590.0,4270.0,3170.0
2020-03-09,4590.0,5000.0,5000.0,4590.0,1110.0
2020-03-05,4920.0,4920.0,4920.0,4920.0,50.0
2020-03-04,5290.0,4710.0,5290.0,4710.0,3360.0
2020-03-03,5050.0,4420.0,5050.0,4420.0,20.0
2020-03-02,4720.0,4720.0,4720.0,4720.0,10.0
2020-02-28,5070.0,5060.0,5070.0,5060.0,13280.0
2020-02-27,5040.0,5040.0,5040.0,5040.0,1570.0
2020-02-26,5410.0,5410.0,5410.0,5410.0,10.0
2020-02-20,5070.0,5070.0,5070.0,5070.0,5000.0
2020-02-19,5070.0,4760.0,5070.0,4760.0,760.0
2020-02-18,4750.0,4740.0,4750.0,4740.0,30.0
2020-02-17,4440.0,4440.0,4440.0,4440.0,10.0
2020-02-14,4750.0,4740.0,4800.0,4740.0,2500.0
2020-02-13,5060.0,5060.0,5060.0,5060.0,20.0
2020-02-12,4730.0,5000.0,5000.0,4690.0,3010.0
2020-02-11,5010.0,5010.0,5010.0,5010.0,800.0
2020-02-10,5370.0,5370.0,5370.0,5370.0,10.0
2020-02-07,5020.0,5110.0,5110.0,5020.0,1750.0
2020-02-06,5110.0,5110.0,5110.0,5110.0,420.0
2020-02-05,5370.0,5370.0,5370.0,5370.0,460.0
2020-01-31,5760.0,5760.0,5760.0,5760.0,40.0
2019-12-20,6190.0,6190.0,6190.0,6190.0,1600.0
2019-12-10,6170.0,5800.0,6170.0,5800.0,100.0
2019-12-09,5810.0,5810.0,5810.0,5810.0,3110.0
2019-12-06,6240.0,6240.0,6240.0,6240.0,10.0
2019-12-04,6700.0,6700.0,6700.0,6700.0,100.0
2019-12-02,6300.0,6300.0,6300.0,6300.0,100.0
2019-11-20,6000.0,6000.0,6000.0,6000.0,20.0
2019-11-18,6000.0,6290.0,6290.0,5640.0,1130.0
2019-11-15,6060.0,6050.0,6070.0,6050.0,1560.0
2019-11-14,5680.0,5650.0,6060.0,5650.0,230.0
2019-11-13,6060.0,6070.0,6070.0,6060.0,6660.0
2019-11-12,6510.0,6510.0,6510.0,6510.0,60.0
2019-11-11,7000.0,6610.0,7000.0,6610.0,120.0
2019-11-08,7100.0,7100.0,7100.0,7100.0,10.0
2019-11-07,6690.0,6260.0,7150.0,6240.0,7670.0
2019-11-06,6700.0,6700.0,6700.0,6700.0,10.0
2019-11-05,7200.0,7200.0,7200.0,7200.0,100.0
2019-11-04,7200.0,7200.0,7200.0,7200.0,10.0
2019-11-01,6830.0,6830.0,6830.0,6830.0,770.0
2019-10-31,7340.0,7340.0,7340.0,7300.0,4800.0
2019-10-30,6860.0,6860.0,6860.0,6860.0,15550.0
2019-10-29,6420.0,6420.0,6420.0,6420.0,16600.0
2019-10-21,6000.0,6000.0,6000.0,6000.0,2000.0
2019-10-17,6000.0,6000.0,6000.0,6000.0,190.0
2019-10-16,6430.0,6430.0,6430.0,6430.0,30.0
2019-10-09,6900.0,6900.0,6900.0,6060.0,60.0
2019-10-03,6500.0,6500.0,6500.0,6500.0,320.0
2019-10-01,6510.0,6510.0,6510.0,6510.0,10.0
2019-09-30,6090.0,5700.0,6090.0,5700.0,20110.0
2019-09-27,5700.0,5700.0,5700.0,5700.0,230.0
2019-09-26,6090.0,6090.0,6090.0,6090.0,10000.0
2019-09-25,6090.0,6090.0,6090.0,6090.0,70980.0
2019-09-20,5700.0,5700.0,5700.0,5700.0,2070.0
2019-09-18,6050.0,6050.0,6050.0,6050.0,50000.0
2019-09-17,6050.0,6050.0,6050.0,6050.0,50000.0
2019-09-12,6050.0,6050.0,6050.0,6050.0,100070.0
2019-09-11,6050.0,6050.0,6050.0,6050.0,150000.0
2019-09-10,6050.0,6000.0,6050.0,6000.0,227190.0
2019-08-30,6000.0,6000.0,6000.0,6000.0,240.0
2019-08-29,6020.0,6020.0,6020.0,6020.0,22160.0
2019-08-28,6020.0,6000.0,6020.0,6000.0,140.0
2019-08-27,6020.0,6010.0,6020.0,6010.0,20000.0
2019-08-26,6010.0,6010.0,6010.0,6010.0,40.0
2019-08-21,6300.0,6300.0,6300.0,6300.0,10.0
2019-08-20,5900.0,5900.0,5900.0,5900.0,10.0
2019-08-19,5900.0,5900.0,5900.0,5900.0,1590.0
2019-08-16,6200.0,6200.0,6200.0,6200.0,1200.0
