Date,Close,Open,High,Low,Volume
2020-05-06,8900.0,8500.0,9000.0,8500.0,400778.0
2020-05-05,8500.0,8400.0,8500.0,8400.0,89557.0
2020-05-04,8400.0,8100.0,8500.0,8100.0,168520.0
2020-04-29,8400.0,8300.0,8400.0,8100.0,33010.0
2020-04-28,8400.0,8300.0,8400.0,8100.0,184150.0
2020-04-27,8500.0,8400.0,8500.0,8300.0,125740.0
2020-04-24,8500.0,8500.0,8500.0,8300.0,197700.0
2020-04-23,8500.0,8400.0,8500.0,8400.0,283680.0
2020-04-22,8400.0,8200.0,8500.0,8100.0,238330.0
2020-04-21,8300.0,8100.0,8300.0,8100.0,288140.0
2020-04-20,8300.0,7900.0,8300.0,7800.0,232600.0
2020-04-17,8000.0,7900.0,8000.0,7700.0,221090.0
2020-04-16,7900.0,7800.0,7900.0,7700.0,71400.0
2020-04-15,7900.0,7700.0,7900.0,7700.0,112100.0
2020-04-14,7800.0,7800.0,7800.0,7600.0,52750.0
2020-04-13,7800.0,7600.0,7900.0,7600.0,195910.0
2020-04-10,7700.0,7600.0,7800.0,7600.0,181960.0
2020-04-09,7700.0,7700.0,7800.0,7600.0,274450.0
2020-04-08,7700.0,7600.0,7800.0,7600.0,268600.0
2020-04-07,7800.0,7900.0,8000.0,7700.0,151400.0
2020-04-06,7900.0,7900.0,8000.0,7800.0,125300.0
2020-04-03,7900.0,7700.0,7900.0,7700.0,89600.0
2020-04-01,7800.0,7500.0,7800.0,7500.0,123610.0
2020-03-31,7500.0,7500.0,7700.0,7200.0,172290.0
2020-03-30,7500.0,7700.0,7700.0,7200.0,275600.0
2020-03-27,7900.0,7700.0,7900.0,7600.0,199230.0
2020-03-26,7900.0,7800.0,7900.0,7700.0,125700.0
2020-03-25,7900.0,7600.0,7900.0,7600.0,204350.0
2020-03-24,7900.0,6400.0,7900.0,6400.0,201600.0
2020-03-23,7500.0,7800.0,7900.0,7200.0,366790.0
2020-03-20,7900.0,7900.0,8000.0,7700.0,154090.0
2020-03-19,8000.0,8000.0,8200.0,7900.0,188080.0
2020-03-18,8200.0,8200.0,8300.0,8100.0,244620.0
2020-03-17,8100.0,7800.0,8200.0,7700.0,262690.0
2020-03-16,7800.0,7500.0,7800.0,7500.0,135160.0
2020-03-13,7600.0,7400.0,7600.0,6800.0,650540.0
2020-03-12,7600.0,7600.0,7700.0,7400.0,348030.0
2020-03-11,7700.0,7700.0,7800.0,7500.0,200200.0
2020-03-10,7800.0,7500.0,7800.0,7400.0,125110.0
2020-03-09,7700.0,7800.0,8100.0,7400.0,720840.0
2020-03-06,8200.0,8300.0,8400.0,8000.0,311180.0
2020-03-05,8300.0,8500.0,8600.0,8300.0,359740.0
2020-03-04,8600.0,8700.0,8800.0,8400.0,179790.0
2020-03-03,8600.0,8800.0,8800.0,8400.0,334210.0
2020-03-02,8800.0,8800.0,9100.0,8600.0,264990.0
2020-02-28,8800.0,8400.0,8900.0,8400.0,305710.0
2020-02-27,8700.0,8700.0,8700.0,8400.0,414200.0
2020-02-26,8800.0,8700.0,9200.0,8600.0,585830.0
2020-02-25,8700.0,8600.0,8700.0,8500.0,147570.0
2020-02-24,8600.0,8100.0,8800.0,7900.0,818580.0
2020-02-21,8100.0,8000.0,8200.0,7900.0,207200.0
2020-02-20,8100.0,8100.0,8100.0,7900.0,72310.0
2020-02-19,8100.0,8000.0,8100.0,7800.0,165760.0
2020-02-18,8100.0,7800.0,8300.0,7800.0,195850.0
2020-02-17,7900.0,7800.0,7900.0,7700.0,267250.0
2020-02-14,7800.0,7800.0,7900.0,7700.0,392450.0
2020-02-13,7800.0,7900.0,7900.0,7800.0,247420.0
2020-02-12,7900.0,7700.0,7900.0,7700.0,117000.0
2020-02-11,7900.0,7500.0,7900.0,7400.0,397200.0
2020-02-10,7600.0,7600.0,7600.0,7400.0,126100.0
2020-02-07,7700.0,7600.0,7700.0,7500.0,357660.0
2020-02-06,7700.0,7500.0,7700.0,7400.0,336000.0
2020-02-05,7500.0,7600.0,7600.0,7300.0,204000.0
2020-02-04,7600.0,7300.0,7600.0,7200.0,248630.0
2020-02-03,7400.0,7400.0,7400.0,6800.0,404310.0
2020-01-31,7700.0,7700.0,7700.0,7400.0,205940.0
2020-01-30,7900.0,8000.0,8000.0,7500.0,224280.0
2020-01-22,8100.0,8100.0,8100.0,7900.0,176430.0
2020-01-21,8000.0,7700.0,8100.0,7700.0,126400.0
2020-01-20,7800.0,7500.0,7800.0,7400.0,223200.0
2020-01-17,7600.0,7300.0,7600.0,7300.0,165510.0
2020-01-16,7400.0,7500.0,7500.0,7100.0,188450.0
2020-01-15,7600.0,7600.0,7600.0,7400.0,341580.0
2020-01-14,7700.0,7700.0,7800.0,7500.0,349150.0
2020-01-13,7700.0,8000.0,8100.0,7600.0,217110.0
2020-01-10,8000.0,7900.0,8100.0,7900.0,76610.0
2020-01-09,8100.0,8200.0,8200.0,7900.0,255750.0
2020-01-08,8200.0,8500.0,8500.0,7900.0,455250.0
2020-01-07,8300.0,8600.0,8600.0,8200.0,213920.0
2020-01-06,8600.0,8400.0,8800.0,8400.0,1140000.0
2020-01-03,8500.0,8400.0,8500.0,8200.0,865260.0
2020-01-02,8400.0,7900.0,8400.0,7800.0,550010.0
2019-12-31,7800.0,8000.0,8100.0,7700.0,248400.0
2019-12-30,8100.0,8200.0,8200.0,8000.0,254270.0
2019-12-27,8100.0,7900.0,8200.0,7900.0,546970.0
2019-12-26,7800.0,7500.0,7800.0,7500.0,228070.0
2019-12-25,7600.0,7600.0,7700.0,7500.0,131900.0
2019-12-24,7600.0,7500.0,7600.0,7300.0,204120.0
2019-12-23,7500.0,7600.0,7700.0,7400.0,121410.0
2019-12-20,7600.0,7400.0,7600.0,7400.0,96840.0
2019-12-19,7500.0,7300.0,7600.0,7300.0,286110.0
2019-12-18,7600.0,7700.0,7700.0,7300.0,267560.0
2019-12-17,7800.0,7800.0,8000.0,7600.0,253860.0
2019-12-16,7800.0,7800.0,8000.0,7700.0,276410.0
2019-12-13,7800.0,7400.0,8100.0,7400.0,199210.0
2019-12-12,7700.0,7600.0,7700.0,7200.0,328610.0
2019-12-11,7600.0,8000.0,8100.0,7600.0,527220.0
2019-12-10,8000.0,8100.0,8200.0,8000.0,182580.0
2019-12-09,8200.0,8300.0,8300.0,8000.0,243180.0
2019-12-06,8300.0,8100.0,8300.0,8100.0,159610.0
2019-12-05,8200.0,8400.0,8400.0,7900.0,421040.0
2019-12-04,8400.0,8100.0,8500.0,8100.0,351520.0
2019-12-03,8100.0,8300.0,8300.0,8000.0,289770.0
2019-12-02,8300.0,8600.0,8700.0,8200.0,434240.0
2019-11-29,8600.0,8500.0,8900.0,8400.0,577070.0
2019-11-28,8500.0,8000.0,8700.0,8000.0,719820.0
2019-11-27,8000.0,7400.0,8000.0,7400.0,592580.0
2019-11-26,7400.0,7300.0,7400.0,7200.0,540820.0
2019-11-25,7300.0,7300.0,7300.0,7100.0,253740.0
2019-11-22,7300.0,7400.0,7500.0,7200.0,415410.0
2019-11-21,7400.0,7300.0,7400.0,7200.0,195110.0
2019-11-20,7300.0,7100.0,7300.0,7100.0,156360.0
2019-11-19,7200.0,7000.0,7200.0,7000.0,117370.0
2019-11-18,7000.0,7000.0,7100.0,6900.0,288680.0
