Date,Close,Open,High,Low,Volume
2020-05-08,3720.0,3680.0,3750.0,3600.0,72790.0
2020-05-07,3600.0,3600.0,3640.0,3510.0,58200.0
2020-05-06,3630.0,3730.0,3730.0,3600.0,63380.0
2020-05-05,3650.0,3600.0,3700.0,3500.0,20530.0
2020-05-04,3550.0,3490.0,3720.0,3490.0,49460.0
2020-04-29,3490.0,3350.0,3490.0,3350.0,129690.0
2020-04-28,3270.0,3260.0,3500.0,3260.0,217180.0
2020-04-27,3500.0,3760.0,3760.0,3500.0,174810.0
2020-04-24,3760.0,3840.0,3840.0,3500.0,50290.0
2020-04-23,3590.0,3670.0,3670.0,3500.0,184660.0
2020-04-22,3430.0,3450.0,3450.0,3430.0,211780.0
2020-04-21,3680.0,3950.0,3950.0,3680.0,161350.0
2020-04-20,3950.0,3770.0,3950.0,3650.0,307800.0
2020-04-17,3700.0,3700.0,3800.0,3450.0,269020.0
2020-04-16,3700.0,3760.0,3760.0,3470.0,118130.0
2020-04-15,3730.0,4000.0,4000.0,3730.0,68800.0
2020-04-14,3980.0,4020.0,4020.0,3800.0,248000.0
2020-04-13,3760.0,3740.0,3760.0,3690.0,89970.0
2020-04-10,3520.0,3520.0,3520.0,3480.0,326300.0
2020-04-09,3290.0,3200.0,3290.0,3080.0,288220.0
2020-04-08,3080.0,2930.0,3090.0,2780.0,104050.0
2020-04-07,2930.0,2950.0,2950.0,2760.0,48170.0
2020-04-06,2760.0,2740.0,2760.0,2580.0,354770.0
2020-04-03,2580.0,2480.0,2640.0,2480.0,197640.0
2020-04-01,2480.0,2310.0,2570.0,2310.0,70090.0
2020-03-31,2480.0,2700.0,2700.0,2480.0,117710.0
2020-03-30,2660.0,2700.0,2700.0,2660.0,18930.0
2020-03-27,2850.0,2890.0,2890.0,2700.0,34810.0
2020-03-26,2900.0,2720.0,2920.0,2720.0,78860.0
2020-03-25,2920.0,2780.0,2950.0,2780.0,41690.0
2020-03-24,2960.0,2790.0,2990.0,2780.0,88480.0
2020-03-23,2980.0,2990.0,2990.0,2980.0,51830.0
2020-03-20,3200.0,3400.0,3500.0,3170.0,52930.0
2020-03-19,3400.0,3700.0,3700.0,3260.0,59500.0
2020-03-18,3500.0,3700.0,3700.0,3350.0,54120.0
2020-03-17,3500.0,3800.0,3800.0,3380.0,156110.0
2020-03-16,3630.0,4040.0,4040.0,3630.0,29240.0
2020-03-13,3900.0,3900.0,3950.0,3900.0,68570.0
2020-03-12,4190.0,3750.0,4190.0,3750.0,69920.0
2020-03-11,4030.0,4300.0,4450.0,4030.0,102110.0
2020-03-10,4330.0,4130.0,4450.0,4130.0,13410.0
2020-03-09,4400.0,4600.0,4600.0,4350.0,45410.0
2020-03-06,4670.0,4500.0,4670.0,4500.0,28510.0
2020-03-05,4600.0,4650.0,4800.0,4450.0,27030.0
2020-03-04,4600.0,4680.0,4680.0,4600.0,21530.0
2020-03-03,4680.0,4680.0,5000.0,4600.0,185360.0
2020-03-02,4680.0,4700.0,4740.0,4680.0,96680.0
2020-02-28,5030.0,5040.0,5200.0,5030.0,115940.0
2020-02-27,5400.0,5400.0,5600.0,5400.0,11350.0
2020-02-26,5400.0,5700.0,5700.0,5400.0,23040.0
2020-02-25,5600.0,5550.0,5600.0,5550.0,8600.0
2020-02-24,5550.0,5690.0,5690.0,5550.0,7340.0
2020-02-21,5700.0,5600.0,5800.0,5600.0,10030.0
2020-02-20,5790.0,5800.0,5800.0,5700.0,7250.0
2020-02-19,5790.0,5700.0,5790.0,5700.0,3910.0
2020-02-18,5790.0,5800.0,5800.0,5680.0,11840.0
2020-02-17,5700.0,5530.0,5800.0,5530.0,5560.0
2020-02-14,5760.0,5800.0,5800.0,5600.0,5460.0
2020-02-13,5800.0,5960.0,5960.0,5700.0,39750.0
2020-02-12,5780.0,5700.0,5840.0,5700.0,12900.0
2020-02-11,5700.0,5600.0,5700.0,5600.0,8530.0
2020-02-10,5700.0,5800.0,5800.0,5700.0,338730.0
2020-02-07,5800.0,5850.0,5850.0,5800.0,65209.99999999999
2020-02-06,5880.0,5700.0,5900.0,5700.0,97990.0
2020-02-05,5860.0,5700.0,5860.0,5700.0,70390.0
2020-02-04,5900.0,5600.0,5900.0,5500.0,43970.0
2020-02-03,5600.0,5000.0,5650.0,4950.0,48250.0
2020-01-31,5310.0,5800.0,5800.0,5310.0,26580.0
2020-01-30,5700.0,5800.0,5800.0,5700.0,10790.0
2020-01-22,5860.0,5800.0,6000.0,5800.0,37910.0
2020-01-21,5790.0,5700.0,5800.0,5700.0,254620.0
2020-01-20,5700.0,5700.0,5700.0,5700.0,86710.0
2020-01-17,5700.0,5700.0,5700.0,5700.0,26870.0
2020-01-16,5700.0,5700.0,5980.0,5700.0,15160.0
2020-01-15,5700.0,5700.0,5700.0,5700.0,49670.0
2020-01-14,5700.0,5700.0,5750.0,5610.0,46630.0
2020-01-13,5700.0,5700.0,5750.0,5700.0,175260.0
2020-01-10,5720.0,5700.0,5790.0,5700.0,355950.0
2020-01-09,5710.0,5700.0,5710.0,5700.0,51250.0
2020-01-08,5700.0,5700.0,5900.0,5700.0,85300.0
2020-01-07,5700.0,5700.0,5790.0,5700.0,333510.0
2020-01-06,5700.0,5800.0,5800.0,5640.0,286630.0
2020-01-03,5550.0,5640.0,5640.0,5500.0,73040.0
2020-01-02,5640.0,5700.0,5700.0,5560.0,3060.0
2019-12-31,5600.0,5800.0,5800.0,5300.0,28980.0
2019-12-30,5590.0,5700.0,5700.0,5500.0,22100.0
2019-12-27,5600.0,5800.0,5800.0,5600.0,25120.0
