Date,Close,Open,High,Low,Volume
2020-05-07,2300.0,2300.0,2300.0,2300.0,100.0
2020-05-06,2500.0,2500.0,2500.0,2500.0,1000.0
2020-05-05,2700.0,2700.0,2700.0,2700.0,0.0
2020-05-04,2900.0,2900.0,2900.0,2900.0,500.0
2020-04-29,3200.0,3200.0,3200.0,3200.0,500.0
2020-04-28,3500.0,3500.0,3500.0,3500.0,0.0
2020-04-27,3500.0,3500.0,3500.0,3500.0,0.0
2020-04-24,3500.0,3500.0,3500.0,3500.0,0.0
2020-04-23,3500.0,3500.0,3500.0,3500.0,0.0
2020-04-22,3500.0,3500.0,3500.0,3500.0,0.0
2020-04-21,3500.0,3500.0,3500.0,3500.0,41900.0
2020-04-20,3300.0,3300.0,3300.0,3300.0,0.0
2020-04-17,3300.0,3300.0,3300.0,3300.0,0.0
2020-04-16,3300.0,3300.0,3300.0,3300.0,0.0
2020-04-15,3300.0,3300.0,3300.0,3300.0,0.0
2020-04-14,3300.0,3300.0,3300.0,3300.0,100.0
2020-04-13,3000.0,3000.0,3000.0,3000.0,0.0
2020-04-10,3000.0,3000.0,3000.0,3000.0,100.0
2020-04-09,3300.0,3300.0,3300.0,3300.0,100.0
2020-04-08,3600.0,3600.0,3600.0,3600.0,194500.0
2020-04-07,3900.0,3900.0,3900.0,3900.0,0.0
2020-04-03,3900.0,3900.0,3900.0,3900.0,100.0
2020-03-31,3700.0,3700.0,3700.0,3700.0,100.0
2020-03-25,3400.0,3400.0,3400.0,3400.0,600.0
2020-03-24,3100.0,3100.0,3100.0,3100.0,600.0
2020-03-23,2900.0,2900.0,2900.0,2900.0,100.0
2020-03-20,2900.0,2900.0,2900.0,2900.0,100.0
2020-03-19,2700.0,2800.0,2800.0,2400.0,300.0
2020-03-18,2600.0,2600.0,2600.0,2600.0,100.0
2020-03-13,2400.0,2000.0,2400.0,2000.0,300.0
2020-03-12,2200.0,2200.0,2200.0,2200.0,200.0
2020-03-11,2400.0,2400.0,2400.0,2400.0,100.0
2020-03-10,2200.0,2200.0,2200.0,2200.0,500.0
2020-03-09,2400.0,2400.0,2400.0,2400.0,2400.0
2020-03-02,2400.0,2400.0,2400.0,2400.0,3000.0
2020-02-26,2600.0,2600.0,2600.0,2600.0,23000.0
2020-02-25,2800.0,2800.0,2800.0,2800.0,14500.0
2020-02-24,3100.0,3100.0,3100.0,3100.0,2000.0
2020-02-21,3400.0,3400.0,3400.0,3400.0,100.0
2020-02-20,3700.0,3700.0,3700.0,3700.0,1300.0
2020-02-19,4100.0,4100.0,4100.0,4100.0,1000.0
2020-02-14,4500.0,5300.0,5300.0,4500.0,1100.0
2020-01-31,4900.0,4900.0,4900.0,4900.0,100.0
2020-01-02,4500.0,4500.0,4500.0,4500.0,100.0
2019-12-31,4100.0,4100.0,4100.0,4100.0,5300.0
2019-12-27,4500.0,4500.0,4500.0,4500.0,100.0
2019-12-26,4100.0,4100.0,4100.0,4100.0,8800.0
2019-12-19,4500.0,4500.0,4500.0,4500.0,100.0
2019-12-18,4300.0,4300.0,4300.0,4300.0,200.0
2019-12-16,4200.0,4200.0,4200.0,4200.0,100.0
2019-12-10,3900.0,3900.0,3900.0,3900.0,100.0
2019-11-28,3600.0,3600.0,3600.0,3600.0,100.0
2019-11-22,4000.0,4000.0,4000.0,4000.0,100.0
2019-11-21,3700.0,3700.0,3700.0,3700.0,1000.0
2019-11-19,4100.0,4100.0,4100.0,4100.0,2000.0
2019-11-15,4500.0,4500.0,4500.0,4500.0,5300.0
2019-11-05,4900.0,4900.0,4900.0,4900.0,100.0
2019-11-01,5400.0,4900.0,5400.0,4900.0,6800.0
2019-10-31,5000.0,4600.0,5000.0,4600.0,500.0
2019-10-28,4600.0,4600.0,4600.0,4600.0,100.0
2019-10-21,4500.0,4500.0,4500.0,4500.0,200.0
2019-10-08,4900.0,4900.0,4900.0,4900.0,100.0
2019-10-07,4500.0,4500.0,4500.0,4500.0,100.0
2019-10-04,4900.0,4500.0,4900.0,4500.0,1300.0
2019-10-03,4500.0,4500.0,4500.0,4500.0,0.0
2019-10-02,5000.0,5000.0,5000.0,5000.0,100.0
2019-09-26,4700.0,4700.0,4700.0,4700.0,1100.0
2019-09-24,5200.0,5200.0,5200.0,5200.0,100.0
2019-09-03,4800.0,4800.0,4800.0,4800.0,100.0
2019-08-30,4400.0,4400.0,4400.0,4400.0,100.0
2019-08-28,4000.0,4000.0,4000.0,4000.0,100.0
2019-08-23,3700.0,3700.0,3700.0,3700.0,300.0
2019-08-20,4100.0,4100.0,4100.0,4100.0,100.0
2019-08-16,3800.0,3800.0,3800.0,3800.0,100.0
