Date,Close,Open,High,Low,Volume
2020-05-08,4000.0,4190.0,4400.0,4000.0,4230.0
2020-05-07,4200.0,4190.0,4490.0,4190.0,6800.0
2020-05-06,4500.0,4400.0,4500.0,4300.0,720.0
2020-05-05,4400.0,4300.0,4400.0,4000.0,3510.0
2020-05-04,4300.0,4100.0,4300.0,4000.0,5700.0
2020-04-29,4100.0,4300.0,4300.0,4100.0,2200.0
2020-04-28,4300.0,4200.0,4300.0,4200.0,5220.0
2020-04-27,4200.0,4400.0,4400.0,4200.0,880.0
2020-04-24,4200.0,3920.0,4200.0,3920.0,4210.0
2020-04-23,4200.0,4400.0,4400.0,4200.0,2990.0
2020-04-22,4250.0,4600.0,4600.0,4250.0,720.0
2020-04-21,4400.0,4200.0,4500.0,4200.0,15020.0
2020-04-20,4490.0,4100.0,4490.0,4100.0,460880.0
2020-04-17,4200.0,4000.0,4200.0,4000.0,5910.0
2020-04-16,4050.0,3680.0,4100.0,3660.0,52390.0
2020-04-15,3900.0,3900.0,4100.0,3870.0,10390.0
2020-04-14,4100.0,3750.0,4100.0,3730.0,2030.0
2020-04-13,4000.0,3940.0,4200.0,3670.0,7040.0
2020-04-10,3940.0,3840.0,3940.0,3840.0,3440.0
2020-04-09,3940.0,3650.0,3940.0,3500.0,2390.0
2020-04-08,3700.0,3420.0,3700.0,3400.0,6780.0
2020-04-07,3650.0,3680.0,3690.0,3650.0,520.0
2020-04-06,3650.0,3700.0,3700.0,3650.0,4730.0
2020-04-03,3640.0,3640.0,3640.0,3630.0,1170.0
2020-04-01,3410.0,3630.0,3630.0,3410.0,3870.0
2020-03-31,3400.0,3400.0,3870.0,3400.0,3790.0
2020-03-30,3630.0,3630.0,3830.0,3630.0,10770.0
2020-03-27,3900.0,3700.0,3900.0,3700.0,850.0
2020-03-26,3970.0,3990.0,3990.0,3730.0,340.0
2020-03-25,4000.0,4180.0,4180.0,3640.0,436770.0
2020-03-24,3910.0,3910.0,3910.0,3910.0,290.0
2020-03-23,4200.0,4000.0,4200.0,3910.0,5550.0
2020-03-20,4200.0,4200.0,4200.0,4200.0,10.0
2020-03-19,4200.0,4060.0,4200.0,4060.0,80.0
2020-03-18,4360.0,4360.0,4360.0,4000.0,70.0
2020-03-17,4080.0,4290.0,4290.0,4070.0,6910.0
2020-03-16,4290.0,4340.0,4340.0,4200.0,60.0
2020-03-13,4060.0,3790.0,4060.0,3780.0,3620.0
2020-03-12,4060.0,4070.0,4320.0,4060.0,11120.0
2020-03-11,4360.0,4390.0,4390.0,4090.0,340.0
2020-03-10,4390.0,4130.0,4390.0,4130.0,260.0
2020-03-09,4440.0,4900.0,4900.0,4440.0,750.0
2020-03-06,4770.0,4460.0,4770.0,4460.0,210.0
2020-03-05,4780.0,4840.0,4890.0,4650.0,3000.0
2020-03-04,4990.0,4990.0,4990.0,4990.0,10.0
2020-03-03,4950.0,4560.0,4950.0,4550.0,6320.0
2020-03-02,4640.0,5300.0,5320.0,4640.0,6830.0
2020-02-28,4980.0,4700.0,4980.0,4630.0,5830.0
2020-02-27,4970.0,4970.0,4970.0,4970.0,10.0
2020-02-26,4900.0,4970.0,4970.0,4610.0,10810.0
2020-02-25,4900.0,4750.0,4990.0,4700.0,6930.0
2020-02-24,4790.0,4800.0,4800.0,4790.0,810.0
2020-02-21,4800.0,4810.0,4860.0,4800.0,7710.0
2020-02-20,4840.0,4850.0,5050.0,4840.0,600.0
2020-02-19,5190.0,5190.0,5190.0,5190.0,10.0
2020-02-18,4940.0,4800.0,4940.0,4600.0,7870.0
2020-02-17,4940.0,5000.0,5000.0,4800.0,13490.0
2020-02-14,5000.0,5000.0,5000.0,4650.0,4340.0
2020-02-13,5000.0,5000.0,5000.0,5000.0,50.0
2020-02-12,5020.0,4710.0,5020.0,4710.0,3310.0
2020-02-11,5020.0,5040.0,5040.0,5020.0,2600.0
2020-02-06,5390.0,5390.0,5390.0,5390.0,10.0
2020-02-05,5100.0,5100.0,5100.0,5100.0,10.0
2020-02-04,4790.0,4800.0,4800.0,4650.0,2700.0
2020-02-03,4990.0,5410.0,5410.0,4710.0,4410.0
2020-01-31,5060.0,5270.0,5270.0,5060.0,230.0
2020-01-30,5080.0,4800.0,5080.0,4790.0,30510.0
2020-01-22,5000.0,5000.0,5000.0,5000.0,10.0
2020-01-21,4900.0,5100.0,5100.0,4800.0,420.0
2020-01-20,4800.0,4700.0,4800.0,4700.0,6100.0
2020-01-17,4970.0,4670.0,4970.0,4670.0,30.0
2020-01-16,4970.0,4980.0,4980.0,4970.0,3670.0
2020-01-15,4980.0,4760.0,4980.0,4760.0,5140.0
2020-01-14,4990.0,4750.0,4990.0,4750.0,2020.0
2020-01-13,4750.0,5300.0,5300.0,4670.0,100070.0
2020-01-10,4970.0,4730.0,4970.0,4730.0,240.0
2020-01-09,4980.0,4800.0,4980.0,4800.0,510.0
2020-01-08,4980.0,4990.0,4990.0,4860.0,690.0
