Date,Close,Open,High,Low,Volume
2020-05-06,8540.0,8560.0,8560.0,8420.0,772940.0
2020-05-05,8450.0,8580.0,8600.0,8450.0,566670.0
2020-05-04,8580.0,8250.0,8590.0,8250.0,121930.0
2020-04-29,8570.0,8600.0,8600.0,8500.0,650410.0
2020-04-28,8600.0,8600.0,8600.0,8400.0,338010.0
2020-04-27,8590.0,8940.0,8940.0,8530.0,325690.0
2020-04-24,8590.0,8600.0,8600.0,8420.0,302930.0
2020-04-23,8590.0,8550.0,8590.0,8500.0,89730.0
2020-04-22,8400.0,8600.0,8600.0,8000.0,174640.0
2020-04-21,8600.0,8550.0,8600.0,8500.0,289330.0
2020-04-20,8500.0,8700.0,8700.0,8400.0,107320.0
2020-04-17,8400.0,8700.0,8700.0,8400.0,162400.0
2020-04-16,8700.0,8750.0,8750.0,8600.0,314380.0
2020-04-15,8700.0,8740.0,8750.0,8700.0,274760.0
2020-04-14,8740.0,8790.0,8790.0,8650.0,224440.0
2020-04-13,8790.0,8860.0,8860.0,8500.0,104570.0
2020-04-10,8760.0,8800.0,8800.0,8600.0,98290.0
2020-04-09,8800.0,8880.0,8880.0,8550.0,84910.0
2020-04-08,8790.0,8800.0,8900.0,8400.0,517570.00000000006
2020-04-07,9000.0,9100.0,9100.0,8800.0,241300.0
2020-04-06,9000.0,8700.0,9000.0,8550.0,571240.0
2020-04-03,8700.0,8150.0,8700.0,7580.0,672770.0
2020-04-01,8150.0,8300.0,8300.0,8100.0,65120.00000000001
2020-03-31,8010.0,8100.0,8100.0,7850.0,558640.0
2020-03-30,8010.0,8100.0,8100.0,7550.0,126250.0
2020-03-27,8090.0,8270.0,8270.0,7900.0,331290.0
2020-03-26,8270.0,8270.0,8270.0,7910.0,395520.0
2020-03-25,8270.0,8450.0,8450.0,8000.0,1110000.0
2020-03-24,8350.0,8070.0,8350.0,7950.0,401600.0
2020-03-23,8000.0,8120.0,8300.0,7800.0,695960.0
2020-03-20,8300.0,8380.0,8380.0,8000.0,175360.0
2020-03-19,8380.0,8380.0,8380.0,7920.0,142560.0
2020-03-18,8380.0,8390.0,8390.0,7620.0,1130000.0
2020-03-17,7970.0,8000.0,8000.0,7510.0,241940.0
2020-03-16,7990.0,8000.0,8150.0,7600.0,225110.0
2020-03-13,8000.0,8310.0,8310.0,7790.0,147400.0
2020-03-12,8310.0,8500.0,8750.0,8140.0,334510.0
2020-03-11,8750.0,9050.0,9050.0,8560.0,429470.0
2020-03-10,8900.0,8600.0,8900.0,8480.0,757450.0
2020-03-09,8710.0,8680.0,8780.0,8480.0,528300.0
2020-03-06,8800.0,8850.0,8950.0,8760.0,326650.0
2020-03-05,8980.0,9000.0,9000.0,8760.0,330020.0
2020-03-04,8960.0,9000.0,9000.0,8830.0,379420.0
2020-03-03,9000.0,8870.0,9000.0,8760.0,1550000.0
2020-03-02,8870.0,8900.0,8900.0,8650.0,792030.0
2020-02-28,8840.0,9000.0,9000.0,8700.0,1220000.0
2020-02-27,9000.0,8800.0,9000.0,8720.0,319100.0
2020-02-26,8730.0,8800.0,8820.0,8670.0,351960.0
2020-02-25,8800.0,8850.0,8850.0,8710.0,569340.0
2020-02-24,8790.0,8860.0,8900.0,8700.0,339530.0
2020-02-21,8860.0,8800.0,8860.0,8700.0,544180.0
2020-02-20,8900.0,8750.0,8900.0,8700.0,343120.0
2020-02-19,8800.0,8730.0,8800.0,8650.0,767140.0
2020-02-18,8700.0,8650.0,8700.0,8550.0,554480.0
2020-02-17,8650.0,8720.0,8720.0,8500.0,217700.0
2020-02-14,8700.0,8610.0,8780.0,8600.0,414890.0
2020-02-13,8800.0,8770.0,8800.0,8600.0,842200.0
2020-02-12,8600.0,8750.0,8850.0,8600.0,790720.0
2020-02-11,8800.0,8880.0,8880.0,8600.0,536330.0
2020-02-10,8880.0,8900.0,8900.0,8600.0,858140.0
2020-02-07,8900.0,8880.0,8900.0,8490.0,442760.0
2020-02-06,8880.0,8880.0,8890.0,8620.0,570610.0
2020-02-05,8880.0,9000.0,9000.0,8600.0,323630.0
2020-02-04,9000.0,8600.0,9000.0,8490.0,480820.0
2020-02-03,8600.0,8700.0,8950.0,8600.0,284670.0
2020-01-31,8800.0,9000.0,9020.0,8800.0,305140.0
2020-01-30,9000.0,9050.0,9200.0,8800.0,338210.0
2020-01-22,9050.0,9100.0,9100.0,8760.0,439560.0
2020-01-21,8980.0,8930.0,8990.0,8800.0,329220.0
2020-01-20,8900.0,8930.0,8930.0,8720.0,420130.0
2020-01-17,8900.0,8900.0,8900.0,8760.0,179950.0
2020-01-16,8900.0,8990.0,8990.0,8800.0,672480.0
2020-01-15,8990.0,9010.0,9010.0,8890.0,263100.0
2020-01-14,9000.0,9010.0,9010.0,8910.0,456270.0
2020-01-13,8990.0,9200.0,9200.0,8900.0,407390.0
2020-01-10,8940.0,9000.0,9000.0,8910.0,300370.0
2020-01-09,9000.0,9150.0,9150.0,8950.0,233000.0
2020-01-08,9100.0,9100.0,9150.0,8960.0,283280.0
2020-01-07,9100.0,8850.0,9100.0,8800.0,351590.0
2020-01-06,8850.0,8880.0,8880.0,8780.0,308930.0
2020-01-03,8850.0,8850.0,8900.0,8700.0,351370.0
2020-01-02,8750.0,8850.0,8850.0,8750.0,343760.0
2019-12-31,8800.0,8850.0,8850.0,8660.0,284070.0
2019-12-30,8600.0,9000.0,9000.0,8600.0,250030.0
2019-12-27,9000.0,9000.0,9000.0,8800.0,575920.0
2019-12-26,9070.0,8860.0,9070.0,8680.0,352660.0
2019-12-25,8860.0,9070.0,9070.0,8850.0,347510.0
2019-12-24,8990.0,9100.0,9100.0,8850.0,342150.0
2019-12-23,8900.0,9110.0,9110.0,8800.0,304930.0
2019-12-20,9000.0,9000.0,9000.0,8800.0,575410.0
2019-12-19,9000.0,9100.0,9100.0,9000.0,298780.0
2019-12-18,9050.0,9110.0,9110.0,8950.0,434180.0
2019-12-17,9080.0,9000.0,9100.0,8920.0,300610.0
2019-12-16,9080.0,9100.0,9150.0,9000.0,284370.0
2019-12-13,9080.0,9180.0,9180.0,8910.0,319450.0
2019-12-12,8910.0,9200.0,9200.0,8910.0,353660.0
2019-12-11,9100.0,9070.0,9200.0,9000.0,260980.00000000003
2019-12-10,9070.0,9250.0,9250.0,9000.0,291410.0
2019-12-09,9000.0,9400.0,9400.0,9000.0,226060.0
2019-12-06,9080.0,8990.0,9490.0,8990.0,393900.0
2019-12-05,8990.0,8930.0,9550.0,8910.0,454880.0
2019-12-04,8930.0,8930.0,9000.0,8850.0,387940.0
2019-12-03,8930.0,8940.0,8940.0,8890.0,231360.0
2019-12-02,8890.0,8970.0,8970.0,8790.0,240000.0
2019-11-29,8950.0,8950.0,8950.0,8810.0,267080.0
2019-11-28,8950.0,8950.0,8960.0,8750.0,362930.0
2019-11-27,8950.0,8990.0,8990.0,8400.0,341100.0
2019-11-26,8900.0,9090.0,9090.0,8900.0,254520.0
2019-11-25,9000.0,9000.0,9000.0,8900.0,353680.0
2019-11-22,9000.0,9170.0,9170.0,8950.0,316920.0
2019-11-21,9000.0,9000.0,9000.0,8900.0,153340.0
2019-11-20,9000.0,9000.0,9000.0,8700.0,225960.0
2019-11-19,9000.0,9000.0,9000.0,8750.0,582830.0
2019-11-18,9050.0,8800.0,9100.0,8800.0,99920.0
2019-11-15,8700.0,9100.0,9100.0,8700.0,559610.0
2019-11-14,9050.0,9160.0,9160.0,8950.0,1300000.0
2019-11-13,8950.0,9000.0,9000.0,8900.0,650610.0
2019-11-12,9000.0,9250.0,9250.0,9000.0,450290.0
2019-11-11,9000.0,9000.0,9000.0,8900.0,451310.0
2019-11-08,9000.0,8800.0,9050.0,8800.0,146140.0
2019-11-07,9050.0,9100.0,9100.0,8900.0,139380.0
2019-11-06,9100.0,9000.0,9100.0,8950.0,165300.0
2019-11-05,9000.0,9200.0,9200.0,8800.0,226320.0
2019-11-04,9180.0,9250.0,9250.0,8950.0,228490.0
2019-11-01,9200.0,9050.0,9250.0,9050.0,193930.0
2019-10-31,9200.0,8950.0,9250.0,8900.0,225820.0
2019-10-30,9080.0,9100.0,9100.0,9000.0,224210.0
2019-10-29,9070.0,9100.0,9100.0,9000.0,160310.0
2019-10-28,9100.0,9100.0,9150.0,9000.0,161330.0
2019-10-25,9100.0,9280.0,9280.0,9030.0,227440.0
2019-10-24,9030.0,9190.0,9190.0,9000.0,216870.0
2019-10-23,8720.0,9050.0,9050.0,8720.0,398500.0
