Date,Close,Open,High,Low,Volume
2020-05-08,8700.0,8100.0,8700.0,8100.0,620.0
2020-05-07,8000.0,8000.0,8000.0,8000.0,120.0
2020-05-06,9000.0,9000.0,9000.0,9000.0,5150.0
2020-05-05,9000.0,8800.0,9000.0,8800.0,400.0
2020-05-04,9000.0,9000.0,9000.0,8900.0,3210.0
2020-04-29,9000.0,8100.0,9000.0,8100.0,3030.0
2020-04-28,9000.0,8100.0,9000.0,8100.0,3220.0
2020-04-27,9000.0,9000.0,9000.0,9000.0,5050.0
2020-04-24,9000.0,8800.0,9000.0,8800.0,1000.0
2020-04-23,9000.0,9000.0,9000.0,8800.0,11100.0
2020-04-22,8500.0,8500.0,8500.0,8500.0,0.0
2020-04-21,8500.0,8500.0,8500.0,8500.0,900.0
2020-04-20,8600.0,8600.0,8600.0,8600.0,1000.0
2020-04-17,8800.0,8800.0,8800.0,8800.0,2000.0
2020-04-16,8800.0,9000.0,9000.0,8800.0,3000.0
2020-04-15,9000.0,9000.0,9000.0,9000.0,1500.0
2020-04-14,9000.0,10100.0,10100.0,9000.0,700.0
2020-04-13,9200.0,9200.0,9200.0,9000.0,9500.0
2020-04-10,9200.0,9400.0,9400.0,9000.0,4130.0
2020-04-09,9200.0,9000.0,9200.0,9000.0,13500.0
2020-04-08,9200.0,8300.0,9200.0,8300.0,5300.0
2020-04-07,9200.0,9200.0,9200.0,9200.0,7000.0
2020-04-06,9200.0,9200.0,9200.0,9200.0,24500.0
2020-04-03,10200.0,10200.0,10200.0,10200.0,1100.0
2020-04-01,11300.0,11300.0,11300.0,11300.0,7000.0
2020-03-27,12500.0,12300.0,12500.0,12300.0,2000.0
2020-02-12,13600.0,13600.0,13600.0,13600.0,700.0
2020-01-30,12500.0,12500.0,12500.0,12500.0,800.0
2020-01-22,11700.0,10800.0,11700.0,10800.0,300.0
2020-01-21,11900.0,11900.0,11900.0,11900.0,200.0
2020-01-20,11400.0,11400.0,11400.0,11400.0,1000.0
2020-01-17,10400.0,10400.0,10400.0,10400.0,300.0
2020-01-16,9800.0,10000.0,10000.0,9800.0,400.0
2020-01-15,9100.0,9100.0,9100.0,9100.0,400.0
2020-01-07,9200.0,9200.0,9200.0,9200.0,200.0
2019-12-31,9000.0,9000.0,9000.0,9000.0,300.0
2019-12-30,8200.0,8200.0,8200.0,8200.0,200.0
2019-12-26,9100.0,9100.0,9100.0,9100.0,100.0
2019-12-25,8700.0,8700.0,8700.0,8700.0,1060.0
2019-12-18,9200.0,9200.0,9200.0,9200.0,100.0
2019-12-16,8700.0,8700.0,8800.0,8700.0,3000.0
2019-11-29,9600.0,9600.0,9600.0,9600.0,300.0
2019-11-27,8800.0,8800.0,8800.0,8700.0,5100.0
2019-11-26,8900.0,8800.0,8900.0,8800.0,10000.0
2019-11-22,8900.0,10700.0,10700.0,8900.0,2700.0
2019-11-21,9800.0,9800.0,9800.0,9800.0,100.0
2019-11-20,9000.0,9500.0,9500.0,9000.0,800.0
2019-11-14,9500.0,9500.0,9500.0,9500.0,6700.0
2019-11-13,10000.0,9400.0,10000.0,9400.0,12640.0
2019-11-12,9500.0,8600.0,9500.0,8600.0,11200.0
2019-11-11,9500.0,9500.0,9500.0,9500.0,100.0
2019-11-06,9000.0,9600.0,9600.0,8200.0,2540.0
2019-11-05,9000.0,9000.0,9000.0,9000.0,100.0
2019-11-01,9900.0,9900.0,9900.0,9900.0,400.0
2019-10-30,9200.0,9400.0,9400.0,8200.0,1750.0
2019-10-29,9000.0,9900.0,9900.0,9000.0,2220.0
2019-10-28,9900.0,9900.0,9900.0,9900.0,300.0
2019-10-25,9000.0,9000.0,9000.0,9000.0,100.0
2019-10-23,8400.0,8400.0,8500.0,8400.0,1810.0
2019-10-22,9000.0,9000.0,9000.0,9000.0,7900.0
2019-10-18,10000.0,10000.0,10000.0,10000.0,100.0
2019-10-04,9400.0,9400.0,9400.0,9400.0,100.0
2019-10-03,9300.0,9300.0,9300.0,9300.0,100.0
2019-10-02,9200.0,9200.0,9200.0,9200.0,110.0
2019-09-30,9100.0,9100.0,9100.0,9100.0,100.0
2019-09-26,8800.0,8800.0,9100.0,8800.0,2400.0
2019-09-25,9700.0,9100.0,9700.0,9100.0,600.0
2019-09-24,9200.0,8500.0,9200.0,8500.0,2600.0
2019-09-23,8800.0,9000.0,9000.0,8800.0,8970.0
