Date,Close,Open,High,Low,Volume
2020-05-08,6200.0,6200.0,6200.0,6200.0,0.0
2020-05-07,6200.0,6200.0,6200.0,6200.0,0.0
2020-05-06,6200.0,6200.0,6200.0,6200.0,0.0
2020-05-05,6200.0,6200.0,6200.0,6200.0,0.0
2020-05-04,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-29,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-28,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-27,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-24,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-23,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-22,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-21,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-20,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-17,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-16,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-15,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-14,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-13,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-10,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-09,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-08,6200.0,6200.0,6200.0,6200.0,0.0
2020-04-07,6200.0,6200.0,6200.0,6200.0,0.0
2019-06-21,6200.0,6200.0,6200.0,6200.0,100.0
2019-06-07,5400.0,5400.0,5400.0,5400.0,100.0
2019-05-31,4700.0,4700.0,4700.0,4700.0,100.0
2019-05-24,4100.0,4100.0,4100.0,4100.0,200.0
2019-05-17,3600.0,3600.0,3600.0,3600.0,100.0
2019-04-05,3200.0,3200.0,3200.0,3200.0,100.0
2019-03-29,2800.0,2800.0,2800.0,2800.0,110.0
2018-12-07,2500.0,2500.0,2500.0,2500.0,600.0
2018-10-19,2800.0,2800.0,2800.0,2800.0,100.0
2018-09-21,2200.0,2800.0,2800.0,2200.0,200.0
2018-06-29,2300.0,2600.0,2600.0,2300.0,200.0
2018-06-22,2300.0,2300.0,2300.0,2300.0,100.0
2018-06-15,2000.0,2000.0,2000.0,2000.0,100.0
2018-06-08,1800.0,1800.0,1800.0,1800.0,100.0
2018-06-01,1600.0,1600.0,1600.0,1600.0,100.0
2018-05-25,1400.0,1400.0,1400.0,1400.0,100.0
2018-05-11,1300.0,1300.0,1300.0,1300.0,100.0
2018-05-04,1200.0,1200.0,1200.0,1200.0,100.0
2018-03-02,1100.0,1100.0,1100.0,1100.0,100.0
2018-02-23,1000.0,1000.0,1000.0,1000.0,100.0
2018-02-09,900.0,900.0,900.0,900.0,100.0
2018-02-02,800.0,800.0,800.0,800.0,100.0
2018-01-26,700.0,700.0,700.0,700.0,1000.0
2018-01-19,600.0,600.0,600.0,600.0,100.0
