Date,Close,Open,High,Low,Volume
2020-05-08,21800.0,21800.0,21800.0,21800.0,10.0
2020-05-07,22600.0,22600.0,22600.0,22600.0,0.0
2020-05-06,22600.0,24550.0,24550.0,22600.0,100.0
2020-05-05,23850.0,23800.0,23850.0,23800.0,160.0
2020-05-04,22300.0,23200.0,23800.0,22300.0,200.0
2020-04-29,23200.0,23400.0,23400.0,23200.0,210.0
2020-04-28,23400.0,23400.0,23400.0,23400.0,10.0
2020-04-27,21900.0,21900.0,21900.0,21900.0,100.0
2020-04-24,23000.0,23000.0,23950.0,23000.0,1150.0
2020-04-23,23000.0,23000.0,23100.0,23000.0,1170.0
2020-04-22,23400.0,23400.0,23400.0,23400.0,0.0
2020-04-21,23400.0,23400.0,23400.0,23400.0,0.0
2020-04-20,23400.0,21800.0,23400.0,21800.0,170.0
2020-04-17,23400.0,21850.0,23400.0,21750.0,960.0
2020-04-16,21900.0,21850.0,21900.0,21850.0,20.0
2020-04-15,21900.0,21900.0,21900.0,21900.0,70.0
2020-04-14,21900.0,21900.0,21900.0,21900.0,0.0
2020-04-13,21900.0,21900.0,21900.0,21900.0,0.0
2020-04-10,21900.0,21600.0,21900.0,20200.0,70.0
2020-04-09,21600.0,21600.0,21600.0,21600.0,20.0
2020-04-08,21300.0,21300.0,21500.0,21300.0,130.0
2020-04-07,21250.0,22500.0,22500.0,21200.0,660.0
2020-04-06,22450.0,22450.0,22450.0,22450.0,20.0
2020-04-03,22100.0,22100.0,22100.0,22100.0,50.0
2020-03-31,21000.0,18600.0,21300.0,18600.0,70.0
2020-03-30,20000.0,23000.0,23000.0,20000.0,3520.0
2020-03-27,21500.0,20850.0,21500.0,20850.0,910.0
2020-03-26,22400.0,22950.0,22950.0,21000.0,300.0
2020-03-25,21450.0,21900.0,21900.0,19800.0,540.0
2020-03-24,20950.0,20950.0,20950.0,20950.0,1500.0
2020-03-23,19950.0,19950.0,19950.0,19950.0,60.0
2020-03-20,21400.0,23000.0,23000.0,21400.0,1140.0
2020-03-19,23000.0,23000.0,23000.0,23000.0,10.0
2020-03-18,22800.0,22800.0,22800.0,22800.0,10.0
2020-03-17,21650.0,19500.0,21650.0,18900.0,6290.0
2020-03-16,20300.0,21000.0,21000.0,20300.0,3250.0
2020-03-13,21800.0,21800.0,21800.0,21800.0,2250.0
2020-03-11,23400.0,23400.0,23400.0,23400.0,50.0
2020-03-09,22350.0,22350.0,22350.0,22350.0,240.0
2020-02-27,24000.0,24000.0,24000.0,24000.0,990.0
2020-02-26,24000.0,24050.0,24050.0,24000.0,110.0
2020-02-18,24000.0,24000.0,24000.0,24000.0,10.0
2020-02-17,24000.0,24000.0,24000.0,24000.0,20.0
2020-02-12,25750.0,25750.0,25750.0,25750.0,20.0
2020-02-11,27650.0,27650.0,27650.0,27650.0,10.0
2020-02-05,25950.0,25950.0,25950.0,25950.0,10.0
2020-02-04,24600.0,24600.0,24600.0,24600.0,10.0
2020-02-03,23000.0,23050.0,23050.0,23000.0,110.0
2020-01-30,24200.0,24200.0,24200.0,24200.0,50.0
2020-01-20,24200.0,24000.0,24200.0,24000.0,200.0
2020-01-17,24050.0,24050.0,24050.0,24050.0,10.0
2020-01-13,25850.0,25850.0,25850.0,25850.0,10.0
2020-01-09,24400.0,25500.0,25500.0,23900.0,40.0
2020-01-06,23900.0,23900.0,23900.0,23900.0,30.0
2020-01-02,22550.0,22550.0,22550.0,22550.0,1000.0
2019-12-31,24200.0,24200.0,24200.0,24200.0,500.0
2019-12-30,26000.0,26000.0,26000.0,26000.0,50.0
2019-12-20,25000.0,25500.0,25500.0,25000.0,290.0
2019-12-18,25000.0,25000.0,25000.0,25000.0,20.0
2019-12-12,25000.0,25000.0,25000.0,25000.0,100.0
2019-12-06,24000.0,24000.0,24000.0,24000.0,10.0
2019-12-03,24000.0,24000.0,24000.0,24000.0,110.0
2019-12-02,23500.0,23500.0,23500.0,23500.0,50.0
2019-11-28,23500.0,23700.0,23700.0,23500.0,70.0
2019-11-26,23800.0,23800.0,23800.0,23800.0,430.0
2019-11-08,23800.0,23800.0,23800.0,23800.0,1000.0
2019-10-31,23800.0,23050.0,23800.0,23000.0,710.0
2019-10-29,23800.0,23800.0,23800.0,23800.0,100.0
2019-10-24,23700.0,23700.0,24000.0,23700.0,250.0
2019-10-21,22500.0,22500.0,22500.0,22500.0,100.0
2019-10-18,21050.0,21000.0,21050.0,21000.0,30.0
2019-10-17,19700.0,19700.0,19700.0,19700.0,3720.0
2019-10-16,19700.0,19700.0,19700.0,19700.0,130.0
2019-10-14,19650.0,19650.0,19650.0,19650.0,200.0
2019-10-10,21050.0,21050.0,21050.0,21050.0,30.0
2019-10-09,22300.0,21100.0,22300.0,21100.0,20.0
2019-10-08,22200.0,22200.0,22200.0,22200.0,500.0
2019-09-17,23800.0,23800.0,23800.0,23800.0,10.0
2019-09-16,23800.0,23800.0,23800.0,23800.0,10.0
2019-09-12,22350.0,22350.0,22350.0,22350.0,30.0
2019-09-09,24000.0,23000.0,24000.0,23000.0,130.0
2019-09-04,22500.0,22500.0,22500.0,22500.0,10.0
2019-09-03,21050.0,22000.0,22000.0,21050.0,80.0
2019-08-28,22000.0,22050.0,22050.0,22000.0,20.0
2019-08-26,23300.0,23250.0,23300.0,23250.0,120.0
2019-08-22,23300.0,23300.0,23300.0,23300.0,10.0
2019-08-16,22000.0,22000.0,22000.0,22000.0,100.0
2019-08-15,23400.0,22000.0,23400.0,22000.0,140.0
2019-08-14,22000.0,22000.0,22000.0,22000.0,100.0
2019-08-06,22000.0,22000.0,22000.0,22000.0,50.0
2019-08-05,22000.0,23000.0,23000.0,22000.0,110.0
2019-08-02,21500.0,21500.0,21500.0,21500.0,20.0
2019-07-31,20900.0,20900.0,20900.0,20900.0,10.0
2019-07-30,22000.0,21000.0,22000.0,21000.0,50.0
2019-07-29,22000.0,21850.0,22000.0,21800.0,280.0
2019-07-26,21800.0,23450.0,23450.0,21800.0,610.0
2019-07-25,21950.0,21950.0,21950.0,21950.0,10.0
