Date,Close,Open,High,Low,Volume
2020-05-06,8200.0,8200.0,8200.0,8200.0,0.0
2020-05-05,8200.0,8200.0,8200.0,8200.0,0.0
2020-05-04,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-29,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-28,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-27,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-24,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-23,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-22,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-21,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-20,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-17,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-16,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-15,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-14,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-13,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-10,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-09,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-08,8200.0,8200.0,8200.0,8200.0,0.0
2020-04-07,8200.0,8200.0,8200.0,8200.0,0.0
2020-03-10,8200.0,8200.0,8200.0,8200.0,0.0
2020-03-06,8200.0,8200.0,8200.0,8200.0,100.0
2020-01-15,5900.0,5900.0,5900.0,5900.0,100.0
2020-01-03,5200.0,5200.0,5200.0,5200.0,5000.0
2019-12-19,5800.0,5800.0,5800.0,5800.0,100.0
2019-12-17,5100.0,5900.0,5900.0,5100.0,5100.0
2019-12-12,5200.0,5200.0,5200.0,5200.0,1000.0
2019-12-11,5800.0,5800.0,5800.0,5800.0,100.0
2019-12-06,5100.0,5000.0,5100.0,5000.0,2000.0
2019-12-05,5100.0,5100.0,5100.0,5100.0,17000.0
2019-12-02,5800.0,5800.0,5800.0,5800.0,100.0
2019-11-29,5100.0,5100.0,5100.0,5100.0,100.0
2019-11-28,4600.0,4100.0,4600.0,4100.0,2500.0
2019-11-27,4600.0,4600.0,4600.0,4600.0,10000.0
2019-11-26,5200.0,5200.0,5200.0,5200.0,500.0
2019-11-19,5200.0,5200.0,5200.0,5200.0,100.0
2019-11-18,4600.0,4600.0,4600.0,4600.0,110.0
2019-11-15,4000.0,4000.0,4000.0,4000.0,2600.0
2019-11-14,4000.0,4000.0,4000.0,4000.0,3200.0
2019-11-13,4000.0,4000.0,4000.0,4000.0,3200.0
2019-11-12,4200.0,4200.0,4200.0,4200.0,12500.0
2019-11-11,4100.0,4100.0,4100.0,4000.0,12500.0
2019-11-08,4100.0,4600.0,4600.0,4000.0,9500.0
2019-11-07,4000.0,4000.0,4000.0,3900.0,6500.0
2019-11-01,3500.0,4000.0,4000.0,3500.0,5200.0
2019-10-31,3500.0,3500.0,3500.0,3500.0,6000.0
2019-10-30,3500.0,3500.0,3500.0,3500.0,6000.0
2019-10-29,3500.0,3700.0,4000.0,3300.0,8700.0
2019-10-28,3700.0,3800.0,3800.0,3600.0,2400.0
2019-10-24,4100.0,4100.0,4100.0,4100.0,6000.0
2019-10-22,4100.0,4100.0,4100.0,4100.0,2000.0
2019-10-15,4100.0,4100.0,4100.0,4100.0,780.0
2019-10-10,4400.0,4400.0,4400.0,4400.0,900.0
2019-10-04,5100.0,5100.0,5100.0,5100.0,100.0
2019-10-03,4500.0,4400.0,4500.0,4400.0,2700.0
2019-10-01,4500.0,4500.0,4500.0,4500.0,100.0
2019-09-30,4100.0,4100.0,4100.0,4100.0,1420.0
2019-09-26,4700.0,4700.0,4700.0,4700.0,100.0
2019-09-25,4200.0,4200.0,4200.0,4200.0,400.0
2019-09-24,4900.0,4900.0,4900.0,4900.0,160.0
2019-09-23,4300.0,4400.0,4400.0,4300.0,1300.0
2019-09-17,5000.0,4909.0,5000.0,4909.0,1400.0
2019-09-13,5400.0,5400.0,5400.0,5400.0,260.0
2019-08-30,5400.0,5400.0,5400.0,5400.0,100.0
2019-08-27,4700.0,4700.0,4700.0,4700.0,300.0
2019-08-26,5400.0,5400.0,5400.0,5400.0,100.0
2019-08-23,5200.0,5200.0,5200.0,5200.0,100.0
2019-08-21,4500.0,4700.0,4700.0,4300.0,4600.0
2019-08-16,4100.0,4400.0,4400.0,4100.0,2380.0
2019-08-08,4700.0,4700.0,4700.0,4700.0,1000.0
2019-08-05,4700.0,4700.0,4700.0,4700.0,150.0
2019-08-02,4700.0,4700.0,4700.0,4700.0,5700.0
2019-08-01,4300.0,4300.0,4300.0,4300.0,100.0
2019-07-31,3800.0,3800.0,3800.0,3800.0,100.0
2019-07-30,4400.0,4400.0,4400.0,4400.0,190.0
2019-07-29,4600.0,4900.0,4900.0,4600.0,300.0
2019-07-26,4600.0,4600.0,4600.0,4600.0,1300.0
2019-07-25,4700.0,4500.0,4700.0,4500.0,6000.0
2019-07-24,4700.0,4400.0,4700.0,4300.0,1900.0
2019-07-23,4600.0,4700.0,4700.0,4600.0,800.0
2019-07-22,5400.0,5400.0,5400.0,5400.0,100.0
2019-07-19,4600.0,5000.0,5000.0,4600.0,600.0
2019-07-12,4400.0,4400.0,4400.0,4400.0,2600.0
2019-07-11,4500.0,4500.0,4500.0,4500.0,100.0
2019-07-10,4900.0,4900.0,4900.0,4900.0,100.0
2019-07-09,4300.0,4300.0,4300.0,4300.0,100.0
2019-07-08,4300.0,4300.0,4300.0,4300.0,100.0
2019-07-05,4300.0,4300.0,4300.0,4300.0,100.0
2019-07-03,4300.0,4300.0,4300.0,4300.0,100.0
2019-07-02,5000.0,5000.0,5000.0,5000.0,100.0
2019-06-25,4600.0,4600.0,4600.0,4600.0,100.0
2019-06-24,4600.0,4600.0,4600.0,4600.0,100.0
2019-06-20,4000.0,4000.0,4000.0,4000.0,100.0
2019-06-12,4600.0,4600.0,4600.0,4600.0,100.0
2019-06-11,5100.0,5100.0,5100.0,5100.0,100.0
2019-06-10,4900.0,4200.0,4900.0,4200.0,700.0
2019-06-07,4900.0,4900.0,4900.0,4900.0,100.0
2019-06-05,4900.0,4200.0,4900.0,4200.0,400.0
2019-06-04,4900.0,4900.0,4900.0,4900.0,100.0
2019-05-31,4400.0,4400.0,4400.0,4400.0,100.0
2019-05-30,3900.0,3900.0,3900.0,3900.0,100.0
2019-05-29,4500.0,4500.0,4500.0,4500.0,110.0
2019-05-28,5000.0,5000.0,5000.0,5000.0,550.0
2019-05-27,5000.0,5500.0,5500.0,5000.0,1100.0
2019-05-24,4900.0,4900.0,4900.0,4900.0,1000.0
2019-05-23,4300.0,4300.0,4300.0,4300.0,100.0
2019-05-22,5000.0,5000.0,5000.0,5000.0,1000.0
2019-05-17,5000.0,5000.0,5000.0,5000.0,1200.0
2019-05-15,4700.0,4700.0,4700.0,4700.0,100.0
2019-05-14,5000.0,5000.0,5000.0,5000.0,400.0
2019-05-13,5000.0,4500.0,5500.0,4500.0,300.0
2019-05-09,5800.0,4500.0,5800.0,4500.0,200.0
2019-05-08,5600.0,4300.0,5600.0,4300.0,300.0
2019-05-07,5700.0,4300.0,5700.0,4300.0,200.0
2019-05-02,5000.0,5000.0,5000.0,5000.0,100.0
2019-04-24,5200.0,5200.0,5200.0,5000.0,2400.0
2019-04-19,5000.0,5000.0,5000.0,5000.0,100.0
2019-04-18,5700.0,5700.0,5700.0,5700.0,100.0
2019-04-05,5200.0,5200.0,5200.0,5200.0,0.0
2019-04-01,5200.0,5200.0,5200.0,5200.0,2300.0
2019-03-22,5200.0,5200.0,5200.0,5200.0,2000.0
2019-03-18,5200.0,5200.0,5200.0,5200.0,2000.0
2019-03-07,4900.0,4900.0,4900.0,4900.0,100.0
2019-03-06,5700.0,5700.0,5700.0,5700.0,1000.0
2019-03-05,5700.0,5700.0,5700.0,5700.0,500.0
2019-03-04,5700.0,5700.0,5700.0,5700.0,400.0
2019-03-01,5500.0,5500.0,5500.0,5500.0,100.0
2019-02-28,5500.0,5100.0,5500.0,5100.0,800.0
2019-02-14,5500.0,5500.0,5500.0,5500.0,800.0
2019-01-30,5100.0,5600.0,5600.0,5100.0,4900.0
2019-01-24,5800.0,5800.0,5800.0,5800.0,200.0
2019-01-21,5800.0,5800.0,5800.0,5800.0,200.0
2019-01-18,5700.0,5700.0,5700.0,5700.0,200.0
2019-01-17,5600.0,5600.0,5600.0,5600.0,500.0
2019-01-16,5700.0,5700.0,5700.0,5700.0,100.0
2019-01-15,6500.0,6500.0,6500.0,6500.0,100.0
2018-12-11,5800.0,5800.0,5800.0,5800.0,100.0
2018-12-10,6800.0,6800.0,6800.0,6800.0,100.0
2018-12-03,6100.0,6100.0,6100.0,6100.0,500.0
2018-11-30,5900.0,5900.0,5900.0,5900.0,600.0
2018-11-27,5900.0,5900.0,5900.0,5900.0,100.0
2018-11-23,6300.0,6300.0,6300.0,6300.0,1000.0
2018-11-16,6200.0,6200.0,6200.0,6200.0,350.0
2018-11-09,6200.0,6200.0,6200.0,6200.0,800.0
2018-11-08,6200.0,6200.0,6200.0,6200.0,100.0
2018-11-02,6100.0,6100.0,6100.0,6100.0,2000.0
2018-11-01,6000.0,6000.0,6000.0,6000.0,100.0
2018-10-31,7000.0,7000.0,7000.0,7000.0,100.0
2018-10-23,6200.0,6200.0,6200.0,6200.0,200.0
2018-10-22,6200.0,6200.0,6200.0,6200.0,500.0
2018-10-17,5800.0,5800.0,5800.0,5800.0,930.0
2018-10-12,5800.0,5800.0,5800.0,5800.0,100.0
2018-10-11,6100.0,6100.0,6100.0,6100.0,300.0
2018-10-08,6100.0,6100.0,6100.0,6100.0,1900.0
2018-09-24,6000.0,6000.0,6000.0,6000.0,100.0
2018-09-21,6800.0,6800.0,6800.0,6800.0,100.0
