Date,Close,Open,High,Low,Volume
2020-05-06,300.0,300.0,300.0,300.0,0.0
2020-05-05,300.0,300.0,300.0,300.0,0.0
2020-05-04,300.0,300.0,300.0,300.0,0.0
2020-04-29,300.0,300.0,300.0,300.0,0.0
2020-04-28,300.0,300.0,300.0,300.0,0.0
2020-04-27,300.0,300.0,300.0,300.0,0.0
2020-04-24,300.0,200.0,300.0,200.0,17300.0
2020-04-23,300.0,300.0,300.0,300.0,0.0
2020-04-22,300.0,300.0,300.0,300.0,0.0
2020-04-21,300.0,300.0,300.0,300.0,0.0
2020-04-20,300.0,300.0,300.0,300.0,0.0
2020-04-17,300.0,300.0,300.0,200.0,3300.0
2020-04-16,200.0,200.0,200.0,200.0,0.0
2020-04-15,200.0,200.0,200.0,200.0,0.0
2020-04-14,200.0,200.0,200.0,200.0,0.0
2020-04-13,200.0,200.0,200.0,200.0,0.0
2020-04-10,200.0,300.0,300.0,200.0,7000.0
2020-04-09,200.0,200.0,200.0,200.0,0.0
2020-04-08,200.0,200.0,200.0,200.0,0.0
2020-04-07,200.0,200.0,200.0,200.0,0.0
2020-04-03,300.0,300.0,300.0,200.0,2200.0
2020-03-27,300.0,200.0,300.0,200.0,2500.0
2020-03-20,300.0,200.0,300.0,200.0,28800.0
2020-03-13,300.0,200.0,300.0,200.0,3110.0
2020-03-06,300.0,300.0,300.0,200.0,2100.0
2020-02-28,300.0,200.0,300.0,200.0,1000.0
2020-02-21,300.0,300.0,300.0,300.0,600.0
2020-02-14,300.0,300.0,300.0,300.0,1300.0
2020-02-07,300.0,200.0,300.0,200.0,3100.0
2020-01-31,300.0,300.0,300.0,300.0,100.0
2020-01-17,300.0,200.0,300.0,200.0,300.0
2020-01-10,300.0,300.0,300.0,200.0,1200.0
2020-01-03,300.0,300.0,300.0,100.0,400.0
2019-12-27,300.0,300.0,300.0,100.0,10400.0
2019-12-20,300.0,300.0,300.0,200.0,33000.0
2019-12-13,300.0,300.0,300.0,200.0,11500.0
2019-12-06,300.0,300.0,300.0,200.0,600.0
2019-11-29,300.0,300.0,300.0,200.0,64900.00000000001
2019-11-22,300.0,200.0,300.0,200.0,300.0
2019-11-15,200.0,300.0,300.0,200.0,193100.0
2019-11-08,300.0,200.0,300.0,200.0,600.0
2019-10-25,300.0,400.0,400.0,300.0,3800.0
2019-10-18,400.0,300.0,400.0,300.0,10300.0
2019-10-11,300.0,300.0,300.0,300.0,100.0
2019-10-04,300.0,300.0,400.0,200.0,40900.0
2019-09-27,300.0,200.0,300.0,200.0,300.0
2019-09-20,300.0,200.0,300.0,200.0,700.0
2019-09-13,300.0,300.0,300.0,200.0,3300.0
2019-09-06,300.0,200.0,300.0,200.0,13400.0
2019-08-30,400.0,200.0,400.0,200.0,2300.0
2019-08-23,300.0,300.0,400.0,200.0,172900.0
2019-08-16,300.0,300.0,300.0,200.0,1400.0
2019-08-09,300.0,200.0,300.0,200.0,300.0
2019-08-02,300.0,300.0,300.0,300.0,7200.0
2019-07-26,400.0,400.0,400.0,400.0,100.0
2019-07-19,300.0,200.0,300.0,200.0,4000.0
2019-07-12,300.0,300.0,300.0,300.0,3000.0
2019-07-05,300.0,400.0,400.0,300.0,6300.0
2019-06-28,400.0,400.0,400.0,400.0,100.0
2019-06-21,300.0,300.0,300.0,300.0,53100.0
2019-06-14,200.0,200.0,300.0,200.0,300.0
2019-06-07,300.0,200.0,400.0,200.0,28300.0
2019-05-31,400.0,300.0,400.0,300.0,41800.0
2019-05-24,300.0,300.0,300.0,300.0,5500.0
2019-05-17,300.0,300.0,300.0,300.0,2200.0
2019-05-10,400.0,300.0,400.0,300.0,76600.0
2019-05-03,200.0,300.0,300.0,200.0,41100.0
2019-04-26,300.0,300.0,300.0,300.0,500.0
2019-04-19,300.0,300.0,300.0,300.0,15500.0
2019-04-12,300.0,300.0,300.0,300.0,15800.0
2019-04-05,300.0,200.0,300.0,200.0,98350.0
2019-03-29,300.0,200.0,300.0,200.0,400.0
2019-03-22,300.0,300.0,300.0,300.0,20000.0
2019-03-15,200.0,300.0,300.0,200.0,9200.0
2019-03-08,400.0,300.0,400.0,300.0,38400.0
2019-03-01,400.0,300.0,400.0,300.0,2300.0
2019-02-22,300.0,300.0,300.0,300.0,43900.0
2019-02-15,300.0,400.0,400.0,300.0,400.0
2019-02-01,300.0,200.0,300.0,200.0,1100.0
2019-01-25,300.0,400.0,400.0,200.0,2450.0
2019-01-04,300.0,300.0,300.0,300.0,2850.0
2018-12-14,400.0,400.0,400.0,400.0,1000.0
2018-11-30,400.0,400.0,400.0,400.0,1950.0
2018-11-23,300.0,300.0,300.0,300.0,6000.0
2018-11-16,400.0,400.0,400.0,400.0,1310.0
