Date,Close,Open,High,Low,Volume
2020-05-08,500.0,500.0,500.0,500.0,0.0
2020-05-07,500.0,500.0,500.0,500.0,0.0
2020-05-06,500.0,500.0,500.0,500.0,0.0
2020-05-05,500.0,500.0,500.0,500.0,0.0
2020-05-04,500.0,500.0,500.0,500.0,0.0
2020-04-29,500.0,500.0,500.0,500.0,0.0
2020-04-28,500.0,500.0,500.0,500.0,0.0
2020-04-27,500.0,500.0,500.0,500.0,0.0
2020-04-24,500.0,500.0,500.0,500.0,0.0
2020-04-23,500.0,500.0,500.0,500.0,0.0
2020-04-22,500.0,500.0,500.0,500.0,0.0
2020-04-21,500.0,500.0,500.0,500.0,0.0
2020-04-20,500.0,500.0,500.0,500.0,0.0
2020-04-17,500.0,500.0,500.0,500.0,0.0
2020-04-16,500.0,500.0,500.0,500.0,0.0
2020-04-15,500.0,500.0,500.0,500.0,0.0
2020-04-14,500.0,500.0,500.0,500.0,0.0
2020-04-13,500.0,500.0,500.0,500.0,0.0
2020-04-10,500.0,500.0,500.0,500.0,0.0
2020-04-09,500.0,500.0,500.0,500.0,0.0
2020-04-08,500.0,500.0,500.0,500.0,0.0
2020-04-07,500.0,500.0,500.0,500.0,0.0
2017-09-06,300.0,300.0,300.0,300.0,0.0
2017-09-05,300.0,300.0,300.0,300.0,0.0
2017-01-13,300.0,500.0,500.0,300.0,5200.0
2017-01-06,400.0,400.0,400.0,400.0,10050.0
2016-12-30,400.0,300.0,400.0,300.0,2100.0
2016-12-23,400.0,300.0,400.0,300.0,3200.0
2016-12-16,400.0,400.0,400.0,400.0,2500.0
2016-12-09,500.0,400.0,500.0,400.0,6300.0
2016-11-25,500.0,400.0,500.0,400.0,8500.0
2016-11-18,300.0,400.0,400.0,300.0,9000.0
2016-11-11,400.0,400.0,400.0,300.0,12700.0
2016-11-04,300.0,300.0,500.0,300.0,14100.0
2016-10-28,400.0,400.0,400.0,400.0,5010.0
2016-10-14,500.0,500.0,500.0,500.0,29300.0
2016-10-07,500.0,500.0,600.0,500.0,57310.0
2016-09-30,500.0,500.0,500.0,400.0,28420.0
2016-09-23,500.0,300.0,500.0,300.0,103200.0
2016-09-16,400.0,400.0,400.0,400.0,20000.0
2016-09-09,400.0,300.0,400.0,300.0,25800.0
2016-08-26,300.0,300.0,300.0,300.0,100.0
2016-08-19,400.0,400.0,400.0,400.0,3000.0
2016-08-12,400.0,400.0,400.0,300.0,18100.0
2016-08-05,400.0,400.0,400.0,400.0,14900.0
2016-07-29,400.0,400.0,400.0,400.0,900.0
2016-07-22,500.0,400.0,500.0,400.0,300.0
2016-07-15,500.0,400.0,500.0,400.0,1100.0
2016-07-08,500.0,500.0,500.0,500.0,9200.0
2016-07-01,400.0,500.0,500.0,400.0,36800.0
2016-06-24,600.0,500.0,600.0,500.0,59800.0
