Date,Close,Open,High,Low,Volume
2020-05-08,4800.0,4800.0,4800.0,4800.0,100.0
2020-05-07,4600.0,4600.0,4600.0,4600.0,100.0
2020-05-06,4900.0,4000.0,4900.0,4000.0,400.0
2020-05-05,4600.0,4600.0,4600.0,4600.0,0.0
2020-05-04,4600.0,4600.0,4600.0,4600.0,0.0
2020-04-29,4600.0,4700.0,4700.0,4600.0,1300.0
2020-04-28,4600.0,4600.0,4600.0,4600.0,0.0
2020-04-27,4600.0,4600.0,4600.0,4600.0,0.0
2020-04-24,4600.0,4600.0,4600.0,4600.0,700.0
2020-04-23,4600.0,4600.0,4600.0,4600.0,0.0
2020-04-22,4600.0,4600.0,4600.0,4600.0,0.0
2020-04-21,4600.0,4600.0,4600.0,4600.0,0.0
2020-04-20,4600.0,4600.0,4600.0,4600.0,1900.0
2020-04-17,4700.0,4700.0,4700.0,4700.0,400.0
2020-04-16,4500.0,4500.0,4500.0,4500.0,0.0
2020-04-15,4500.0,4500.0,4500.0,4500.0,0.0
2020-04-14,4500.0,4500.0,4700.0,4500.0,1700.0
2020-04-13,4200.0,4500.0,4500.0,4200.0,6500.0
2020-04-10,4200.0,4200.0,4200.0,4100.0,22400.0
2020-04-09,4200.0,4200.0,4200.0,4200.0,100.0
2020-04-08,4500.0,4500.0,4500.0,4500.0,0.0
2020-04-07,4500.0,4500.0,4500.0,4500.0,0.0
2020-04-06,4500.0,4500.0,4500.0,4500.0,1500.0
2020-04-03,4500.0,4500.0,4500.0,4500.0,200.0
2020-04-01,5100.0,5100.0,5100.0,5100.0,100.0
2020-03-31,4500.0,4500.0,4500.0,4500.0,100.0
2020-03-30,4500.0,4500.0,4500.0,4500.0,300.0
2020-03-27,5100.0,5100.0,5100.0,5100.0,100.0
2020-03-26,4500.0,4500.0,4500.0,4500.0,4000.0
2020-03-20,5000.0,5000.0,5000.0,5000.0,200.0
2020-03-18,5000.0,5200.0,5200.0,5000.0,3100.0
2020-03-17,5100.0,5100.0,5100.0,5100.0,600.0
2020-03-11,5100.0,5100.0,5100.0,5100.0,1500.0
2020-03-04,5400.0,6500.0,6500.0,5400.0,200.0
2020-02-26,5700.0,5700.0,5700.0,5700.0,100.0
2020-02-14,5000.0,5000.0,5000.0,5000.0,100.0
2020-02-10,4900.0,4900.0,4900.0,4900.0,2000.0
2020-02-07,5000.0,4900.0,5000.0,4800.0,2600.0
2020-02-04,5100.0,5100.0,5100.0,5100.0,100.0
2020-01-17,5000.0,4800.0,5000.0,4800.0,500.0
2020-01-10,4600.0,4600.0,4600.0,4600.0,100.0
2020-01-09,4600.0,4600.0,4600.0,4600.0,5300.0
2019-12-26,4900.0,4900.0,4900.0,4900.0,300.0
2019-12-10,4900.0,4900.0,4900.0,4900.0,500.0
2019-12-09,4900.0,4900.0,4900.0,4900.0,500.0
2019-12-06,4900.0,4900.0,5000.0,4900.0,800.0
2019-12-05,4900.0,4900.0,4900.0,4900.0,100.0
2019-12-04,4900.0,4900.0,4900.0,4900.0,200.0
2019-12-02,4900.0,5000.0,5000.0,4900.0,1500.0
2019-11-27,4900.0,4900.0,4900.0,4900.0,900.0
2019-11-26,4800.0,4800.0,4900.0,4800.0,400.0
2019-11-22,5000.0,5000.0,5000.0,5000.0,500.0
2019-11-21,5200.0,4500.0,5200.0,4500.0,1900.0
2019-11-18,5000.0,5000.0,5000.0,5000.0,1000.0
2019-11-13,5000.0,5000.0,5000.0,5000.0,200.0
2019-11-12,5400.0,5400.0,5400.0,5400.0,600.0
2019-11-11,5400.0,5400.0,5400.0,5400.0,100.0
2019-11-07,5300.0,5300.0,5300.0,5300.0,200.0
2019-11-05,5400.0,5100.0,5400.0,5000.0,6800.0
2019-11-04,5500.0,5300.0,5500.0,5300.0,10500.0
2019-11-01,5400.0,5300.0,5400.0,5200.0,3500.0
2019-10-31,5400.0,5500.0,5500.0,5400.0,200.0
2019-10-30,5300.0,5600.0,5600.0,5300.0,1100.0
2019-10-29,5600.0,5600.0,5600.0,5500.0,4400.0
2019-10-28,5600.0,5400.0,5600.0,5400.0,8900.0
2019-10-25,5400.0,5400.0,5400.0,5400.0,900.0
2019-10-24,5400.0,5400.0,5400.0,5400.0,3000.0
2019-10-23,5600.0,5600.0,5600.0,5600.0,3000.0
2019-10-22,5600.0,5600.0,5600.0,5600.0,300.0
2019-10-21,5600.0,5600.0,5600.0,5600.0,100.0
2019-10-18,5400.0,5400.0,5400.0,5400.0,2000.0
2019-10-08,5100.0,5100.0,5100.0,5100.0,500.0
2019-10-04,5100.0,5100.0,5100.0,5100.0,7800.0
2019-10-01,5000.0,5300.0,5300.0,5000.0,1240.0
2019-09-30,5100.0,5000.0,5100.0,4900.0,6100.0
2019-09-25,5100.0,5400.0,5400.0,5100.0,300.0
2019-09-24,5300.0,5200.0,5300.0,5100.0,3000.0
2019-09-16,5600.0,5600.0,5600.0,5600.0,200.0
2019-09-10,5700.0,5700.0,5700.0,5700.0,100.0
2019-09-03,5600.0,5600.0,5600.0,5600.0,100.0
2019-08-30,5600.0,5600.0,5600.0,5600.0,100.0
2019-08-29,5800.0,5600.0,5800.0,5600.0,2300.0
2019-08-28,5600.0,6000.0,6000.0,5600.0,500.0
2019-08-27,5300.0,5400.0,5500.0,5300.0,2700.0
2019-08-15,5300.0,5300.0,5300.0,5300.0,200.0
2019-08-12,5500.0,5100.0,5500.0,5000.0,6300.0
2019-08-07,5200.0,5500.0,5500.0,5200.0,500.0
2019-08-06,5200.0,5500.0,5500.0,5200.0,500.0
2019-08-05,5100.0,5100.0,5100.0,5100.0,100.0
2019-08-02,5100.0,5100.0,5100.0,5100.0,500.0
2019-08-01,5100.0,5100.0,5100.0,5100.0,7900.0
2019-07-31,5400.0,5400.0,5400.0,5400.0,100.0
2019-07-30,5400.0,5400.0,5400.0,5100.0,6600.0
2019-07-29,5400.0,5200.0,5400.0,5200.0,1100.0
2019-07-26,5400.0,5500.0,5500.0,5400.0,1380.0
2019-07-25,5600.0,5600.0,5600.0,5600.0,1900.0
2019-07-24,5600.0,5600.0,5600.0,5600.0,1100.0
2019-07-22,5500.0,5500.0,5600.0,5300.0,23400.0
2019-07-16,5200.0,5100.0,5200.0,5100.0,11000.0
2019-07-15,5100.0,5200.0,5200.0,5100.0,5000.0
2019-07-11,5600.0,5600.0,5600.0,5600.0,100.0
2019-07-10,5500.0,5500.0,5500.0,5500.0,100.0
2019-07-02,5100.0,5100.0,5100.0,5100.0,1000.0
2019-06-25,5200.0,5200.0,5200.0,5200.0,800.0
2019-06-24,5200.0,5200.0,5200.0,5200.0,100.0
2019-06-21,5200.0,5200.0,5200.0,5200.0,3000.0
2019-06-14,5100.0,5100.0,5100.0,5100.0,2400.0
2019-06-13,5100.0,5100.0,5100.0,5100.0,5000.0
2019-06-11,5100.0,5100.0,5100.0,5100.0,11700.0
2019-06-10,5100.0,5100.0,5100.0,5100.0,2900.0
2019-06-07,5000.0,5100.0,5100.0,5000.0,15800.0
2019-06-03,5100.0,5100.0,5100.0,5100.0,5600.0
2019-05-29,5100.0,5100.0,5100.0,5100.0,1000.0
2019-05-22,5000.0,5000.0,5000.0,5000.0,100.0
2019-05-20,5100.0,5100.0,5100.0,5100.0,5300.0
2019-05-15,5100.0,5100.0,5100.0,5100.0,5000.0
2019-05-14,5100.0,5100.0,5100.0,5100.0,6000.0
2019-05-13,5100.0,5200.0,5200.0,5100.0,4100.0
2019-05-09,5200.0,5200.0,5200.0,5200.0,5500.0
2019-05-07,5200.0,5200.0,5200.0,5200.0,1800.0
2019-05-06,5200.0,5200.0,5200.0,5200.0,2500.0
2019-05-02,5200.0,5200.0,5200.0,5200.0,2200.0
2019-04-26,5200.0,5200.0,5200.0,5200.0,2500.0
2019-04-25,5200.0,5100.0,5200.0,5100.0,9000.0
2019-04-24,5000.0,5300.0,5300.0,5000.0,8100.0
2019-04-18,5500.0,5500.0,5500.0,5500.0,1200.0
2019-04-17,5400.0,5400.0,5400.0,5400.0,1200.0
2019-04-12,5100.0,5100.0,5100.0,5100.0,1500.0
2019-04-09,5400.0,5400.0,5400.0,5400.0,200.0
2019-04-05,5100.0,5100.0,5100.0,5100.0,1000.0
2019-04-01,5400.0,5400.0,5400.0,5400.0,100.0
2019-03-27,5400.0,5400.0,5400.0,5400.0,100.0
2019-03-22,5200.0,5200.0,5200.0,5200.0,900.0
2019-03-19,5200.0,5200.0,5200.0,5200.0,100.0
2019-03-15,5200.0,5200.0,5200.0,5200.0,6700.0
2019-03-14,5200.0,5300.0,5300.0,5200.0,1700.0
2019-03-13,5100.0,5100.0,5100.0,5100.0,900.0
2019-03-12,5100.0,5100.0,5100.0,5100.0,2000.0
2019-03-11,5100.0,5100.0,5100.0,5100.0,4000.0
2019-03-08,5100.0,5200.0,5200.0,5100.0,1100.0
2019-03-07,5000.0,5000.0,5100.0,5000.0,3100.0
2019-03-01,5000.0,5000.0,5000.0,5000.0,400.0
2019-02-27,5100.0,5100.0,5100.0,5100.0,1000.0
2019-02-15,5100.0,5100.0,5100.0,5100.0,100.0
2019-02-01,5000.0,5000.0,5000.0,5000.0,1400.0
2019-01-30,5100.0,5100.0,5100.0,5100.0,100.0
2019-01-29,4300.0,4700.0,4700.0,4300.0,2000.0
2019-01-23,5000.0,5000.0,5000.0,5000.0,4900.0
2019-01-17,4900.0,5000.0,5000.0,4900.0,2000.0
2019-01-16,5000.0,5000.0,5000.0,5000.0,1000.0
2019-01-14,5200.0,5000.0,5200.0,5000.0,4000.0
2019-01-11,5100.0,5200.0,5200.0,5100.0,6200.0
2019-01-09,5400.0,5400.0,5400.0,5400.0,1100.0
2019-01-07,4800.0,4800.0,4800.0,4800.0,1200.0
2019-01-04,4600.0,4800.0,4800.0,4600.0,2000.0
2018-12-27,5200.0,5200.0,5200.0,5200.0,1000.0
2018-12-18,5000.0,5000.0,5000.0,5000.0,2900.0
2018-12-06,5600.0,5600.0,5600.0,5600.0,100.0
2018-12-05,5200.0,4900.0,5200.0,4900.0,13600.0
2018-12-04,4900.0,4900.0,4900.0,4900.0,1000.0
2018-11-30,5000.0,4900.0,5100.0,4900.0,38700.0
2018-11-29,4900.0,4900.0,4900.0,4900.0,5000.0
2018-11-28,5000.0,5000.0,5000.0,5000.0,300.0
2018-11-26,5100.0,5100.0,5100.0,5100.0,600.0
2018-11-22,4700.0,4700.0,4700.0,4700.0,4400.0
2018-11-21,4700.0,4700.0,4700.0,4700.0,3600.0
2018-11-20,5000.0,5000.0,5000.0,5000.0,200.0
2018-11-19,4700.0,4700.0,5000.0,4700.0,13600.0
2018-11-15,4800.0,5000.0,5000.0,4800.0,4300.0
2018-11-14,5000.0,5000.0,5000.0,5000.0,100.0
2018-11-13,5300.0,5000.0,5300.0,4800.0,2100.0
2018-11-09,4800.0,4800.0,5300.0,4800.0,7600.0
2018-11-08,4800.0,4800.0,4800.0,4800.0,7000.0
2018-11-07,5000.0,5200.0,5200.0,5000.0,4200.0
2018-11-06,4800.0,5400.0,5500.0,4800.0,5000.0
2018-11-02,5500.0,5500.0,5500.0,5500.0,100.0
2018-11-01,5500.0,5700.0,5700.0,5500.0,4700.0
2018-10-31,5900.0,5900.0,5900.0,5900.0,2000.0
2018-10-29,5900.0,5900.0,5900.0,5900.0,1500.0
2018-10-25,5900.0,6000.0,6200.0,5800.0,15700.0
2018-10-23,6000.0,6000.0,6000.0,6000.0,2000.0
2018-10-22,6000.0,6000.0,6100.0,6000.0,9600.0
2018-10-18,5700.0,5700.0,5700.0,5700.0,1000.0
2018-10-16,5600.0,5700.0,5700.0,5600.0,1900.0
2018-09-28,6000.0,6000.0,6000.0,6000.0,100.0
2018-09-27,6000.0,6000.0,6000.0,6000.0,1000.0
2018-09-26,6000.0,5900.0,6000.0,5900.0,1000.0
2018-09-20,5900.0,5600.0,5900.0,5600.0,400.0
2018-09-19,5600.0,5600.0,5600.0,5600.0,400.0
2018-09-18,5500.0,5500.0,5500.0,5500.0,1000.0
2018-09-17,5500.0,5500.0,5500.0,5500.0,600.0
2018-09-12,5600.0,5500.0,5600.0,5500.0,2300.0
2018-09-04,5700.0,5700.0,5700.0,5700.0,0.0
2018-08-30,5700.0,5700.0,5700.0,5700.0,800.0
2018-08-24,5800.0,5700.0,5800.0,5700.0,1300.0
2018-08-17,5700.0,5700.0,5700.0,5700.0,3400.0
2018-08-15,5700.0,5900.0,5900.0,5700.0,2500.0
2018-08-06,5900.0,5900.0,5900.0,5900.0,1000.0
2018-07-31,5500.0,5500.0,5500.0,5500.0,600.0
2018-07-30,5300.0,5500.0,5500.0,5300.0,2400.0
