,Date,Close,Volume,Value,Open,High,Low
0,2020-04-29,2400.0,32200,76720000,2300.0,2500.0,2300.0
1,2020-04-28,2300.0,54228,123364600,2200.0,2300.0,2200.0
2,2020-04-27,2200.0,71702,160944600,2400.0,2400.0,2200.0
3,2020-04-24,2300.0,84600,199730000,2500.0,2500.0,2300.0
4,2020-04-23,2600.0,62400,152320000,2400.0,2600.0,2300.0
5,2020-04-22,2600.0,42330,101654000,2300.0,2600.0,2300.0
6,2020-04-21,2300.0,189411,482939700,2600.0,2800.0,2300.0
7,2020-04-20,2500.0,250930,627005000,2400.0,2500.0,2400.0
8,2020-04-17,2300.0,191600,424410000,2000.0,2300.0,2000.0
9,2020-04-16,2000.0,37910,75269000,2000.0,2100.0,1900.0
10,2020-04-15,2100.0,28800,57610000,2000.0,2100.0,2000.0
11,2020-04-14,2100.0,30040,62295000,2200.0,2200.0,2000.0
12,2020-04-13,2100.0,33200,64830000,1900.0,2100.0,1900.0
13,2020-04-10,1900.0,54801,105271900,2000.0,2100.0,1900.0
14,2020-04-09,2100.0,22630,47070000,1900.0,2200.0,1900.0
15,2020-04-08,2100.0,18200,37370000,2100.0,2100.0,2000.0
16,2020-04-07,2100.0,34500,69860000,2100.0,2100.0,2000.0
17,2020-04-06,2000.0,86915,173340000,1900.0,2000.0,1900.0
18,2020-04-03,1800.0,22400,40320000,1800.0,1800.0,1800.0
19,2020-04-01,1800.0,112200,178910000,1700.0,1900.0,1500.0
20,2020-03-31,1900.0,11225,19304500,2000.0,2000.0,1700.0
21,2020-03-30,1800.0,50410,90049000,1900.0,2000.0,1700.0
22,2020-03-27,2100.0,3600,7020000,1900.0,2100.0,1900.0
23,2020-03-26,2000.0,83400,170140000,2100.0,2200.0,2000.0
24,2020-03-25,2100.0,15000,31710000,2100.0,2200.0,2100.0
25,2020-03-24,2100.0,19000,38010000,2000.0,2100.0,2000.0
26,2020-03-23,2000.0,74135,150822500,2100.0,2100.0,2000.0
27,2020-03-20,2300.0,26010,58562000,2200.0,2300.0,2200.0
28,2020-03-19,2300.0,52600,120660000,2100.0,2400.0,2100.0
29,2020-03-18,2300.0,25580,58866000,2300.0,2400.0,2300.0
30,2020-03-17,2400.0,72000,165060000,2200.0,2400.0,2100.0
31,2020-03-16,2300.0,45300,97290000,2000.0,2300.0,1900.0
32,2020-03-13,2200.0,87000,174760000,2000.0,2200.0,1900.0
33,2020-03-12,2300.0,142231,313319200,2400.0,2400.0,2200.0
34,2020-03-10,2600.0,50205,126323000,2400.0,2600.0,2400.0
35,2020-03-09,2400.0,73640,188022000,2600.0,2700.0,2400.0
36,2020-03-06,2800.0,55550,149520000,2800.0,2800.0,2600.0
37,2020-03-05,2700.0,194400,529470000,2800.0,2800.0,2600.0
38,2020-03-04,2900.0,56120,157146000,2800.0,2900.0,2800.0
39,2020-03-03,2900.0,53150,150995000,2900.0,2900.0,2800.0
40,2020-03-02,3000.0,17000,49750000,2900.0,3000.0,2800.0
41,2020-02-28,2800.0,42900,123310000,3000.0,3000.0,2800.0
42,2020-02-27,3000.0,72960,209425000,2800.0,3000.0,2800.0
43,2020-02-26,2800.0,38840,103948000,2800.0,2800.0,2600.0
44,2020-02-25,2900.0,64240,173698000,2700.0,2900.0,2600.0
45,2020-02-24,2800.0,132840,371498000,3000.0,3000.0,2700.0
46,2020-02-21,3000.0,31700,97250000,3200.0,3300.0,3000.0
47,2020-02-20,3200.0,166100,510410000,3100.0,3300.0,3000.0
48,2020-02-19,3100.0,196350,570272000,2700.0,3100.0,2700.0
49,2020-02-18,2800.0,24500,66170000,2700.0,2800.0,2700.0
50,2020-02-17,2800.0,76600,205770000,2700.0,2800.0,2500.0
51,2020-02-14,2700.0,55910,149208000,2600.0,2700.0,2600.0
52,2020-02-13,2700.0,94200,247360000,2800.0,2800.0,2300.0
53,2020-02-12,2600.0,166200,436650000,2700.0,2800.0,2600.0
54,2020-02-11,2700.0,21700,59270000,2800.0,2900.0,2700.0
55,2020-02-10,2700.0,10900,29440000,2700.0,2800.0,2600.0
56,2020-02-07,2800.0,35300,95950000,2800.0,2800.0,2700.0
57,2020-02-06,2800.0,44300,121450000,2800.0,2900.0,2300.0
58,2020-02-05,2600.0,33100,88200000,2700.0,2800.0,2600.0
59,2020-02-04,2800.0,32000,87680000,2800.0,2800.0,2700.0
60,2020-02-03,2700.0,57510,152696000,2600.0,2700.0,2600.0
61,2020-01-31,2900.0,52600,145950000,2900.0,3000.0,2700.0
62,2020-01-30,2900.0,17200,49740000,2700.0,3000.0,2700.0
63,2020-01-22,2900.0,5300,15430000,2900.0,3000.0,2900.0
64,2020-01-21,3000.0,22700,66390000,2900.0,3000.0,2900.0
65,2020-01-20,3000.0,18734,55192000,2900.0,3000.0,2900.0
66,2020-01-17,3000.0,29810,85129000,2700.0,3000.0,2700.0
67,2020-01-16,2800.0,21700,58980000,2700.0,2800.0,2700.0
68,2020-01-15,2800.0,37734,99288400,2700.0,2800.0,2500.0
69,2020-01-14,2800.0,10900,30490000,2800.0,2800.0,2700.0
70,2020-01-13,2700.0,21900,61290000,3100.0,3100.0,2700.0
71,2020-01-10,2900.0,9800,28370000,2900.0,3100.0,2800.0
72,2020-01-09,2900.0,16100,46340000,2900.0,2900.0,2800.0
73,2020-01-08,2900.0,64700,195690000,2900.0,3200.0,2900.0
74,2020-01-07,2900.0,41000,116370000,2900.0,3000.0,2800.0
75,2020-01-06,3000.0,16500,48290000,3000.0,3100.0,2800.0
76,2020-01-03,3100.0,41600,124890000,3000.0,3100.0,3000.0
77,2020-01-02,3100.0,30200,92920000,3100.0,3100.0,3000.0
78,2019-12-31,3100.0,37000,110950000,3100.0,3200.0,2900.0
79,2019-12-30,3100.0,64340,192316000,2900.0,3100.0,2900.0
80,2019-12-27,3000.0,12100,34370000,3100.0,3100.0,2800.0
81,2019-12-26,3100.0,63700,195660000,3400.0,3400.0,3000.0
82,2019-12-25,3500.0,153135,525270500,3500.0,3500.0,3300.0
83,2019-12-24,3100.0,112920,344502000,2900.0,3100.0,2900.0
84,2019-12-23,2900.0,89900,239790000,2700.0,2900.0,2600.0
85,2019-12-20,2700.0,108400,291650000,2700.0,2900.0,2600.0
86,2019-12-19,2800.0,105580,294370000,3000.0,3000.0,2700.0
87,2019-12-18,3000.0,138800,422440000,3200.0,3200.0,3000.0
88,2019-12-17,3200.0,63900,209060000,3200.0,3300.0,3200.0
89,2019-12-16,3200.0,94925,307120000,3400.0,3400.0,3200.0
90,2019-12-13,3400.0,39050,133840000,3600.0,3600.0,3400.0
91,2019-12-12,3500.0,37400,132420000,3600.0,3600.0,3500.0
92,2019-12-11,3600.0,28300,102590000,3600.0,3700.0,3600.0
93,2019-12-10,3700.0,37650,136450000,3700.0,3700.0,3500.0
94,2019-12-09,3700.0,17450,64185000,3700.0,3700.0,3600.0
95,2019-12-06,3800.0,21110,80179000,3700.0,3900.0,3700.0
96,2019-12-05,3700.0,37100,139390000,3600.0,3900.0,3600.0
97,2019-12-04,3600.0,100495,354961500,3700.0,3700.0,3400.0
98,2019-12-03,3700.0,49600,186250000,3800.0,3900.0,3700.0
99,2019-11-29,4000.0,27100,107140000,4000.0,4000.0,3900.0
100,2019-11-28,4000.0,45300,181200000,4000.0,4000.0,4000.0
101,2019-11-27,4100.0,18000,73690000,4100.0,4100.0,4000.0
102,2019-11-26,4100.0,72210,296091000,4100.0,4200.0,4100.0
103,2019-11-25,4100.0,52960,217642000,4100.0,4200.0,4100.0
104,2019-11-22,4200.0,139300,575850000,4100.0,4300.0,4000.0
105,2019-11-21,4100.0,52200,215410000,4000.0,4300.0,3900.0
106,2019-11-20,4000.0,32809,130286000,4100.0,4100.0,3900.0
107,2019-11-19,4000.0,69250,277645000,4000.0,4100.0,4000.0
108,2019-11-18,4100.0,8200,33600000,4200.0,4200.0,4000.0
109,2019-11-15,4100.0,57300,237240000,4200.0,4300.0,4100.0
110,2019-11-14,4300.0,96440,414696000,4300.0,4300.0,4300.0
111,2019-11-13,4400.0,47961,207568400,4400.0,4400.0,4200.0
