Date,Close,Open,High,Low,Volume
2020-05-06,9100.0,9100.0,9100.0,9100.0,0.0
2020-05-05,9100.0,8400.0,9100.0,8400.0,3020.0
2020-05-04,8400.0,8400.0,8400.0,8400.0,140.0
2020-04-29,9100.0,9100.0,9600.0,9100.0,300.0
2020-04-28,9700.0,9700.0,9700.0,9700.0,0.0
2020-04-24,9700.0,9700.0,9700.0,9700.0,1180.0
2020-04-23,8900.0,8900.0,8900.0,8900.0,0.0
2020-04-22,8900.0,9500.0,9500.0,8900.0,2800.0
2020-04-21,9500.0,9500.0,9500.0,9500.0,18600.0
2020-04-20,9300.0,9300.0,9300.0,9300.0,0.0
2020-04-17,9300.0,9900.0,9900.0,8600.0,8410.0
2020-04-16,9500.0,9500.0,9500.0,9500.0,0.0
2020-04-15,9500.0,9500.0,9500.0,9500.0,0.0
2020-04-14,9500.0,9500.0,9500.0,9500.0,3100.0
2020-04-13,9500.0,9900.0,9900.0,9500.0,6000.0
2020-04-10,10100.0,10100.0,10100.0,10100.0,1000.0
2020-04-09,10100.0,10100.0,10100.0,10100.0,20.0
2020-04-08,10100.0,10100.0,10100.0,10100.0,40.0
2020-04-07,10100.0,10100.0,10100.0,10100.0,1.0
2020-04-06,10100.0,10100.0,10100.0,10100.0,0.0
2020-04-03,10100.0,10100.0,10100.0,10100.0,110.0
2020-03-31,9300.0,9300.0,9300.0,7800.0,700.0
2020-03-30,8500.0,8500.0,8500.0,8500.0,600.0
2020-03-26,9300.0,9300.0,9300.0,9300.0,100.0
2020-03-25,10300.0,9600.0,10300.0,9600.0,3000.0
2020-03-24,10300.0,8700.0,10300.0,8700.0,700.0
2020-03-23,9500.0,8700.0,9500.0,8700.0,670.0
2020-03-20,8700.0,9500.0,9500.0,8700.0,4600.0
2020-03-18,9500.0,9500.0,9500.0,9500.0,400.0
2020-03-17,10500.0,10500.0,10500.0,10500.0,100.0
2020-03-16,9700.0,9900.0,9900.0,9700.0,3200.0
2020-03-13,9000.0,9000.0,9000.0,9000.0,610.0
2020-03-12,9000.0,9000.0,9000.0,9000.0,10500.0
2020-03-11,8800.0,8900.0,8900.0,8800.0,1000.0
2020-03-10,9700.0,10000.0,10000.0,9700.0,9000.0
2020-03-09,10700.0,11700.0,11700.0,10700.0,1100.0
2020-03-06,11700.0,10700.0,11700.0,10700.0,21260.0
2020-03-04,10700.0,10700.0,10700.0,10700.0,2900.0
2020-03-03,10700.0,10700.0,10700.0,10700.0,1010.0
2020-03-02,10800.0,10800.0,10800.0,10800.0,930.0
2020-02-27,10800.0,10800.0,10800.0,10800.0,4750.0
2020-02-25,9900.0,9900.0,9900.0,9900.0,200.0
2020-02-24,11000.0,10200.0,11000.0,10200.0,10900.0
2020-02-21,10000.0,10000.0,10000.0,10000.0,3200.0
2020-02-19,10600.0,10300.0,10600.0,10300.0,1900.0
2020-02-18,9700.0,9600.0,9700.0,9600.0,2400.0
2020-02-17,9700.0,9500.0,10900.0,9500.0,4800.0
2020-02-12,10500.0,10500.0,10500.0,10500.0,1320.0
2020-02-10,9600.0,9600.0,9600.0,9600.0,1180.0
2020-02-07,9600.0,9600.0,9600.0,9600.0,1200.0
2020-02-04,10600.0,11400.0,11400.0,10600.0,3100.0
2020-01-30,10500.0,10200.0,10800.0,10200.0,13800.0
2020-01-22,10200.0,10200.0,10200.0,10200.0,900.0
2020-01-20,10100.0,10100.0,10100.0,10100.0,5400.0
2020-01-15,10100.0,10100.0,10100.0,10100.0,28000.0
2020-01-14,10100.0,9300.0,10100.0,9000.0,14200.0
2020-01-13,9200.0,8700.0,9200.0,8700.0,4400.0
2020-01-10,8400.0,8000.0,8400.0,8000.0,1000.0
2020-01-09,7700.0,7500.0,8000.0,7500.0,3000.0
2020-01-08,7300.0,7000.0,7300.0,7000.0,14700.0
2020-01-07,6700.0,6700.0,6700.0,6700.0,5100.0
2020-01-06,6100.0,5700.0,6100.0,5700.0,1280.0
2020-01-03,6000.0,6600.0,6600.0,6000.0,13250.0
2020-01-02,6000.0,6000.0,6000.0,6000.0,590.0
2019-12-31,5500.0,5500.0,5500.0,5500.0,380.0
2019-12-26,5400.0,5400.0,5400.0,5400.0,0.0
2019-12-17,5900.0,5900.0,5900.0,5900.0,200.0
2019-12-11,6100.0,6100.0,6100.0,6100.0,100.0
2019-12-09,6000.0,6000.0,6000.0,6000.0,3000.0
2019-12-06,5600.0,5600.0,5600.0,5600.0,200.0
2019-12-02,6000.0,6000.0,6000.0,6000.0,170.0
2019-11-29,6100.0,6100.0,6100.0,6100.0,200.0
2019-11-26,6200.0,6200.0,6200.0,6200.0,1000.0
2019-11-25,6200.0,6200.0,6200.0,6200.0,250.0
2019-11-22,6000.0,6000.0,6000.0,6000.0,1200.0
2019-11-20,6300.0,6300.0,6300.0,6300.0,100.0
2019-11-18,6000.0,6000.0,6000.0,6000.0,300.0
2019-11-15,6400.0,6400.0,6400.0,6400.0,200.0
2019-11-13,6000.0,5600.0,6000.0,5600.0,270.0
2019-11-12,6000.0,6000.0,6000.0,6000.0,2700.0
2019-11-11,5900.0,5900.0,5900.0,5900.0,1000.0
2019-11-08,6000.0,5700.0,6000.0,5700.0,1220.0
2019-11-07,5700.0,6000.0,6000.0,5700.0,1600.0
2019-11-06,5700.0,6000.0,6000.0,5700.0,1200.0
2019-11-05,6000.0,6000.0,6000.0,6000.0,100.0
2019-11-04,5800.0,5800.0,5800.0,5800.0,100.0
2019-11-01,5800.0,5800.0,5800.0,5800.0,200.0
2019-10-31,5600.0,6100.0,6100.0,5400.0,2210.0
2019-10-30,5700.0,6000.0,6000.0,5700.0,5100.0
2019-10-29,6000.0,6000.0,6000.0,6000.0,500.0
2019-10-28,6400.0,6400.0,6400.0,6400.0,800.0
2019-10-24,6400.0,6300.0,6500.0,6000.0,1400.0
2019-10-23,6300.0,6300.0,6300.0,6300.0,100.0
2019-10-22,6300.0,6000.0,6300.0,6000.0,300.0
2019-10-21,6300.0,6300.0,6300.0,6300.0,150.0
2019-10-17,6400.0,6400.0,6400.0,6400.0,100.0
2019-10-16,6000.0,6400.0,6400.0,6000.0,800.0
2019-10-14,6400.0,6300.0,6800.0,6300.0,800.0
2019-10-11,6300.0,6000.0,6400.0,6000.0,12600.0
2019-10-10,6200.0,6200.0,6500.0,6200.0,5730.0
2019-10-03,6600.0,6600.0,6600.0,6600.0,100.0
2019-10-01,6100.0,6300.0,6300.0,6100.0,2000.0
2019-09-27,6700.0,6700.0,6700.0,6700.0,500.0
2019-09-26,6700.0,6700.0,6700.0,6700.0,500.0
